title,Playing,book_en_402_page_0_1.m4a,book_en_402_page_0,landscape,audio,
word,0,0.685317,Judy,en-uk_judy.m4a,0.2,
word,0.685317,0.902012,and,en-uk_and.m4a,0.2,
word,0.902012,1.20219,I,en-uk_i.m4a,0.2,
word,1.20219,1.59306,play,en-uk_play.m4a,0.2,
word,1.59306,2.21515,football.,en-uk_football.m4a,0.2,
sentence,book_en_402_page_7_2.m4a,3.21515,
word,0,0.399672,I,en-uk_i.m4a,0.2,
word,0.399672,0.832172,pass,en-uk_pass.m4a,0.2,
word,0.832172,1.15733,her,en-uk_her.m4a,0.2,
word,1.15733,1.34952,the,en-uk_the.m4a,0.2,
word,1.34952,1.78073,ball.,en-uk_ball.m4a,0.2,
page,8,book_en_402_page_8,wordwrap,
paragraph
sentence,book_en_402_page_8_1.m4a,0,
word,0,0.69473,Kelly,en-uk_kelly.m4a,0.2,
word,0.69473,0.908161,and,en-uk_and.m4a,0.2,
word,0.908161,1.28372,I,en-uk_i.m4a,0.2,
word,1.28372,1.80224,swim.,en-uk_swim.m4a,0.2,
sentence,book_en_402_page_8_2.m4a,2.80224,
word,0,0.64219,I,en-uk_i.m4a,0.2,
word,0.64219,1.24302,splash,en-uk_splash.m4a,0.2,
word,1.24302,1.60438,her.,en-uk_her.m4a,0.2,
page,9,book_en_402_page_9,wordwrap,
paragraph
sentence,book_en_402_page_9_1.m4a,0,
word,0,0.850969,David,en-uk_david.m4a,0.2,
word,0.850969,1.02804,and,en-uk_and.m4a,0.2,
word,1.02804,1.33651,I,en-uk_i.m4a,0.2,
word,1.33651,1.61977,play,en-uk_play.m4a,0.2,
word,1.61977,2.55113,hide-and-seek.,en-uk_hide-and-seek.m4a,0.2,
sentence,book_en_402_page_9_2.m4a,3.55113,
word,0,0.366908,I,en-uk_i.m4a,0.2,
word,0.366908,0.68431,find,en-uk_find.m4a,0.2,
word,0.68431,1.19208,him,en-uk_him.m4a,0.2,
word,1.19208,1.55837,behind,en-uk_behind.m4a,0.2,
word,1.55837,1.82075,the,en-uk_the.m4a,0.2,
word,1.82075,2.42891,tree.,en-uk_tree.m4a,0.2,
page,10,book_en_402_page_10,wordwrap,
paragraph
sentence,book_en_402_page_10_1.m4a,0,
word,0,0.943958,Faith,en-uk_faith.m4a,0.2,
word,0.943958,1.24076,reads,en-uk_reads.m4a,0.2,
word,1.24076,1.49598,to,en-uk_to.m4a,0.2,
word,1.49598,1.85816,me.,en-uk_me.m4a,0.2,
sentence,book_en_402_page_10_2.m4a,2.85816,
word,0,0.334765,We,en-uk_we.m4a,0.2,
word,0.334765,0.925459,talk,en-uk_talk.m4a,0.2,
word,0.925459,1.2938,about,en-uk_about.m4a,0.2,
word,1.2938,1.48857,her,en-uk_her.m4a,0.2,
word,1.48857,1.9912,book.,en-uk_book.m4a,0.2,
page,11,book_en_402_page_11,wordwrap,
paragraph
sentence,book_en_402_page_11_1.m4a,0,
word,0,1.0949,Sometimes,en-uk_sometimes.m4a,0.2,
word,1.0949,1.2283,we,en-uk_we.m4a,0.2,
word,1.2283,1.7317,all,en-uk_all.m4a,0.2,
word,1.7317,2.25113,play,en-uk_play.m4a,0.2,
word,2.25113,2.89188,together.,en-uk_together.m4a,0.2,
sentence,book_en_402_page_11_2.m4a,3.89188,
word,0,0.495619,We,en-uk_we.m4a,0.2,
word,0.495619,0.860985,play,en-uk_play.m4a,0.2,
word,0.860985,1.61297,football.,en-uk_football.m4a,0.2,
page,12,book_en_402_page_12,wordwrap,
paragraph
sentence,book_en_402_page_12_1.m4a,0,
word,0,0.375566,We,en-uk_we.m4a,0.2,
word,0.375566,0.984175,play,en-uk_play.m4a,0.2,
word,0.984175,1.26061,in,en-uk_in.m4a,0.2,
word,1.26061,1.44393,the,en-uk_the.m4a,0.2,
word,1.44393,2.20125,cool,en-uk_cool.m4a,0.2,
word,2.20125,2.76075,water.,en-uk_water.m4a,0.2,
page,13,book_en_402_page_13,wordwrap,
paragraph
sentence,book_en_402_page_13_1.m4a,0,
word,0,0.640557,We,en-uk_we.m4a,0.2,
word,0.640557,1.17948,play,en-uk_play.m4a,0.2,
word,1.17948,2.32587,hide-and-seek.,en-uk_hide-and-seek.m4a,0.2,
page,14,book_en_402_page_14,wordwrap,
paragraph
sentence,book_en_402_page_14_1.m4a,0,
word,0,0.553401,We,en-uk_we.m4a,0.2,
word,0.553401,1.15479,read,en-uk_read.m4a,0.2,
word,1.15479,1.64329,together.,en-uk_together.m4a,0.2,
page,15,book_en_402_page_15,wordwrap,
paragraph
sentence,book_en_402_page_15_1.m4a,0,
word,0,0.554687,I,en-uk_i.m4a,0.2,
word,0.554687,0.968369,like,en-uk_like.m4a,0.2,
word,0.968369,1.21824,to,en-uk_to.m4a,0.2,
word,1.21824,1.72222,play!,en-uk_play.m4a,0.2,
sentence,book_en_402_page_15_2.m4a,2.72222,
word,0,0.334173,Do,en-uk_do.m4a,0.2,
word,0.334173,0.681043,you?,en-uk_you.m4a,0.2,
