#LanguageTag	#Level	#Worksheet	#Problem	#Question	#suggest	#Answer
en-US	5	1	5	4, ?, 8, 10	NA	6
en-US	6	1	1	11, 12, 13, ?	NA	14
en-US	6	1	2	14, 15, ?, 17	NA	16
en-US	6	1	3	13, ?, 15, 16	NA	14
en-US	6	1	4	12, 13, 14, ?	NA	15
en-US	6	1	5	17, 18, ?, 20	NA	19
en-US	6	2	1	12, 13, 14, ?	NA	15
en-US	6	2	2	15, 16, ?, 18	NA	17
en-US	6	2	3	14, 15, 16, ?	NA	17
en-US	6	2	4	13, 14, ?, 16	NA	15
en-US	6	2	5	16, ?, 18, 19	NA	17
en-US	6	3	1	13, 14, 15, ?	NA	16
en-US	6	3	2	11, 12, ?, 14	NA	13
en-US	6	3	3	12, ?, 14, 15	NA	13
en-US	6	3	4	16, 17, 18, ?	NA	19
en-US	6	3	5	17, ?, 19, 20	NA	18
en-US	7	1	1	12, 14, 16, ?	NA	18
en-US	7	1	2	10, 12, 14, ?	NA	16
en-US	7	1	3	14, 16, ?, 20	NA	18
en-US	7	1	4	11, 13, ?, 17	NA	15
en-US	7	1	5	7, 9, 11, ?	NA	13
en-US	7	2	1	12, 14, ?, 18	NA	16
en-US	7	2	2	6, 8, 10, ?	NA	12
en-US	7	2	3	10, 12, ?, 16	NA	14
en-US	7	2	4	13, 15, 17, ?	NA	19
en-US	7	2	5	9, 11, ?, 15	NA	13
en-US	7	3	1	10, 12, 14, ?	NA	16
en-US	7	3	2	12, ?, 16, 18	NA	14
en-US	7	3	3	8, 10, 12, ?	NA	14
en-US	7	3	4	11, ?, 15, 17	NA	13
en-US	7	3	5	9, 11, 13, ?	NA	15
en-US	8	1	1	14, 13, 12, ?	NA	11
en-US	8	1	2	16, 15, 14, ?	NA	13
en-US	8	1	3	18, 17, ?, 15	NA	16
en-US	8	1	4	15, ?, 13,12	NA	14
en-US	8	1	5	19, ?, 17, 16	NA	18
en-US	8	2	1	15, 14, 13, ?	NA	12
en-US	8	2	2	18, 17, 16, ?	NA	15
en-US	8	2	3	16, 15, ?, 13	NA	14
en-US	8	2	4	14, ?, 12, 11	NA	13
en-US	8	2	5	17, ?, 15, 14	NA	16
en-US	8	3	1	19, 18, 17, ?	NA	16
en-US	8	3	2	17, 16, 15, ?	NA	14
en-US	8	3	3	18, 17, ?, 15	NA	16
en-US	8	3	4	15, 14, ?, 12	NA	13
en-US	8	3	5	16, ?, 14, 13	NA	15
en-US	9	1	1	23, 24, 25, ?	NA	26
en-US	9	1	2	35, 36, ?, 38	NA	37
en-US	9	1	3	21, ?, 23, 24	NA	22
en-US	9	1	4	46, 47, ?, 49	NA	48
en-US	9	1	5	28, 29, ?, 31	NA	30
en-US	9	2	1	25, 26, 27, ?	NA	28
en-US	9	2	2	32, 33, ?, 35	NA	34
en-US	9	2	3	41, 42, ?, 44	NA	43
en-US	9	2	4	26, ?, 28, 29	NA	27
en-US	9	2	5	38, 39, ?, 41	NA	40
en-US	9	3	1	33, 34, 35, ?	NA	36
en-US	9	3	2	24, 25, ?, 27	NA	26
en-US	9	3	3	31, ?, 33, 34	NA	32
en-US	9	3	4	44, 45, ?, 47	NA	46
en-US	9	3	5	19, ?, 21, 22	NA	20
en-US	10	1	1	10, 20, 30, ?	NA	40
en-US	10	1	2	20, 30, 40, ?	NA	50
en-US	10	1	3	10, ?, 30, 40	NA	20
en-US	10	1	4	20, 30, ?, 50	NA	40
en-US	10	1	5	20, ?, 40, 50	NA	30
en-US	11	1	1	22, 24, 26, ?	NA	28
en-US	11	1	2	30, 32, ?, 36	NA	34
en-US	11	1	3	42, 44, 46, ?	NA	48
en-US	11	1	4	21, 23, ?, 27	NA	25
en-US	11	1	5	32, ?, 36, 38	NA	34
en-US	11	2	1	32, 34, 36, ?	NA	38
en-US	11	2	2	20, 22, ?, 26	NA	24
en-US	11	2	3	42, 44, ?, 48	NA	46
en-US	11	2	4	31, 33, 35, ?	NA	37
en-US	11	2	5	22, ?, 26, 28	NA	24
en-US	11	3	1	30, 32, 34, ?	NA	36
en-US	11	3	2	32, 34, ?, 38	NA	36
en-US	11	3	3	22, 24, ?, 28	NA	26
en-US	11	3	4	41, 43, ?, 47	NA	45
en-US	11	3	5	20, ?, 24, 26	NA	22
en-US	12	1	1	25, 30, 35, ?	NA	40
en-US	12	1	2	35, 40, 45, ?	NA	50
en-US	12	1	3	30, 35, ?, 45	NA	40
en-US	12	1	4	25, ?, 35, 40	NA	30
en-US	12	1	5	20, ?, 30, 35	NA	25
en-US	12	2	1	20, 25, 30, ?	NA	35
en-US	12	2	2	15, 20, ?, 30	NA	25
en-US	12	2	3	20, 25, ?, 35	NA	30
en-US	12	2	4	30, ?, 40, 45	NA	35
en-US	12	2	5	25, ?, 35, 40	NA	30
en-US	13	1	1	25, 24, 23, ?	NA	22
en-US	13	1	2	34, 33, ?, 31	NA	32
en-US	13	1	3	39, 38, ?, 36	NA	37
en-US	13	1	4	45, 44, 43, ?	NA	42
en-US	13	1	5	49, 48, ?, 46	NA	47
en-US	13	2	1	28, 27, 26, ?	NA	25
en-US	13	2	2	24, 23, ?, 21	NA	22
en-US	13	2	3	36, 35, ?, 33	NA	34
en-US	13	2	4	44, 43, 42, ?	NA	41
en-US	13	2	5	47, 46, ?, 44	NA	45
en-US	13	3	1	26, 25, 24, ?	NA	23
en-US	13	3	2	28, ?, 26, 25	NA	27
en-US	13	3	3	34, 33, 32, ?	NA	31
en-US	13	3	4	37, ?, 35, 34	NA	36
en-US	13	3	5	50, 49, ?, 47	NA	48
en-US	14	1	1	50, 40, 30, ?	NA	20
en-US	14	1	2	50, 40, ?, 20	NA	30
en-US	14	1	3	50, ?, 30, 20	NA	40
en-US	14	1	4	40, 30, ?, 10	NA	20
en-US	14	1	5	?, 30, 20, 10	NA	40
en-US	14	2	1	40, 30, 20, ?	NA	10
en-US	14	2	2	50, 40, ?, 20	NA	30
en-US	14	2	3	40, ?, 20, 10	NA	30
en-US	14	2	4	50, ?, 30, 20	NA	40
en-US	14	2	5	?, 40, 30, 20	NA	50
en-US	15	1	1	53, 54, 55, ?	NA	56
en-US	15	1	2	62, 63, ?, 65	NA	64
en-US	15	1	3	94, 95, 96, ?	NA	97
en-US	15	1	4	82, 83, ?, 85	NA	84
en-US	15	1	5	72, ?, 74, 75	NA	73
en-US	15	2	1	64, 65, 66, ?	NA	67
en-US	15	2	2	56, 57, ?, 59	NA	58
en-US	15	2	3	90, 91, ?, 93	NA	92
en-US	15	2	4	87, 88, 89, ?	NA	90
en-US	15	2	5	73, 74, ?, 76	NA	75
en-US	15	3	1	60, 61, 62, ?	NA	63
en-US	15	3	2	74, 75, ?, 77	NA	76
en-US	15	3	3	82, 83, ?, 85	NA	84
en-US	15	3	4	57, 58, 59, ?	NA	60
en-US	15	3	5	93, 94, ?, 96	NA	95
en-US	16	1	1	50, 60, 70, ?	NA	80
en-US	16	1	2	60, 70, ?, 90	NA	80
en-US	16	1	3	30, 40, ?, 60	NA	50
en-US	16	1	4	40, ?, 60, 70	NA	50
en-US	16	1	5	60, ?, 80, 90	NA	70
en-US	16	2	1	60, 70, 80, ?	NA	90
en-US	16	2	2	30, 40, ?, 60	NA	50
en-US	16	2	3	40, 50, ?, 70	NA	60
en-US	16	2	4	50, 60, ?, 80	NA	70
en-US	16	2	5	50, ?, 70, 80	NA	60
en-US	17	1	1	52, 54, 56, ?	NA	58
en-US	17	1	2	60, 62, ?, 66	NA	64
en-US	17	1	3	71, 73, 75, ?	NA	77
en-US	17	1	4	63, 65, ?, 69	NA	67
en-US	17	1	5	50, ?, 54, 56	NA	52
en-US	17	2	1	62, 64, 66, ?	NA	68
en-US	17	2	2	80, 82, ?, 86	NA	84
en-US	17	2	3	53, 55, ?, 59	NA	57
en-US	17	2	4	72, 74, ?, 78	NA	76
en-US	17	2	5	61, ?, 65, 67	NA	63
en-US	18	1	1	50, 55, 60, ?	NA	65
en-US	18	1	2	65, 70, 75, ?	NA	80
en-US	18	1	3	45, 50, ?, 60	NA	55
en-US	18	1	4	75, 80, ?, 90	NA	85
en-US	18	1	5	60, ?, 70, 75	NA	65
en-US	18	2	1	55, 60, 65, ?	NA	70
en-US	18	2	2	40, 45, 50, ?	NA	55
en-US	18	2	3	70, 75, ?, 85	NA	80
en-US	18	2	4	80, 85, ?, 95	NA	90
en-US	18	2	5	50, ?, 60, 65	NA	55
en-US	19	1	1	65, 64, 63, ?	NA	62
en-US	19	1	2	87, 86, ?, 84	NA	85
en-US	19	1	3	60, 59, ?, 57	NA	58
en-US	19	1	4	71, 70, 69, ?	NA	68
en-US	19	1	5	94, 93, ?, 91	NA	92
en-US	19	2	1	74, 73, 72, ?	NA	71
en-US	19	2	2	58, 57, ?, 55	NA	56
en-US	19	2	3	90, 89, ?, 87	NA	88
en-US	19	2	4	82, 81, ?, 79	NA	80
en-US	19	2	5	67, ?, 65, 64	NA	66
en-US	20	1	1	90, 80, 70, ?	NA	60
en-US	20	1	2	60, 50, ?, 30	NA	40
en-US	20	1	3	70, 60, ?, 40	NA	50
en-US	20	1	4	80, ?, 60, 50	NA	70
en-US	20	1	5	?, 60, 50, 40	NA	70
en-US	20	2	1	80, 70, 60, ?	NA	50
en-US	20	2	2	70, 60, 50, ?	NA	40
en-US	20	2	3	90, 80, ?, 60	NA	70
en-US	20	2	4	70, ?, 50, 40	NA	60
en-US	20	2	5	?, 70, 60, 50	NA	80
en-US	21	1	1	3, 6, ?, 12	NA	9
en-US	21	1	2	6, 9, 12, ?	NA	15
en-US	21	1	3	3, ?, 9, 12	NA	6
en-US	21	2	1	3, 6, 9, ?	NA	12
en-US	21	2	2	6, 9, ?, 15	NA	12
en-US	21	2	3	9, 12, ?, 18	NA	15
en-US	21	3	1	3, 6, 9, ?	NA	12
en-US	21	3	2	6, 9, ?, 15	NA	12
en-US	21	3	3	3, ?, 9, 12	NA	6
en-US	22	1	1	30, 33, 36, ?	NA	39
en-US	22	1	2	27, 30, ?, 36	NA	33
en-US	22	1	3	36, ?, 42, 45	NA	39
en-US	22	2	1	36, 39, 42, ?	NA	45
en-US	22	2	2	45, 48, 51, ?	NA	54
en-US	22	2	3	33, ?, 39, 42	NA	36
en-US	23	1	1	8, 6, 4, ?	NA	2
en-US	23	1	2	10, 8, ?, 4	NA	6
en-US	23	1	3	8, ?, 4, 2	NA	6
en-US	23	2	1	10, 8, 6, ?	NA	4
en-US	23	2	2	8, 6, ?, 2	NA	4
en-US	23	2	3	8, ?, 4, 2	NA	6
en-US	24	1	1	18, 16, ?, 12	NA	14
en-US	24	1	2	20, 18, ?, 14	NA	16
en-US	24	1	3	16, ?, 12, 10	NA	14
en-US	24	2	1	16, 14, ?, 10	NA	12
en-US	24	2	2	20, 18, 16, ?	NA	14
en-US	24	2	3	18, ?, 14, 12	NA	16
en-US	25	1	1	38, 36, ?, 32	NA	34
en-US	25	1	2	28, ?, 24, 22	NA	26
en-US	25	1	3	46, 44, ?, 40	NA	42
en-US	25	2	1	30, 28, 26, ?	NA	24
en-US	25	2	2	38, ?, 34, 32	NA	36
en-US	25	2	3	26, 24, 22, ?	NA	20
en-US	26	1	1	76, 74, ?, 70	NA	72
en-US	26	1	2	68, ?, 64, 62	NA	66
en-US	26	1	3	90, 88, ?, 84	NA	86
en-US	26	2	1	58, 56, 54, ?	NA	52
en-US	26	2	2	80, ?, 76, 74	NA	78
en-US	26	2	3	96, 94, ?, 90	NA	92
en-US	27	1	1	20, 15, 10, ?	NA	5
en-US	27	1	2	35, 30, ?, 20	NA	25
en-US	27	1	3	40, ?, 30, 25	NA	35
en-US	27	2	1	35, 30, 25, ?	NA	20
en-US	27	2	2	25, 20, ?, 10	NA	15
en-US	27	2	3	45, ?, 35, 30	NA	40
en-US	28	1	1	452, 453, 454, ?	450, 455, 460, 465	455
en-US	28	1	2	341, 342, ?, 344	343, 434, 535, 443	343
en-US	28	1	3	560, ?, 562, 563	561, 571, 581, 591	561
en-US	28	1	4	348, 349, ?,  351	340, 350, 360, 370	350
en-US	28	1	5	258, 259, ?, 261	250, 260, 270, 280	260
en-US	28	2	1	745, 746, 747, ?	718, 728, 738, 748	748
en-US	28	2	2	234, 235, ?, 237	232, 234, 236, 238	236
en-US	28	2	3	678, 679, ?, 681	650, 660, 670, 680	680
en-US	28	2	4	533, 534, ?, 536	235, 345, 445, 535	535
en-US	28	2	5	478, 479, ?, 481	450, 460, 470, 480	480
en-US	29	1	1	400, 500, ?, 700	200, 400, 600, 800	600
en-US	29	1	2	?, 300, 400, 500	100, 200, 300, 400	200
en-US	29	1	3	330, 430, 530, ?	600, 610, 620, 630	630
en-US	29	1	4	550, 650, ?, 850	700, 730, 750, 770	750
en-US	29	1	5	251, 351, ?, 551	451, 452, 453, 454	451
en-US	29	2	1	100, 200, ?, 400	100, 300, 500, 700	300
en-US	29	2	2	?, 500, 600, 700	400, 450, 500, 550	400
en-US	29	2	3	670, 770, ?, 970	850, 860, 870, 880	870
en-US	29	2	4	340, 440, ?, 640	510, 520, 530, 540	540
en-US	29	2	5	456, 556, ?, 756	646, 656, 676, 686	656
en-US	30	1	1	500, 510, 520, ?	530, 630, 730, 830	530
en-US	30	1	2	360, 370, ?, 390	180, 280, 380, 480	380
en-US	30	1	3	750, ?, 770, 780	560, 660, 760, 860	760
en-US	30	1	4	624, 634, 644, ?	454, 554, 654, 754	654
en-US	30	1	5	235, 245, ?, 265	255, 355, 455, 555	255
en-US	30	2	1	400, 410, 420, ?	330, 430, 530, 630	430
en-US	30	2	2	630, 640, ?, 660	350, 450, 550, 650	650
en-US	30	2	3	850, ?, 870, 880	660, 760, 860, 960	860
en-US	30	2	4	535, 545, ?, 565	444, 555, 666, 777	555
en-US	30	2	5	367, ?, 387, 397	177, 377, 577, 777	377
en-US	31	1	1	310, 315, 320,?	300, 325, 350, 375	325
en-US	31	1	2	725, 730, 735, ?	710, 720, 730, 740	740
en-US	31	1	3	810, 815, ?, 825	620, 720, 820, 920	820
en-US	31	1	4	575, 580, ?, 590	385, 485, 585, 685	585
en-US	31	1	5	430, ?, 440, 445	235, 325, 435, 525	435
en-US	31	2	1	250, 255, 260, ?	225, 245, 265, 285	265
en-US	31	2	2	615, 620, ?, 630	625, 635, 645, 655	625
en-US	31	2	3	430, 435, ?, 445	220, 330, 440, 550	440
en-US	31	2	4	710, ?, 720, 725	700, 715, 730, 745	715
en-US	31	2	5	800, ?, 810, 815	605, 705, 805, 905	805
en-US	32	1	1	404, 403, ?, 401	442, 432, 412, 402	402
en-US	32	1	2	299, 298, 297, ?	296, 295, 294, 293	296
en-US	32	1	3	555, 554, ?, 552	653, 553, 453, 353	553
en-US	32	2	1	814, 813, 812, ?	911, 811, 711, 611	811
en-US	32	2	2	998, 997, 996, ?	995, 885, 775, 665	995
en-US	32	2	3	145, 144, ?, 142	443, 343, 243, 143	143
en-US	33	1	1	800, 700, ?, 500	900, 600, 300, 100	600
en-US	33	1	2	450, 350, ?, 150	250, 200, 100, 50	250
en-US	33	1	3	744, 644, ?, 444	555, 544, 533, 522	544
en-US	33	2	1	500, 400, ?, 200	900, 600, 300, 100	300
en-US	33	2	2	730, 630, ?, 430	550, 540, 530, 520	530
en-US	33	2	3	645, 545, ?, 345	445, 444, 443, 442	445
en-US	34	1	1	750, 740, 730, ?	920, 820, 720, 620	720
en-US	34	1	2	380, 370, ?, 350	580, 470, 360, 250	360
en-US	34	1	3	575, 565,?, 545	777, 666, 555, 444	555
en-US	34	2	1	550, 540, 530, ?	520, 510, 500, 490	520
en-US	34	2	2	800, 790, ?, 770	880, 780, 680, 580	780
en-US	34	2	3	150, ?, 130, 120	440, 340, 240, 140	140
en-US	35	1	1	345, 340, 335, ?	530, 430, 330, 230	330
en-US	35	1	2	725, ?, 715, 710	740, 730, 720, 710	720
en-US	35	1	3	515, 510, 505, ?	600, 500, 400, 300	500
en-US	35	2	1	655, 650, 645, ?	640, 630, 620, 610	640
en-US	35	2	2	295, 290, ?, 280	585, 485, 385, 285	285
en-US	35	2	3	415, ?, 405, 400	610, 510, 410, 310	410
en-US	36	1	1	4, 9, 14, ?	NA	19
en-US	36	1	2	3, 8, ?, 18	NA	13
en-US	36	1	3	2, ?, 12, 17	NA	7
en-US	36	2	1	2, 7, 12, ?	NA	17
en-US	36	2	2	4, 9, ?, 19	NA	14
en-US	36	2	3	3, ?, 13, 18	NA	8
en-US	37	1	1	4, 7, 10, ?	NA	13
en-US	37	1	2	1, 4, ?, 10	NA	7
en-US	37	1	3	5, ?, 11, 14	NA	8
en-US	37	2	1	5, 8, 11, ?	NA	14
en-US	37	2	2	7, 10,  ?, 16	NA	13
en-US	37	2	3	2, ?, 8, 11	NA	5
