title,Rainbow,book_en_304_page_0_1.m4a,book_en_304_page_0,landscape,audio,
word,2.39077,3.05864,blue.,en-uk_blue.m4a,0.2,
page,12,book_en_304_page_12,wordwrap,
paragraph
sentence,book_en_304_page_12_1.m4a,0,
word,0,1.13646,Six!,en-uk_six.m4a,0.2,
sentence,book_en_304_page_12_2.m4a,2.13646,
word,0,0.529715,The,en-uk_the.m4a,0.2,
word,0.529715,1.10294,sixth,en-uk_sixth.m4a,0.2,
word,1.10294,1.8834,color,en-uk_color.m4a,0.2,
word,1.8834,2.2399,is,en-uk_is.m4a,0.2,
word,2.2399,3.12132,indigo.,en-uk_indigo.m4a,0.2,
page,13,book_en_304_page_13,wordwrap,
paragraph
sentence,book_en_304_page_13_1.m4a,0,
word,0,0.788507,These,en-uk_these.m4a,0.2,
word,0.788507,1.63905,plums,en-uk_plums.m4a,0.2,
word,1.63905,2.1476,are,en-uk_are.m4a,0.2,
word,2.1476,2.96036,indigo.,en-uk_indigo.m4a,0.2,
page,14,book_en_304_page_14,wordwrap,
paragraph
sentence,book_en_304_page_14_1.m4a,0,
word,0,0.900726,Seven!,en-uk_seven.m4a,0.2,
sentence,book_en_304_page_14_2.m4a,1.90073,
word,0,0.533062,The,en-uk_the.m4a,0.2,
word,0.533062,1.23335,seventh,en-uk_seventh.m4a,0.2,
word,1.23335,1.97098,color,en-uk_color.m4a,0.2,
word,1.97098,2.34668,is,en-uk_is.m4a,0.2,
word,2.34668,2.89299,purple.,en-uk_purple.m4a,0.2,
page,15,book_en_304_page_15,wordwrap,
paragraph
sentence,book_en_304_page_15_1.m4a,0,
word,0,0.442092,The,en-uk_the.m4a,0.2,
word,0.442092,0.986288,color,en-uk_color.m4a,0.2,
word,0.986288,1.2703,of,en-uk_of.m4a,0.2,
word,1.2703,1.66159,my,en-uk_my.m4a,0.2,
word,1.66159,2.22855,pretty,en-uk_pretty.m4a,0.2,
word,2.22855,3.00334,dress,en-uk_dress.m4a,0.2,
word,3.00334,3.31264,is,en-uk_is.m4a,0.2,
word,3.31264,4.09703,purple.,en-uk_purple.m4a,0.2,
page,16,book_en_304_page_16,wordwrap,
paragraph
sentence,book_en_304_page_16_1.m4a,0,
word,0,0.443941,I,en-uk_i.m4a,0.2,
word,0.443941,0.812475,like,en-uk_like.m4a,0.2,
word,0.812475,1.3354,this,en-uk_this.m4a,0.2,
word,1.3354,2.11018,color,en-uk_color.m4a,0.2,
word,2.11018,2.54559,very,en-uk_very.m4a,0.2,
word,2.54559,3.16993,much.,en-uk_much.m4a,0.2,
page,17,book_en_304_page_17,wordwrap,
paragraph
sentence,book_en_304_page_17_1.m4a,0,
word,0,0.250183,Do,en-uk_do.m4a,0.2,
word,0.250183,0.583838,you,en-uk_you.m4a,0.2,
word,0.583838,1.00018,know,en-uk_know.m4a,0.2,
word,1.00018,1.16892,the,en-uk_the.m4a,0.2,
word,1.16892,1.60098,seven,en-uk_seven.m4a,0.2,
word,1.60098,2.20951,colors,en-uk_colors.m4a,0.2,
word,2.20951,2.4497,of,en-uk_of.m4a,0.2,
word,2.4497,2.79305,the,en-uk_the.m4a,0.2,
word,2.79305,3.37499,rainbow?,en-uk_rainbow.m4a,0.2,
