# LanguageTag	# Level	# Worksheet	# Problem		# Word	# Missing Position	# Number of Consonant Choices	# Number of Vowel Choices	# Image	# Sound Duration
en-US	1	6	5		zip	*ip	1	0	spelling_zip.png	0.568888889
en-US	1	6	6		kid	*id	1	0	spelling_kid.png	1.011337868
en-US	1	6	7		rat	*at	1	0	spelling_rat.png	0.832222222
en-US	1	7	1		dad	*ad	1	0	spelling_dad.png	0.550479167
en-US	1	7	2		bed	*ed	1	0	spelling_bed.png	0.606
en-US	1	7	3		rat	*at	1	0	spelling_rat.png	0.832222222
en-US	1	7	4		pig	*ig	1	0	spelling_pig.png	0.660666667
en-US	1	7	5		red	*ed	1	0	spelling_red.png	0.487541667
en-US	1	7	6		hen	*en	1	0	spelling_hen.png	0.801088435
en-US	1	7	7		box	*ox	1	0	spelling_box.png	0.630666667
en-US	2	1	1		pig	p*g	0	1	spelling_pig.png	0.660666667
en-US	2	1	2		bed	b*d	0	1	spelling_bed.png	0.606
en-US	2	1	3		red	r*d	0	1	spelling_red.png	0.487541667
en-US	2	1	4		man	m*n	0	1	spelling_man.png	0.693354167
en-US	2	1	5		dad	d*d	0	1	spelling_dad.png	0.550479167
en-US	2	1	6		mom	m*n	0	1	spelling_mom.png	0.639833333
en-US	2	1	7		rat	r*d	0	1	spelling_rat.png	0.832222222
en-US	2	2	1		bus	b*s	0	1	spelling_bus.png	0.81600907
en-US	2	2	2		box	b*x	0	1	spelling_box.png	0.630666667
en-US	2	2	3		dog	d*g	0	1	spelling_dog.png	0.720333333
en-US	2	2	4		cat	c*t	0	1	spelling_cat.png	0.621291667
en-US	2	2	5		mom	m*n	0	1	spelling_mom.png	0.639833333
en-US	2	2	6		man	m*n	0	1	spelling_man.png	0.693354167
en-US	2	2	7		sun	s*n	0	1	spelling_sun.png	0.803729167
en-US	2	3	1		kid	k*d	0	1	spelling_kid.png	1.011337868
en-US	2	3	2		man	m*n	0	1	spelling_man.png	0.693354167
en-US	2	3	3		zip	z*p	0	1	spelling_zip.png	0.568888889
en-US	2	3	4		dog	d*g	0	1	spelling_dog.png	0.720333333
en-US	2	3	5		six	s*x	0	1	spelling_six.png	0.814208333
en-US	2	3	6		bug	b*g	0	1	spelling_bug.png	0.568888889
en-US	2	3	7		hen	h*n	0	1	spelling_hen.png	0.801088435
en-US	2	4	1		kid	k*d	0	1	spelling_kid.png	1.011337868
en-US	2	4	2		cat	c*t	0	1	spelling_cat.png	0.621291667
en-US	2	4	3		bus	b*s	0	1	spelling_bus.png	0.81600907
en-US	2	4	4		dog	d*g	0	1	spelling_dog.png	0.720333333
en-US	2	4	5		six	s*x	0	1	spelling_six.png	0.814208333
en-US	2	4	6		sun	s*n	0	1	spelling_sun.png	0.803729167
en-US	2	4	7		red	r*d	0	1	spelling_red.png	0.487541667
en-US	2	5	1		cat	c*t	0	1	spelling_cat.png	0.621291667
en-US	2	5	2		box	b*x	0	1	spelling_box.png	0.630666667
en-US	2	5	3		sun	s*n	0	1	spelling_sun.png	0.803729167
en-US	2	5	4		bug	b*g	0	1	spelling_bug.png	0.568888889
en-US	2	5	5		six	s*x	0	1	spelling_six.png	0.814208333
en-US	2	5	6		hen	h*n	0	1	spelling_hen.png	0.801088435
en-US	2	5	7		bus	b*s	0	1	spelling_bus.png	0.81600907
en-US	2	6	1		mom	m*n	0	1	spelling_mom.png	0.639833333
en-US	2	6	2		bed	b*d	0	1	spelling_bed.png	0.606
en-US	2	6	3		dad	d*d	0	1	spelling_dad.png	0.550479167
en-US	2	6	4		pig	p*g	0	1	spelling_pig.png	0.660666667
en-US	2	6	5		zip	z*p	0	1	spelling_zip.png	0.568888889
en-US	2	6	6		kid	k*d	0	1	spelling_kid.png	1.011337868
en-US	2	6	7		rat	r*t	0	1	spelling_rat.png	0.832222222
en-US	2	7	1		dad	d*d	0	1	spelling_dad.png	0.550479167
en-US	2	7	2		bed	b*d	0	1	spelling_bed.png	0.606
en-US	2	7	3		rat	r*t	0	1	spelling_rat.png	0.832222222
en-US	2	7	4		pig	p*g	0	1	spelling_pig.png	0.660666667
en-US	2	7	5		red	r*d	0	1	spelling_red.png	0.487541667
en-US	2	7	6		hen	h*n	0	1	spelling_hen.png	0.801088435
en-US	2	7	7		box	b*x	0	1	spelling_box.png	0.630666667
en-US	3	1	1		pig	pi*	0	1	spelling_pig.png	0.660666667
en-US	3	1	2		bed	be*	0	1	spelling_bed.png	0.606
en-US	3	1	3		red	re*	0	1	spelling_red.png	0.487541667
en-US	3	1	4		man	ma*	0	1	spelling_man.png	0.693354167
en-US	3	1	5		dad	da*	0	1	spelling_dad.png	0.550479167
en-US	3	1	6		mom	mo*	0	1	spelling_mom.png	0.639833333
en-US	3	1	7		rat	ra*	0	1	spelling_rat.png	0.832222222
en-US	3	2	1		bus	bu*	0	1	spelling_bus.png	0.81600907
en-US	3	2	2		box	bo*	0	1	spelling_box.png	0.630666667
en-US	3	2	3		dog	do*	0	1	spelling_dog.png	0.720333333
en-US	3	2	4		cat	ca*	0	1	spelling_cat.png	0.621291667
en-US	3	2	5		mom	mo*	0	1	spelling_mom.png	0.639833333
en-US	3	2	6		man	ma*	0	1	spelling_man.png	0.693354167
en-US	3	2	7		sun	su*	0	1	spelling_sun.png	0.803729167
en-US	3	3	1		kid	ki*	0	1	spelling_kid.png	1.011337868
en-US	3	3	2		man	ma*	0	1	spelling_man.png	0.693354167
en-US	3	3	3		zip	zi*	0	1	spelling_zip.png	0.568888889
en-US	3	3	4		dog	do*	0	1	spelling_dog.png	0.720333333
en-US	3	3	5		six	si*	0	1	spelling_six.png	0.814208333
en-US	3	3	6		bug	bu*	0	1	spelling_bug.png	0.568888889
en-US	3	3	7		hen	he*	0	1	spelling_hen.png	0.801088435
en-US	3	4	1		kid	ki*	0	1	spelling_kid.png	1.011337868
en-US	3	4	2		cat	ca*	0	1	spelling_cat.png	0.621291667
en-US	3	4	3		bus	bu*	0	1	spelling_bus.png	0.81600907
en-US	3	4	4		dog	do*	0	1	spelling_dog.png	0.720333333
en-US	3	4	5		six	si*	0	1	spelling_six.png	0.814208333
en-US	3	4	6		sun	su*	0	1	spelling_sun.png	0.803729167
en-US	3	4	7		red	re*	0	1	spelling_red.png	0.487541667
en-US	3	5	1		cat	ca*	0	1	spelling_cat.png	0.621291667
en-US	3	5	2		box	bo*	0	1	spelling_box.png	0.630666667
en-US	3	5	3		sun	su*	0	1	spelling_sun.png	0.803729167
en-US	3	5	4		bug	bu*	0	1	spelling_bug.png	0.568888889
en-US	3	5	5		six	si*	0	1	spelling_six.png	0.814208333
en-US	3	5	6		hen	he*	0	1	spelling_hen.png	0.801088435
en-US	3	5	7		bus	bu*	0	1	spelling_bus.png	0.81600907
en-US	3	6	1		mom	mo*	0	1	spelling_mom.png	0.639833333
en-US	3	6	2		bed	be*	0	1	spelling_bed.png	0.606
en-US	3	6	3		dad	da*	0	1	spelling_dad.png	0.550479167
en-US	3	6	4		pig	pi*	0	1	spelling_pig.png	0.660666667
en-US	3	6	5		zip	zi*	0	1	spelling_zip.png	0.568888889
en-US	3	6	6		kid	ki*	0	1	spelling_kid.png	1.011337868
en-US	3	6	7		rat	ra*	0	1	spelling_rat.png	0.832222222
en-US	3	7	1		dad	da*	0	1	spelling_dad.png	0.550479167
en-US	3	7	2		bed	be*	0	1	spelling_bed.png	0.606
en-US	3	7	3		rat	ra*	0	1	spelling_rat.png	0.832222222
en-US	3	7	4		pig	pi*	0	1	spelling_pig.png	0.660666667
en-US	3	7	5		red	re*	0	1	spelling_red.png	0.487541667
en-US	3	7	6		hen	he*	0	1	spelling_hen.png	0.801088435
en-US	3	7	7		box	bo*	0	1	spelling_box.png	0.630666667
en-US	4	1	1		pig	***	2	1	spelling_pig.png	0.660666667
en-US	4	1	2		bed	***	2	1	spelling_bed.png	0.606
en-US	4	1	3		red	***	2	1	spelling_red.png	0.487541667
en-US	4	1	4		man	***	2	1	spelling_man.png	0.693354167
en-US	4	1	5		dad	***	2	1	spelling_dad.png	0.550479167
en-US	4	1	6		mom	***	2	1	spelling_mom.png	0.639833333
en-US	4	1	7		rat	***	2	1	spelling_rat.png	0.832222222
en-US	4	2	1		bus	***	2	1	spelling_bus.png	0.81600907
en-US	4	2	2		box	***	2	1	spelling_box.png	0.630666667
en-US	4	2	3		dog	***	2	1	spelling_dog.png	0.720333333
en-US	4	2	4		cat	***	2	1	spelling_cat.png	0.621291667
en-US	4	2	5		mom	***	2	1	spelling_mom.png	0.639833333
en-US	4	2	6		man	***	2	1	spelling_man.png	0.693354167
en-US	4	2	7		sun	***	2	1	spelling_sun.png	0.803729167
en-US	4	3	1		kid	***	2	1	spelling_kid.png	1.011337868
en-US	4	3	2		man	***	2	1	spelling_man.png	0.693354167
en-US	4	3	3		zip	***	2	1	spelling_zip.png	0.568888889
en-US	4	3	4		dog	***	2	1	spelling_dog.png	0.720333333
en-US	4	3	5		six	***	2	1	spelling_six.png	0.814208333
en-US	4	3	6		bug	***	2	1	spelling_bug.png	0.568888889
en-US	4	3	7		hen	***	2	1	spelling_hen.png	0.801088435
en-US	4	4	1		kid	***	2	1	spelling_kid.png	1.011337868
en-US	4	4	2		cat	***	2	1	spelling_cat.png	0.621291667
en-US	4	4	3		bus	***	2	1	spelling_bus.png	0.81600907
en-US	4	4	4		dog	***	2	1	spelling_dog.png	0.720333333
en-US	4	4	5		six	***	2	1	spelling_six.png	0.814208333
en-US	4	4	6		sun	***	2	1	spelling_sun.png	0.803729167
en-US	4	4	7		red	***	2	1	spelling_red.png	0.487541667
en-US	4	5	1		cat	***	2	1	spelling_cat.png	0.621291667
en-US	4	5	2		box	***	2	1	spelling_box.png	0.630666667
en-US	4	5	3		sun	***	2	1	spelling_sun.png	0.803729167
en-US	4	5	4		bug	***	2	1	spelling_bug.png	0.568888889
en-US	4	5	5		six	***	2	1	spelling_six.png	0.814208333
en-US	4	5	6		hen	***	2	1	spelling_hen.png	0.801088435
en-US	4	5	7		bus	***	2	1	spelling_bus.png	0.81600907
en-US	4	6	1		mom	***	2	1	spelling_mom.png	0.639833333
en-US	4	6	2		bed	***	2	1	spelling_bed.png	0.606
en-US	4	6	3		dad	***	2	1	spelling_dad.png	0.550479167
en-US	4	6	4		pig	***	2	1	spelling_pig.png	0.660666667
en-US	4	6	5		zip	***	2	1	spelling_zip.png	0.568888889
en-US	4	6	6		kid	***	2	1	spelling_kid.png	1.011337868
en-US	4	6	7		rat	***	2	1	spelling_rat.png	0.832222222
en-US	4	7	1		dad	***	2	1	spelling_dad.png	0.550479167
en-US	4	7	2		bed	***	2	1	spelling_bed.png	0.606
en-US	4	7	3		rat	***	2	1	spelling_rat.png	0.832222222
en-US	4	7	4		pig	***	2	1	spelling_pig.png	0.660666667
en-US	4	7	5		red	***	2	1	spelling_red.png	0.487541667
en-US	4	7	6		hen	***	2	1	spelling_hen.png	0.801088435
en-US	4	7	7		box	***	2	1	spelling_box.png	0.630666667
en-US	5	1	1		cat	***	4	1	spelling_cat.png	0.621291667
en-US	5	1	2		kid	***	4	1	spelling_kid.png	1.011337868
en-US	5	1	3		six	***	4	1	spelling_six.png	0.814208333
en-US	5	1	4		hen	***	4	1	spelling_hen.png	0.801088435
en-US	5	1	5		bed	***	4	1	spelling_bed.png	0.606
en-US	5	1	6		sun	***	4	1	spelling_sun.png	0.803729167
en-US	5	1	7		mom	***	4	1	spelling_mom.png	0.639833333
en-US	5	2	1		six	***	4	1	spelling_six.png	0.814208333
en-US	5	2	2		box	***	4	1	spelling_box.png	0.630666667
en-US	5	2	3		red	***	4	1	spelling_red.png	0.487541667
en-US	5	2	4		dog	***	4	1	spelling_dog.png	0.720333333
en-US	5	2	5		dad	***	4	1	spelling_dad.png	0.550479167
en-US	5	2	6		rat	***	4	1	spelling_rat.png	0.832222222
en-US	5	2	7		kid	***	4	1	spelling_kid.png	1.011337868
en-US	5	3	1		box	***	4	1	spelling_box.png	0.630666667
en-US	5	3	2		dad	***	4	1	spelling_dad.png	0.550479167
en-US	5	3	3		sun	***	4	1	spelling_sun.png	0.803729167
en-US	5	3	4		man	***	4	1	spelling_man.png	0.693354167
en-US	5	3	5		red	***	4	1	spelling_red.png	0.487541667
en-US	5	3	6		cat	***	4	1	spelling_cat.png	0.621291667
en-US	5	3	7		dog	***	4	1	spelling_dog.png	0.720333333
en-US	5	4	1		kid	***	4	1	spelling_kid.png	1.011337868
en-US	5	4	2		bus	***	4	1	spelling_bus.png	0.81600907
en-US	5	4	3		red	***	4	1	spelling_red.png	0.487541667
en-US	5	4	4		box	***	4	1	spelling_box.png	0.630666667
en-US	5	4	5		bed	***	4	1	spelling_bed.png	0.606
en-US	5	4	6		dad	***	4	1	spelling_dad.png	0.550479167
en-US	5	4	7		bug	***	4	1	spelling_bug.png	0.568888889
en-US	5	5	1		rat	***	4	1	spelling_rat.png	0.832222222
en-US	5	5	2		bus	***	4	1	spelling_bus.png	0.81600907
en-US	5	5	3		pig	***	4	1	spelling_pig.png	0.660666667
en-US	5	5	4		man	***	4	1	spelling_man.png	0.693354167
en-US	5	5	5		bus	***	4	1	spelling_bus.png	0.81600907
en-US	5	5	6		zip	***	4	1	spelling_zip.png	0.568888889
en-US	5	5	7		bed	***	4	1	spelling_bed.png	0.606
en-US	5	6	1		man	***	4	1	spelling_man.png	0.693354167
en-US	5	6	2		zip	***	4	1	spelling_zip.png	0.568888889
en-US	5	6	3		mom	***	4	1	spelling_mom.png	0.639833333
en-US	5	6	4		pig	***	4	1	spelling_pig.png	0.660666667
en-US	5	6	5		six	***	4	1	spelling_six.png	0.814208333
en-US	5	6	6		sun	***	4	1	spelling_sun.png	0.803729167
en-US	5	6	7		hen	***	4	1	spelling_hen.png	0.801088435
en-US	5	7	1		mom	***	4	1	spelling_mom.png	0.639833333
en-US	5	7	2		dog	***	4	1	spelling_dog.png	0.720333333
en-US	5	7	3		rat	***	4	1	spelling_rat.png	0.832222222
en-US	5	7	4		hen	***	4	1	spelling_hen.png	0.801088435
en-US	5	7	5		cat	***	4	1	spelling_cat.png	0.621291667
en-US	5	7	6		pig	***	4	1	spelling_pig.png	0.660666667
en-US	5	7	7		bug	***	4	1	spelling_bug.png	0.568888889
en-US	6	1	1		cat	***	4	2	spelling_cat.png	0.621291667
en-US	6	1	2		kid	***	4	2	spelling_kid.png	1.011337868
en-US	6	1	3		six	***	4	2	spelling_six.png	0.814208333
en-US	6	1	4		hen	***	4	2	spelling_hen.png	0.801088435
en-US	6	1	5		bed	***	4	2	spelling_bed.png	0.606
en-US	6	1	6		sun	***	4	2	spelling_sun.png	0.803729167
en-US	6	1	7		mom	***	4	2	spelling_mom.png	0.639833333
en-US	6	2	1		six	***	4	2	spelling_six.png	0.814208333
en-US	6	2	2		box	***	4	2	spelling_box.png	0.630666667
en-US	6	2	3		red	***	4	2	spelling_red.png	0.487541667
en-US	6	2	4		dog	***	4	2	spelling_dog.png	0.720333333
en-US	6	2	5		dad	***	4	2	spelling_dad.png	0.550479167
en-US	6	2	6		rat	***	4	2	spelling_rat.png	0.832222222
en-US	6	2	7		kid	***	4	2	spelling_kid.png	1.011337868
en-US	6	3	1		box	***	4	2	spelling_box.png	0.630666667
en-US	6	3	2		dad	***	4	2	spelling_dad.png	0.550479167
en-US	6	3	3		sun	***	4	2	spelling_sun.png	0.803729167
en-US	6	3	4		man	***	4	2	spelling_man.png	0.693354167
en-US	6	3	5		red	***	4	2	spelling_red.png	0.487541667
en-US	6	3	6		cat	***	4	2	spelling_cat.png	0.621291667
en-US	6	3	7		dog	***	4	2	spelling_dog.png	0.720333333
en-US	6	4	1		kid	***	4	2	spelling_kid.png	1.011337868
en-US	6	4	2		bus	***	4	2	spelling_bus.png	0.81600907
en-US	6	4	3		red	***	4	2	spelling_red.png	0.487541667
en-US	6	4	4		box	***	4	2	spelling_box.png	0.630666667
en-US	6	4	5		bed	***	4	2	spelling_bed.png	0.606
en-US	6	4	6		dad	***	4	2	spelling_dad.png	0.550479167
en-US	6	4	7		bug	***	4	2	spelling_bug.png	0.568888889
en-US	6	5	1		rat	***	4	2	spelling_rat.png	0.832222222
en-US	6	5	2		bus	***	4	2	spelling_bus.png	0.81600907
en-US	6	5	3		pig	***	4	2	spelling_pig.png	0.660666667
en-US	6	5	4		man	***	4	2	spelling_man.png	0.693354167
en-US	6	5	5		bus	***	4	2	spelling_bus.png	0.81600907
en-US	6	5	6		zip	***	4	2	spelling_zip.png	0.568888889
en-US	6	5	7		bed	***	4	2	spelling_bed.png	0.606
en-US	6	6	1		man	***	4	2	spelling_man.png	0.693354167
en-US	6	6	2		zip	***	4	2	spelling_zip.png	0.568888889
en-US	6	6	3		mom	***	4	2	spelling_mom.png	0.639833333
en-US	6	6	4		pig	***	4	2	spelling_pig.png	0.660666667
en-US	6	6	5		six	***	4	2	spelling_six.png	0.814208333
en-US	6	6	6		sun	***	4	2	spelling_sun.png	0.803729167
en-US	6	6	7		hen	***	4	2	spelling_hen.png	0.801088435
en-US	6	7	1		mom	***	4	2	spelling_mom.png	0.639833333
en-US	6	7	2		dog	***	4	2	spelling_dog.png	0.720333333
en-US	6	7	3		rat	***	4	2	spelling_rat.png	0.832222222
en-US	6	7	4		hen	***	4	2	spelling_hen.png	0.801088435
en-US	6	7	5		cat	***	4	2	spelling_cat.png	0.621291667
en-US	6	7	6		pig	***	4	2	spelling_pig.png	0.660666667
en-US	6	7	7		bug	***	4	2	spelling_bug.png	0.568888889
en-US	7	1	1		bed	b*d	0	2	spelling_bed.png	0.606
en-US	7	1	2		bus	b*s	0	2	spelling_bus.png	0.81600907
en-US	7	1	3		red	r*d	0	2	spelling_red.png	0.487541667
en-US	7	1	4		egg	e*g	1	1	spelling_egg.png	0.469833333
en-US	7	1	5		kid	k*d	0	2	spelling_kid.png	1.011337868
en-US	7	1	6		sun	s*n	0	2	spelling_sun.png	0.803729167
en-US	7	1	7		car	*ar	0	2	spelling_car.png	0.893968254
en-US	7	2	1		bug	b*g	0	2	spelling_bug.png	0.568888889
en-US	7	2	2		egg	e*g	1	1	spelling_egg.png	0.469833333
en-US	7	2	3		sun	s*n	0	2	spelling_sun.png	0.803729167
en-US	7	2	4		red	r*d	0	2	spelling_red.png	0.487541667
en-US	7	2	5		dog	d*g	0	2	spelling_dog.png	0.720333333
en-US	7	2	6		kid	k*d	0	2	spelling_kid.png	1.011337868
en-US	7	2	7		cat	c*t	0	2	spelling_cat.png	0.621291667
en-US	7	3	1		kid	k*d	0	2	spelling_kid.png	1.011337868
en-US	7	3	2		hen	h*n	0	2	spelling_hen.png	0.801088435
en-US	7	3	3		toy	t*y	0	2	spelling_toy.png	0.882358277
en-US	7	3	4		dad	d*d	0	2	spelling_dad.png	0.550479167
en-US	7	3	5		box	b*x	0	2	spelling_box.png	0.630666667
en-US	7	3	6		dog	d*g	0	2	spelling_dog.png	0.720333333
en-US	7	3	7		bed	b*d	0	2	spelling_bed.png	0.606
en-US	7	4	1		zip	z*p	0	2	spelling_zip.png	0.568888889
en-US	7	4	2		hen	h*n	0	2	spelling_hen.png	0.801088435
en-US	7	4	3		six	s*x	0	2	spelling_six.png	0.814208333
en-US	7	4	4		bus	b*s	0	2	spelling_bus.png	0.81600907
en-US	7	4	5		pig	p*g	0	2	spelling_pig.png	0.660666667
en-US	7	4	6		rat	r*t	0	2	spelling_rat.png	0.832222222
en-US	7	4	7		kid	k*d	0	2	spelling_kid.png	1.011337868
en-US	7	5	1		mom	m*m	0	2	spelling_mom.png	0.639833333
en-US	7	5	2		dad	d*d	0	2	spelling_dad.png	0.550479167
en-US	7	5	3		kid	k*d	0	2	spelling_kid.png	1.011337868
en-US	7	5	4		bus	b*s	0	2	spelling_bus.png	0.81600907
en-US	7	5	5		red	r*d	0	2	spelling_red.png	0.487541667
en-US	7	5	6		man	m*n	0	2	spelling_man.png	0.693354167
en-US	7	5	7		egg	e*g	1	1	spelling_egg.png	0.469833333
en-US	7	6	1		hen	h*n	0	2	spelling_hen.png	0.801088435
en-US	7	6	2		red	r*d	0	2	spelling_red.png	0.487541667
en-US	7	6	3		man	m*n	0	2	spelling_man.png	0.693354167
en-US	7	6	4		pig	p*g	0	2	spelling_pig.png	0.660666667
en-US	7	6	5		sun	s*n	0	2	spelling_sun.png	0.803729167
en-US	7	6	6		rat	r*t	0	2	spelling_rat.png	0.832222222
en-US	7	6	7		bed	b*d	0	2	spelling_bed.png	0.606
en-US	7	7	1		hen	h*n	0	2	spelling_hen.png	0.801088435
en-US	7	7	2		six	s*x	0	2	spelling_six.png	0.814208333
en-US	7	7	3		toy	t*y	0	2	spelling_toy.png	0.882358277
en-US	7	7	4		bug	b*g	0	2	spelling_bug.png	0.568888889
en-US	7	7	5		dog	d*g	0	2	spelling_dog.png	0.720333333
en-US	7	7	6		mom	m*m	0	2	spelling_mom.png	0.639833333
en-US	7	7	7		bed	b*d	0	2	spelling_bed.png	0.606
en-US	8	1	1		frog	fr*g	0	2	spelling_frog.png	0.7599375
en-US	8	1	2		city	c*ty	0	2	spelling_city.png	0.664666667
en-US	8	1	3		lion	l*on	0	2	spelling_lion.png	1.137732426
en-US	8	1	4		nose	n*se	0	2	spelling_nose.png	1.000793651
en-US	8	1	5		baby	b*by	0	2	spelling_baby.png	0.975238095
en-US	8	1	6		ball	b*ll	0	2	spelling_ball.png	0.768072562
en-US	8	1	7		leaf	l*af	0	2	spelling_leaf.png	0.789478458
en-US	8	2	1		corn	c*rn	0	2	spelling_corn.png	1.079727891
en-US	8	2	2		milk	m*lk	0	2	spelling_milk.png	0.678333333
en-US	8	2	3		farm	f*rm	0	2	spelling_farm.png	0.8034375
en-US	8	2	4		nest	n*st	0	2	spelling_nest.png	0.743038549
en-US	8	2	5		baby	b*by	0	2	spelling_baby.png	0.975238095
en-US	8	2	6		face	f*ce	0	2	spelling_face.png	0.859138322
en-US	8	2	7		leaf	l*af	0	2	spelling_leaf.png	0.789478458
en-US	8	3	1		cake	c*ke	0	2	spelling_cake.png	0.359909297
en-US	8	3	2		duck	d*ck	0	2	spelling_duck.png	0.781678005
en-US	8	3	3		face	f*ce	0	2	spelling_face.png	0.859138322
en-US	8	3	4		book	b*ok	0	2	spelling_book.png	0.562083333
en-US	8	3	5		ball	b*ll	0	2	spelling_ball.png	0.768072562
en-US	8	3	6		milk	m*lk	0	2	spelling_milk.png	0.678333333
en-US	8	3	7		leaf	l*af	0	2	spelling_leaf.png	0.789478458
en-US	8	4	1		baby	b*by	0	2	spelling_baby.png	0.975238095
en-US	8	4	2		farm	f*rm	0	2	spelling_farm.png	0.8034375
en-US	8	4	3		frog	fr*g	0	2	spelling_frog.png	0.7599375
en-US	8	4	4		ball	b*ll	0	2	spelling_ball.png	0.768072562
en-US	8	4	5		rain	r*in	0	2	spelling_rain.png	0.940408163
en-US	8	4	6		corn	c*rn	0	2	spelling_corn.png	1.079727891
en-US	8	4	7		duck	d*ck	0	2	spelling_duck.png	0.781678005
en-US	8	5	1		lion	l*on	0	2	spelling_lion.png	1.137732426
en-US	8	5	2		nest	n*st	0	2	spelling_nest.png	0.743038549
en-US	8	5	3		duck	d*ck	0	2	spelling_duck.png	0.781678005
en-US	8	5	4		book	b*ok	0	2	spelling_book.png	0.562083333
en-US	8	5	5		rain	r*in	0	2	spelling_rain.png	0.940408163
en-US	8	5	6		baby	b*by	0	2	spelling_baby.png	0.975238095
en-US	8	5	7		milk	m*lk	0	2	spelling_milk.png	0.678333333
en-US	8	6	1		baby	b*by	0	2	spelling_baby.png	0.975238095
en-US	8	6	2		leaf	l*af	0	2	spelling_leaf.png	0.789478458
en-US	8	6	3		rain	r*in	0	2	spelling_rain.png	0.940408163
en-US	8	6	4		meat	m*at	0	2	spelling_meat.png	0.484395833
en-US	8	6	5		fish	f*sh	0	2	spelling_fish.png	0.603229167
en-US	8	6	6		duck	d*ck	0	2	spelling_duck.png	0.781678005
en-US	8	6	7		milk	m*lk	0	2	spelling_milk.png	0.678333333
en-US	8	7	1		tree	tr*e	0	2	spelling_tree.png	0.544729167
en-US	8	7	2		lion	l*on	0	2	spelling_lion.png	1.137732426
en-US	8	7	3		duck	d*ck	0	2	spelling_duck.png	0.781678005
en-US	8	7	4		leaf	l*af	0	2	spelling_leaf.png	0.789478458
en-US	8	7	5		cake	c*ke	0	2	spelling_cake.png	0.359909297
en-US	8	7	6		milk	m*lk	0	2	spelling_milk.png	0.678333333
en-US	8	7	7		fire	f*re	0	2	spelling_fire.png	0.812698413
en-US	9	1	1		city	*ity	2	0	spelling_city.png	0.664666667
en-US	9	1	2		nest	*est	2	0	spelling_nest.png	0.743038549
en-US	9	1	3		book	*ook	2	0	spelling_book.png	0.562083333
en-US	9	1	4		face	*ace	2	0	spelling_face.png	0.859138322
en-US	9	1	5		tree	*ree	2	0	spelling_tree.png	0.544729167
en-US	9	1	6		farm	*arm	2	0	spelling_farm.png	0.8034375
en-US	9	1	7		ball	*all	2	0	spelling_ball.png	0.768072562
