		#문제시트 번호		#문제로 내는 수	#시작 시 물탱크 내 물방울 수
en-US	23	2	4	36	100
en-US	23	2	5	236	600
en-US	23	3	1	86	100
en-US	23	3	2	217	400
en-US	23	3	3	163	300
en-US	23	3	4	68	700
en-US	23	3	5	238	500
en-US	24	1	1	456	135
en-US	24	1	2	567	154
en-US	24	1	3	684	263
en-US	24	1	4	789	257
en-US	24	1	5	757	332
en-US	24	2	1	578	152
en-US	24	2	2	477	136
en-US	24	2	3	667	235
en-US	24	2	4	779	253
en-US	24	2	5	768	327
en-US	24	3	1	379	143
en-US	24	3	2	588	126
en-US	24	3	3	678	253
en-US	24	3	4	598	284
en-US	24	3	5	885	362
en-US	25	1	1	463	135
en-US	25	1	2	390	254
en-US	25	1	3	837	375
en-US	25	1	4	619	457
en-US	25	1	5	851	583
en-US	25	2	1	363	128
en-US	25	2	2	692	275
en-US	25	2	3	538	382
en-US	25	2	4	693	476
en-US	25	2	5	723	558
en-US	25	3	1	490	157
en-US	25	3	2	343	206
en-US	25	3	3	618	335
en-US	25	3	4	707	462
en-US	25	3	5	822	574
en-US	26	1	1	242	583
en-US	26	1	2	423	647
en-US	26	1	3	523	758
en-US	26	1	4	322	836
en-US	26	1	5	553	965
en-US	26	2	1	225	475
en-US	26	2	2	416	548
en-US	26	2	3	220	630
en-US	26	2	4	314	749
en-US	26	2	5	610	836
en-US	26	3	1	372	583
en-US	26	3	2	463	694
en-US	26	3	3	251	774
en-US	26	3	4	623	895
en-US	26	3	5	611	936
en-US	27	1	1	237	754
en-US	27	1	2	316	652
en-US	27	1	3	425	843
en-US	27	1	4	254	539
en-US	27	1	5	175	634
en-US	27	2	1	402	641
en-US	27	2	2	318	537
en-US	27	2	3	415	823
en-US	27	2	4	354	732
en-US	27	2	5	456	813
en-US	27	3	1	409	532
en-US	27	3	2	339	645
en-US	27	3	3	533	792
en-US	27	3	4	205	820
en-US	27	3	5	423	951
