#							
# CurriculumData.tsv for phase 2							Video와Book은0
# KitkitSchool on Apr 30, 2018							Book 중Comprehensive는해당숫자표시
#							math Egg Quiz 넣음
# Copyright (c) 2016 Enuma, Inc. All rights reserved.							명칭은kitkit courese sep v3와CurriculumData참고하여작성
# See LICENSE.md for more details.							Book A,B,C...은게임으로인지함
#							수정사항들
게임이름 공백 삭제							
#레벨데이터를변경하려면:							게임이름 대소문자 구분
# 우선Google Spreadsheet상에서이파일을수정한후에							multitrace -> LetterTracingCard
# File > Download as > Tab-separated values (.tsv)를선택합니다.							NumberTracingExt ->NumberTracingExt
# 다운로드한파일이름을CurriculumData.tsv으로변경합니다.							swahili 3 day 30이 잘못되어 삭제함
# "${XPRIZE_PATH}/Resources/”에tsv파일을복사해넣습니다.							category M이어야하는 부분 수정(math와 preschool2)
# "${XPRIZE_PATH}/Resources/Games/AnimalPuzzle"에는이미지파일을복사해넣습니다.							preschool2 카테고리레벨 2로 수정
#							
							
#level	#LanguageTag	#levelTitle	#category	#categoryLevel	#numDays		
#test							
#day	dayOrder	#numGames					
#game	#gameName	#gameLevel	#gameParam				


level	en-US	PreSchool	L	0	5
day	1	3
game	Book	0	en_109
game	Comprehension	1	en_109
game	SoundTrain	12	x
game	AnimalPuzzle	20	x
day	26	5
game	WordMachine	3	x
game	Book	0	en_111
game	Comprehension	1	en_111
game	SoundTrain	13	x
game	AnimalPuzzle	17	x
day	27	5
game	WordMachine	4	x
game	Book	0	en_112
game	Comprehension	1	en_112
game	SoundTrain	14	x
game	AnimalPuzzle	18	x
day	28	1
game	EggQuizLiteracy	0	PostTest_3

level	en-US	English 4	L	4	32
day	1	5
game	Spelling	8	x
game	ReadingBird	1	x
game	Video	0	en_vdo_201_rt
game	BirdPhonics	1	x
game	WordNote	1	x
day	2	5
game	Spelling	9	x
game	Book	0	en_201
game	Comprehension	1	en_201
game	BirdPhonics	2	x
game	AnimalPuzzle	21	x
day	3	5
game	Spelling	10	x
game	ReadingBird	1	x
game	Video	0	en_vdo_202_t
game	BirdPhonics	3	x
game	WordNote	2	x
day	4	5
game	Spelling	11	x
game	Book	0	en_202
game	Comprehension	1	en_202
game	BirdPhonics	4	x
game	AnimalPuzzle	22	x
day	5	5
game	Spelling	12	x
game	ReadingBird	2	x
game	Video	0	en_vdo_203
game	BirdPhonics	5	x
game	WordNote	3	x
day	6	5
game	Spelling	13	x
game	Book	0	en_203
game	Comprehension	1	en_203
game	BirdPhonics	6	x
game	AnimalPuzzle	23	x
day	7	5
game	Spelling	8	x
game	ReadingBird	2	x
game	Video	0	en_vdo_205
game	BirdPhonics	7	x
game	WordNote	4	x
day	8	1
game	EggQuizLiteracy	0	MiniTest_4_1
day	9	5
game	SoundTrain	13	x
game	Book	0	en_205
game	Comprehension	1	en_205
game	BirdPhonics	1	x
game	AnimalPuzzle	24	x
day	10	5
game	SoundTrain	14	x
game	ReadingBird	3	x
game	Video	0	en_vdo_209
game	BirdPhonics	2	x
game	WordNote	5	x
day	11	5
game	SoundTrain	15	x
game	Book	0	en_209
game	Comprehension	1	en_209
game	BirdPhonics	3	x
game	AnimalPuzzle	25	x
day	12	5
game	Spelling	9	x
game	ReadingBird	3	x
game	Book	0	en_204
game	BirdPhonics	4	x
game	WordNote	6	x
day	13	5
game	Spelling	10	x
game	ReadingBird	4	x
game	Book	0	en_205
game	BirdPhonics	5	x
game	WordNote	7	x
day	14	5
game	Spelling	11	x
game	ReadingBird	4	x
game	Book	0	en_206
game	BirdPhonics	6	x
game	WordNote	8	x
day	15	5
game	Spelling	12	x
game	ReadingBird	5	x
game	Book	0	en_207
game	BirdPhonics	7	x
game	AnimalPuzzle	26	x
day	16	1
game	EggQuizLiteracy	0	MiniTest_4_2
day	17	5
game	SoundTrain	16	x
game	Book	0	en_204
game	Comprehension	1	en_204
game	BirdPhonics	8	x
game	AnimalPuzzle	27	x
day	18	5
game	SoundTrain	17	x
game	Book	0	en_205
game	Comprehension	1	en_205
game	BirdPhonics	9	x
game	AnimalPuzzle	28	x
day	19	5
game	SoundTrain	18	x
game	Book	0	en_206
game	Comprehension	1	en_206
game	BirdPhonics	10	x
game	AnimalPuzzle	29	x
day	20	5
game	WordMachine	3	x
game	Book	0	en_207
game	Comprehension	1	en_207
game	BirdPhonics	11	x
game	AnimalPuzzle	21	x
day	21	4
game	WordMachine	4	x
game	ReadingBird	5	x
game	Video	0	en_vdo_210
game	WordNote	6	x
day	22	5
game	SoundTrain	19	x
game	ReadingBird	6	x
game	Book	0	en_210
game	Comprehension	1	en_210
game	WordNote	7	x
day	23	4
game	SoundTrain	20	x
game	ReadingBird	6	x
game	Video	0	en_vdo_212
game	WordNote	8	x
day	24	1
game	EggQuizLiteracy	0	MiniTest_4_3
day	25	5
game	SoundTrain	21	x
game	Book	0	en_212
game	Comprehension	1	en_212
game	BirdPhonics	12	x
game	WordNote	9	x
day	26	4
game	SoundTrain	20	x
game	ReadingBird	6	x
game	BirdPhonics	13	x
game	AnimalPuzzle	22	x
day	27	5
game	SoundTrain	21	x
game	Book	0	en_211
game	Comprehension	1	en_211
game	BirdPhonics	9	x
game	AnimalPuzzle	23	x
day	28	5
game	Spelling	9	x
game	Book	0	en_212
game	Comprehension	1	en_212
game	BirdPhonics	10	x
game	AnimalPuzzle	24	x
day	29	5
game	Spelling	10	x
game	Book	0	en_213
game	Comprehension	1	en_213
game	BirdPhonics	11	x
game	AnimalPuzzle	25	x
day	30	5
game	Spelling	11	x
game	Book	0	en_214
game	Comprehension	1	en_214
game	BirdPhonics	12	x
game	AnimalPuzzle	26	x
day	31	5
game	Spelling	12	x
game	Book	0	en_215
game	Comprehension	1	en_215
game	BirdPhonics	13	x
game	AnimalPuzzle	27	x
day	32	1
game	EggQuizLiteracy	0	PostTest_4

level	en-US	English 5	L	5	28
day	1	5
game	WordTracing	1	x
game	WordNote	10	x
game	Book	0	en_215
game	Comprehension	1	en_215
game	AnimalPuzzle	28	x
day	2	5
game	WordTracing	2	x
game	WordNote	11	x
game	Book	0	en_216
game	Comprehension	1	en_216
game	AnimalPuzzle	29	x
day	3	5
game	WordTracing	3	x
game	WordNote	12	x
game	Book	0	en_217
game	Comprehension	1	en_217
game	BirdPhonics	1	x
day	4	5
game	WordTracing	4	x
game	WordNote	13	x
game	Book	0	en_218
game	Comprehension	1	en_218
game	BirdPhonics	2	x
day	5	5
game	ReadingBird	7	x
game	WordNote	14	x
game	Book	0	en_220
game	Comprehension	1	en_220
game	BirdPhonics	3	x
day	6	5
game	ReadingBird	7	x
game	WordNote	15	x
game	Book	0	en_221
game	Comprehension	1	en_221
game	BirdPhonics	4	x
day	7	1
game	EggQuizLiteracy	0	MiniTest_5_1
day	8	5
game	Spelling	13	x
game	ReadingBird	7	x
game	Book	0	en_222
game	Comprehension	1	en_222
game	BirdPhonics	5	x
day	9	5
game	Spelling	14	x
game	ReadingBird	8	x
game	Book	0	en_225
game	Comprehension	1	en_225
game	BirdPhonics	6	x
day	10	6
game	Spelling	15	x
game	ReadingBird	8	x
game	Video	0	en_vdo_301
game	Comprehension	1	en_301
game	BirdPhonics	7	x
game	Book	0	en_301
day	11	6
game	Spelling	16	x
game	ReadingBird	8	x
game	Video	0	en_vdo_302_t
game	Comprehension	1	en_302
game	BirdPhonics	8	x
game	Book	0	en_302
day	12	5
game	ReadingBird	9	x
game	Video	0	en_vdo_304
game	Comprehension	1	en_304
game	AnimalPuzzle	30	x
game	Book	0	en_304
day	13	4
game	ReadingBird	9	x
game	Comprehension	1	en_305
game	BirdPhonics	9	x
game	Book	0	en_305
day	14	1
game	EggQuizLiteracy	0	MiniTest_5_2
day	15	6
game	WordTracing	1	x
game	WordNote	16	x
game	Video	0	en_vdo_306
game	Comprehension	1	en_306
game	BirdPhonics	10	x
game	Book	0	en_306
day	16	6
game	WordTracing	2	x
game	WordNote	17	x
game	Video	0	en_vdo_308
game	Comprehension	1	en_308
game	BirdPhonics	11	x
game	Book	0	en_308
day	17	5
game	WordTracing	3	x
game	WordNote	18	x
game	Comprehension	1	en_310
game	BirdPhonics	12	x
game	Book	0	en_310
day	18	5
game	WordTracing	4	x
game	WordNote	19	x
game	Book	0	en_303
game	BirdPhonics	13	x
game	Book	0	en_214
day	19	5
game	Spelling	13	x
game	WordNote	20	x
game	Book	0	en_307
game	BirdPhonics	14	x
game	Book	0	en_221
day	20	5
game	Spelling	14	x
game	ReadingBird	14	x
game	Book	0	en_309
game	BirdPhonics	15	x
game	Book	0	en_206
day	21	5
game	Spelling	15	x
game	ReadingBird	14	x
game	Book	0	en_312
game	AnimalPuzzle	31	x
game	Book	0	en_207
day	22	1
game	EggQuizLiteracy	0	MiniTest_5_3
day	23	5
game	Spelling	16	x
game	ReadingBird	9	x
game	Book	0	en_315
game	BirdPhonics	13	x
game	Book	0	en_202
day	24	5
game	Spelling	13	x
game	ReadingBird	10	x
game	Book	0	en_316
game	BirdPhonics	14	x
game	Book	0	en_222
day	25	5
game	Spelling	14	x
game	ReadingBird	10	x
game	Book	0	en_317
game	BirdPhonics	15	x
game	Book	0	en_206
day	26	5
game	Spelling	15	x
game	ReadingBird	10	x
game	Book	0	en_322
game	AnimalPuzzle	32	x
game	Book	0	en_303
day	27	5
game	Spelling	16	x
game	ReadingBird	11	x
game	Book	0	en_325
game	AnimalPuzzle	33	x
game	Book	0	en_307
day	28	1
game	EggQuizLiteracy	0	PostTest_5

level	en-US	English 6	L	6	30
day	1	4
game	WhatIsThis	1	x
game	WordNote	17	x
game	Book	0	en_310
game	AnimalPuzzle	28	x
day	2	4
game	WhatIsThis	1	x
game	WordNote	18	x
game	Book	0	en_318
game	BirdPhonics	13	x
day	3	4
game	WhatIsThis	1	x
game	WordNote	19	x
game	Book	0	en_328
game	BirdPhonics	14	x
day	4	4
game	ReadingBird	11	x
game	WhatIsThis	2	x
game	Book	0	en_303
game	BirdPhonics	15	x
day	5	4
game	ReadingBird	11	x
game	WhatIsThis	2	x
game	Book	0	en_324
game	BirdPhonics	16	x
day	6	4
game	ReadingBird	11	x
game	WhatIsThis	2	x
game	Book	0	en_311
game	BirdPhonics	16	x
day	7	1
game	EggQuizLiteracy	0	MiniTest_6_1
day	8	4
game	WordNote	20	x
game	WhatIsThis	3	x
game	Book	0	en_308
game	SentenceMaker	1	x
day	9	5
game	WordNote	21	x
game	WhatIsThis	3	x
game	Book	0	en_314
game	Video	0	en_vdo_314_rt
game	SentenceMaker	2	x
day	10	4
game	WordNote	22	x
game	WhatIsThis	3	x
game	Book	0	en_323
game	SentenceMaker	1	x
day	11	4
game	ReadingBird	12	x
game	WhatIsThis	4	x
game	Book	0	en_320
game	SentenceMaker	2	x
day	12	4
game	ReadingBird	12	x
game	WhatIsThis	4	x
game	Book	0	en_326
game	AnimalPuzzle	29	x
day	13	4
game	ReadingBird	12	x
game	WhatIsThis	4	x
game	Book	0	en_321
game	AnimalPuzzle	30	x
day	14	1
game	EggQuizLiteracy	0	MiniTest_6_2
day	15	5
game	WordNote	23	x
game	WhatIsThis	5	x
game	Book	0	en_301
game	Comprehension	1	en_301
game	SentenceMaker	1	x
day	16	5
game	WordNote	24	x
game	WhatIsThis	5	x
game	Book	0	en_302
game	Comprehension	1	en_302
game	SentenceMaker	2	x
day	17	5
game	WordNote	25	x
game	WhatIsThis	5	x
game	Book	0	en_303
game	Comprehension	1	en_303
game	SentenceMaker	3	x
day	18	5
game	WordNote	26	x
game	WhatIsThis	1	x
game	Book	0	en_304
game	Comprehension	1	en_304
game	AnimalPuzzle	27	x
day	19	5
game	ReadingBird	13	x
game	WhatIsThis	2	x
game	Book	0	en_308
game	Comprehension	1	en_308
game	SentenceMaker	2	x
day	20	5
game	ReadingBird	13	x
game	WhatIsThis	3	x
game	Book	0	en_311
game	Comprehension	1	en_311
game	SentenceMaker	3	x
day	21	5
game	ReadingBird	13	x
game	WhatIsThis	4	x
game	Book	0	en_314
game	Comprehension	1	en_314
game	SentenceMaker	4	x
day	22	1
game	EggQuizLiteracy	0	MiniTest_6_3
day	23	5
game	WordNote	24	x
game	WhatIsThis	5	x
game	Book	0	en_318
game	Comprehension	1	en_318
game	AnimalPuzzle	28	x
day	24	5
game	WordNote	25	x
game	WhatIsThis	5	x
game	Book	0	en_320
game	Comprehension	1	en_320
game	SentenceMaker	4	x
day	25	5
game	WordNote	26	x
game	WhatIsThis	6	x
game	Book	0	en_321
game	Comprehension	1	en_321
game	SentenceMaker	3	x
day	26	5
game	ReadingBird	14	x
game	WhatIsThis	6	x
game	Book	0	en_324
game	Comprehension	1	en_324
game	SentenceMaker	4	x
day	27	5
game	ReadingBird	14	x
game	WhatIsThis	6	x
game	Book	0	en_326
game	Comprehension	1	en_326
game	SentenceMaker	2	x
day	28	5
game	ReadingBird	15	x
game	WhatIsThis	7	x
game	Book	0	en_327
game	Comprehension	1	en_327
game	SentenceMaker	3	x
day	29	5
game	ReadingBird	15	x
game	WhatIsThis	7	x
game	Book	0	en_328
game	Comprehension	1	en_328
game	SentenceMaker	4	x
day	30	1
game	EggQuizLiteracy	0	PostTest_6

level	en-US	English 7	L	7	30
day	1	5
game	ReadingBird	14	x
game	Video	0	en_vdo_uppercase
game	Book	0	en_330
game	Comprehension	1	en_330
game	WhatIsThis	7	x
day	2	5
game	ReadingBird	14	x
game	Video	0	en_vdo_uppercase
game	Book	0	en_329
game	Comprehension	1	en_329
game	WhatIsThis	7	x
day	3	5
game	SentenceMaker	5	x
game	Book	0	en_331
game	Comprehension	1	en_331
game	WhatIsThis	7	x
game	StarFall	1	x
day	4	5
game	SentenceMaker	5	x
game	Book	0	en_307
game	Comprehension	1	en_307
game	WhatIsThis	8	x
game	StarFall	1	x
day	5	5
game	ReadingBird	15	x
game	Book	0	en_309
game	Comprehension	1	en_309
game	WhatIsThis	8	x
game	StarFall	2	x
day	6	5
game	ReadingBird	15	x
game	Book	0	en_310
game	Comprehension	1	en_310
game	WhatIsThis	8	x
game	StarFall	2	x
day	7	1
game	EggQuizLiteracy	0	MiniTest_7_1
day	8	5
game	SentenceMaker	6	x
game	Book	0	en_406
game	Comprehension	1	en_406
game	WhatIsThis	9	x
game	StarFall	3	x
day	9	5
game	SentenceMaker	6	x
game	Book	0	en_406
game	Comprehension	1	en_406
game	WhatIsThis	9	x
game	StarFall	3	x
day	10	5
game	ReadingBird	16	x
game	Book	0	en_404
game	Comprehension	1	en_404
game	WhatIsThis	9	x
game	StarFall	3	x
day	11	5
game	SentenceMaker	7	x
game	Video	0	en_vdo_403
game	Comprehension	1	en_403
game	WhatIsThis	10	x
game	Book	0	en_403
day	12	4
game	SentenceMaker	7	x
game	Video	0	en_vdo_401_rt
game	Comprehension	1	en_401
game	WhatIsThis	10	x
day	13	5
game	SentenceMaker	8	x
game	Book	0	en_401
game	Comprehension	1	en_401
game	WhatIsThis	10	x
game	AnimalPuzzle	29	x
day	14	1
game	EggQuizLiteracy	0	MiniTest_7_2
day	15	5
game	SentenceMaker	8	x
game	Video	0	en_vdo_punctuation
game	Book	0	en_402
game	Comprehension	1	en_402
game	WhatIsThis	11	x
day	16	5
game	SentenceMaker	9	x
game	Video	0	en_vdo_punctuation
game	Book	0	en_402
game	Comprehension	1	en_402
game	WhatIsThis	11	x
day	17	5
game	ReadingBird	15	x
game	Book	0	en_405
game	Comprehension	1	en_405
game	WhatIsThis	11	x
game	StarFall	4	x
day	18	5
game	ReadingBird	16	x
game	Book	0	en_405
game	Comprehension	1	en_405
game	WhatIsThis	12	x
game	AnimalPuzzle	30	x
day	19	5
game	SentenceMaker	9	x
game	Book	0	en_403
game	Comprehension	1	en_403
game	WhatIsThis	12	x
game	StarFall	4	x
day	20	5
game	SentenceMaker	10	x
game	Book	0	en_404
game	Comprehension	1	en_404
game	WhatIsThis	12	x
game	StarFall	5	x
day	21	5
game	SentenceMaker	10	x
game	Book	0	en_409
game	Comprehension	1	en_409
game	WhatIsThis	13	x
game	StarFall	5	x
day	22	1
game	EggQuizLiteracy	0	MiniTest_7_3
day	23	5
game	SentenceMaker	11	x
game	Book	0	en_409
game	Comprehension	1	en_409
game	WhatIsThis	13	x
game	AnimalPuzzle	31	x
day	24	5
game	SentenceMaker	11	x
game	Book	0	en_407
game	Comprehension	1	en_407
game	WhatIsThis	13	x
game	StarFall	6	x
day	25	5
game	ReadingBird	16	x
game	Book	0	en_407
game	Comprehension	1	en_407
game	WhatIsThis	14	x
game	StarFall	6	x
day	26	5
game	ReadingBird	17	x
game	Book	0	en_411
game	Comprehension	1	en_411
game	WhatIsThis	14	x
game	StarFall	6	x
day	27	5
game	SentenceMaker	11	x
game	Book	0	en_411
game	Comprehension	1	en_411
game	WhatIsThis	14	x
game	StarFall	7	x
day	28	5
game	SentenceMaker	12	x
game	Book	0	en_408
game	Comprehension	1	en_408
game	WhatIsThis	15	x
game	StarFall	7	x
day	29	5
game	SentenceMaker	12	x
game	Book	0	en_408
game	Comprehension	1	en_408
game	WhatIsThis	15	x
game	StarFall	7	x
day	30	1
game	EggQuizLiteracy	0	PostTest_7

level	en-US	English 8	L	8	30
day	1	4
game	WhatIsThis	15	x
game	Book	0	en_410
game	SentenceMaker	12	x
game	StarFall	8	x
day	2	4
game	WhatIsThis	15	x
game	Book	0	en_410
game	Comprehension	1	en_410
game	SentenceMaker	13	x
day	3	4
game	WhatIsThis	15	x
game	Book	0	en_412
game	SentenceMaker	13	x
game	StarFall	8	x
day	4	4
game	WhatIsThis	16	x
game	Book	0	en_412
game	Comprehension	1	en_412
game	SentenceMaker	13	x
day	5	4
game	ReadingBird	17	x
game	Book	0	en_413
game	AnimalPuzzle	32	x
game	StarFall	8	x
day	6	4
game	ReadingBird	17	x
game	Book	0	en_413
game	Comprehension	1	en_413
game	SentenceMaker	14	x
day	7	1
game	EggQuizLiteracy	0	MiniTest_8_1
day	8	4
game	ReadingBird	17	x
game	Book	0	en_502
game	SentenceMaker	14	x
game	StarFall	9	x
day	9	4
game	ReadingBird	17	x
game	Book	0	en_502
game	Comprehension	1	en_502
game	SentenceMaker	14	x
day	10	4
game	WhatIsThis	16	x
game	Book	0	en_504
game	SentenceMaker	15	x
game	StarFall	9	x
day	11	4
game	WhatIsThis	16	x
game	Book	0	en_504
game	Comprehension	1	en_504
game	AnimalPuzzle	32	x
day	12	4
game	WhatIsThis	17	x
game	Book	0	en_504
game	SentenceMaker	15	x
game	StarFall	9	x
day	13	4
