#level	problem	problemCount	left property	left1 count	left operator	left2 count	right property	right1 count	right operator	right2 count
5	45	5	number	9			number	17		
5	46	5	number	9			number	18		
5	47	5	number	9			number	19		
5	48	5	number	11			number	1		
5	49	5	number	11			number	2		
5	50	5	number	11			number	3		
5	51	5	number	11			number	14		
5	52	5	number	11			number	5		
5	53	5	number	11			number	16		
5	54	5	number	11			number	7		
5	55	5	number	11			number	8		
5	56	5	number	11			number	19		
5	57	5	number	12			number	2		
5	58	5	number	12			number	3		
5	59	5	number	12			number	14		
5	60	5	number	12			number	5		
5	61	5	number	12			number	16		
5	62	5	number	12			number	7		
5	63	5	number	12			number	8		
5	64	5	number	12			number	9		
5	65	5	number	13			number	3		
5	66	5	number	13			number	4		
5	67	5	number	13			number	5		
5	68	5	number	13			number	16		
5	69	5	number	13			number	7		
5	70	5	number	13			number	8		
5	71	5	number	13			number	9		
5	72	5	number	14			number	4		
5	73	5	number	14			number	15		
5	74	5	number	14			number	6		
5	75	5	number	14			number	7		
5	76	5	number	14			number	8		
5	77	5	number	14			number	19		
5	78	5	number	15			number	5		
5	79	5	number	15			number	6		
5	80	5	number	15			number	7		
5	81	5	number	15			number	8		
5	82	5	number	15			number	9		
5	83	5	number	16			number	6		
5	84	5	number	16			number	7		
5	85	5	number	16			number	18		
5	86	5	number	16			number	9		
5	87	5	number	17			number	7		
5	88	5	number	17			number	8		
5	89	5	number	17			number	9		
5	90	5	number	18			number	8		
5	91	5	number	18			number	9		
5	92	5	number	19			number	9		
5	93	5	number	20			number	11		
5	94	5	number	20			number	12		
5	95	5	number	20			number	13		
5	96	5	number	20			number	14		
5	97	5	number	20			number	15		
5	98	5	number	20			number	16		
5	99	5	number	20			number	17		
5	100	5	number	20			number	18		
6	1	5	number	2	+	4	number	4	+	2
6	2	5	number	2	+	5	number	5	+	2
6	3	5	number	2	+	6	number	6	+	2
6	4	5	number	2	+	3	number	3	+	2
6	5	5	number	2	+	7	number	7	+	2
6	6	5	number	3	+	2	number	2	+	3
6	7	5	number	3	+	4	number	4	+	3
6	8	5	number	3	+	5	number	5	+	3
6	9	5	number	3	+	6	number	6	+	3
6	10	5	number	3	+	7	number	7	+	3
6	11	5	number	4	+	1	number	1	+	4
6	12	5	number	4	+	2	number	2	+	4
6	13	5	number	4	+	3	number	3	+	4
6	14	5	number	4	+	5	number	5	+	4
6	15	5	number	5	+	2	number	2	+	5
6	16	5	number	5	+	3	number	3	+	5
6	17	5	number	5	+	4	number	4	+	5
6	18	5	number	6	+	1	number	1	+	6
6	19	5	number	6	+	2	number	2	+	6
6	20	5	number	6	+	3	number	3	+	6
6	21	5	number	6	+	4	number	4	+	6
6	22	5	number	7	+	1	number	1	+	7
6	23	5	number	7	+	2	number	2	+	7
6	24	5	number	7	+	3	number	3	+	7
7	1	5	number	3	+	1	number	5	+	1
7	2	5	number	3	+	2	number	5	+	2
7	3	5	number	3	+	4	number	5	+	4
7	4	5	number	6	+	1	number	4	+	1
7	5	5	number	6	+	2	number	4	+	2
7	6	5	number	6	+	3	number	4	+	3
7	7	5	number	2	+	1	number	7	+	1
7	8	5	number	2	+	2	number	7	+	2
7	9	5	number	2	+	3	number	7	+	3
7	10	5	number	6	+	1	number	2	+	1
7	11	5	number	6	+	2	number	2	+	2
7	12	5	number	6	+	3	number	2	+	3
7	13	5	number	6	+	4	number	2	+	4
8	1	5	number	6	-	1	number	4	-	1
8	2	5	number	6	-	2	number	4	-	2
8	3	5	number	6	-	3	number	4	-	3
8	4	5	number	7	-	1	number	6	-	1
8	5	5	number	7	-	2	number	6	-	2
8	6	5	number	7	-	3	number	6	-	3
8	7	5	number	7	-	4	number	6	-	4
8	8	5	number	7	-	5	number	6	-	5
8	9	5	number	6	-	1	number	9	-	1
8	10	5	number	6	-	2	number	9	-	2
8	11	5	number	6	-	3	number	9	-	3
8	12	5	number	6	-	4	number	9	-	4
8	13	5	number	6	-	5	number	9	-	5
9	1	5	number	7	+	8	number	8	+	7
9	2	5	number	7	+	9	number	9	+	7
9	3	5	number	7	+	10	number	10	+	7
9	4	5	number	7	+	11	number	11	+	7
9	5	5	number	7	+	12	number	12	+	7
9	6	5	number	7	+	5	number	5	+	7
9	7	5	number	7	+	4	number	4	+	7
9	8	5	number	6	+	5	number	5	+	6
9	9	5	number	6	+	7	number	7	+	6
9	10	5	number	6	+	8	number	8	+	6
9	11	5	number	6	+	9	number	9	+	6
9	12	5	number	6	+	10	number	10	+	6
9	13	5	number	6	+	11	number	11	+	6
9	14	5	number	6	+	12	number	12	+	6
9	15	5	number	8	+	7	number	7	+	8
9	16	5	number	8	+	9	number	9	+	8
9	17	5	number	8	+	10	number	10	+	8
9	18	5	number	8	+	11	number	11	+	8
9	19	5	number	8	+	12	number	12	+	8
10	1	5	number	11	+	7	number	11	+	4
10	2	5	number	11	+	3	number	11	+	5
10	3	5	number	11	+	8	number	11	+	2
10	4	5	number	11	+	6	number	11	+	9
10	5	5	number	11	+	1	number	11	+	6
10	6	5	number	13	+	4	number	13	+	6
10	7	5	number	13	+	7	number	13	+	2
10	8	5	number	13	+	5	number	13	+	1
10	9	5	number	13	+	3	number	13	+	5
10	10	5	number	13	+	6	number	13	+	4
10	11	5	number	14	+	5	number	14	+	1
10	12	5	number	14	+	2	number	14	+	5
10	13	5	number	14	+	6	number	14	+	4
10	14	5	number	14	+	3	number	14	+	5
10	15	5	number	14	+	4	number	14	+	3
10	16	5	number	14	+	5	number	14	+	1
10	17	5	number	14	+	2	number	14	+	4
10	18	5	number	15	+	2	number	15	+	3
10	19	5	number	15	+	4	number	15	+	1
10	20	5	number	15	+	5	number	15	+	4
11	1	5	number	13	-	3	number	13	-	10
11	2	5	number	13	-	11	number	13	-	1
11	3	5	number	13	-	3	number	13	-	2
11	4	5	number	13	-	7	number	13	-	9
11	5	5	number	12	-	10	number	12	-	2
11	6	5	number	12	-	11	number	12	-	1
11	7	5	number	12	-	5	number	12	-	8
11	8	5	number	12	-	6	number	12	-	9
11	9	5	number	15	-	5	number	15	-	10
11	10	5	number	15	-	1	number	15	-	10
11	11	5	number	15	-	11	number	15	-	1
11	12	5	number	15	-	12	number	15	-	2
11	13	5	number	15	-	7	number	15	-	9
11	14	5	number	15	-	3	number	15	-	2
11	15	5	number	18	-	11	number	18	-	10
11	16	5	number	18	-	8	number	18	-	10
11	17	5	number	18	-	5	number	18	-	12
11	18	5	number	18	-	13	number	18	-	7
11	19	5	number	18	-	6	number	18	-	15
11	20	5	number	18	-	12	number	18	-	2
12	1	5	number	10			number	10		
12	2	5	number	10			number	20		
12	3	5	number	10			number	30		
12	4	5	number	10			number	40		
12	5	5	number	10			number	50		
12	6	5	number	20			number	10		
12	7	5	number	20			number	20		
12	8	5	number	20			number	30		
12	9	5	number	20			number	40		
12	10	5	number	20			number	50		
12	11	5	number	30			number	10		
12	12	5	number	30			number	20		
12	13	5	number	30			number	30		
12	14	5	number	30			number	40		
12	15	5	number	30			number	50		
12	16	5	number	40			number	10		
12	17	5	number	40			number	20		
12	18	5	number	40			number	30		
12	19	5	number	40			number	40		
12	20	5	number	40			number	50		
12	21	5	number	50			number	10		
12	22	5	number	50			number	20		
12	23	5	number	50			number	30		
12	24	5	number	50			number	40		
12	25	5	number	50			number	50		
13	1	5	number	39			number	41		
13	2	5	number	37			number	29		
13	3	5	number	35			number	18		
13	4	5	number	25			number	35		
13	5	5	number	23			number	18		
13	6	5	number	28			number	43		
13	7	5	number	44			number	39		
13	8	5	number	46			number	26		
13	9	5	number	45			number	17		
13	10	5	number	18			number	28		
13	11	5	number	16			number	33		
13	12	5	number	17			number	44		
14	1	5	number	16			number	13		
14	2	5	number	12			number	17		
14	3	5	number	19			number	15		
14	4	5	number	28			number	24		
14	5	5	number	26			number	29		
14	6	5	number	22			number	20		
14	7	5	number	34			number	31		
14	8	5	number	36			number	37		
14	9	5	number	35			number	33		
14	10	5	number	42			number	47		
14	11	5	number	45			number	49		
14	12	5	number	48			number	46		
15	1	5	number	36	+	13	number	13	+	36
15	2	5	number	12	+	28	number	28	+	12
15	3	5	number	45	+	5	number	5	+	45
15	4	5	number	3	+	25	number	25	+	3
15	5	5	number	6	+	32	number	32	+	6
15	6	5	number	23	+	5	number	33	+	5
15	7	5	number	24	+	5	number	44	+	5
15	8	5	number	37	+	3	number	17	+	3
15	9	5	number	32	+	3	number	42	+	3
15	10	5	number	43	+	6	number	24	+	6
16	1	5	number	30	+	1	number	30	+	10
16	2	5	number	27	+	10	number	27	+	1
16	3	5	number	26	+	10	number	26	+	11
16	4	5	number	34	+	11	number	34	+	10
16	5	5	number	27	+	2	number	27	+	20
16	6	5	number	15	+	20	number	15	+	2
16	7	5	number	13	+	30	number	13	+	3
16	8	5	number	17	+	3	number	17	+	30
16	9	5	number	32	+	4	number	32	+	2
16	10	5	number	24	+	22	number	24	+	2
17	1	5	number	46	-	10	number	26	-	10
17	2	5	number	43	-	3	number	45	-	3
17	3	5	number	48	-	28	number	38	-	28
17	4	5	number	29	-	19	number	49	-	19
17	5	5	number	27	-	17	number	37	-	17
17	6	5	number	26	-	5	number	29	-	5
17	7	5	number	32	-	10	number	26	-	10
17	8	5	number	35	-	5	number	39	-	5
17	9	5	number	37	-	17	number	47	-	17
17	10	5	number	39	-	1	number	40	-	1
18	1	5	number	47	-	10	number	47	-	20
18	2	5	number	46	-	30	number	46	-	3
18	3	5	number	48	-	30	number	48	-	3
18	4	5	number	37	-	1	number	37	-	10
18	5	5	number	35	-	2	number	35	-	20
18	6	5	number	38	-	20	number	38	-	10
18	7	5	number	34	-	14	number	34	-	4
18	8	5	number	27	-	11	number	27	-	1
18	9	5	number	26	-	1	number	26	-	10
18	10	5	number	24	-	4	number	24	-	20
19	1	5	number	52			number	71		
19	2	5	number	56			number	64		
19	3	5	number	64			number	59		
19	4	5	number	68			number	93		
19	5	5	number	77			number	68		
19	6	5	number	73			number	81		
19	7	5	number	85			number	58		
19	8	5	number	86			number	67		
19	9	5	number	90			number	59		
19	10	5	number	92			number	66		
19	11	5	number	55			number	58		
19	12	5	number	57			number	56		
19	13	5	number	63			number	65		
19	14	5	number	68			number	69		
19	15	5	number	76			number	75		
19	16	5	number	74			number	77		
19	17	5	number	81			number	89		
19	18	5	number	87			number	85		
19	19	5	number	99			number	97		
19	20	5	number	95			number	98		
20	1	5	number	68	+	7	number	7	+	68
20	2	5	number	45	+	37	number	37	+	45
20	3	5	number	72	+	15	number	15	+	72
20	4	5	number	64	+	5	number	64	+	3
20	5	5	number	52	+	3	number	52	+	30
20	6	5	number	61	+	20	number	61	+	2
20	7	5	number	74	+	1	number	74	+	10
20	8	5	number	46	+	40	number	46	+	4
20	9	5	number	3	+	83	number	6	+	83
20	10	5	number	10	+	67	number	11	+	67
21	1	5	number	84	-	30	number	84	-	40
21	2	5	number	76	-	50	number	76	-	30
21	3	5	number	95	-	5	number	95	-	50
21	4	5	number	83	-	10	number	83	-	1
21	5	5	number	78	-	3	number	78	-	30
21	6	5	number	89	-	80	number	89	-	9
21	7	5	number	60	-	6	number	70	-	6
21	8	5	number	58	-	28	number	68	-	28
21	9	5	number	67	-	27	number	77	-	27
21	10	5	number	92	-	30	number	82	-	30
22	1	5	number	100			number	100		
22	2	5	number	100			number	200		
22	3	5	number	100			number	300		
22	4	5	number	100			number	400		
22	5	5	number	100			number	500		
22	6	5	number	100			number	600		
22	7	5	number	100			number	700		
22	8	5	number	100			number	800		
22	9	5	number	100			number	900		
22	10	5	number	200			number	100		
22	11	5	number	200			number	200		
22	12	5	number	200			number	300		
22	13	5	number	200			number	400		
22	14	5	number	200			number	500		
22	15	5	number	200			number	600		
22	16	5	number	200			number	700		
22	17	5	number	200			number	800		
22	18	5	number	200			number	900		
22	19	5	number	300			number	100		
22	20	5	number	300			number	200		
22	21	5	number	300			number	300		
22	22	5	number	300			number	400		
22	23	5	number	300			number	500		
22	24	5	number	300			number	600		
22	25	5	number	300			number	700		
22	26	5	number	300			number	800		
22	27	5	number	300			number	900		
22	28	5	number	400			number	100		
22	29	5	number	400			number	200		
22	30	5	number	400			number	300		
22	31	5	number	400			number	400		
22	32	5	number	400			number	500		
22	33	5	number	400			number	600		
22	34	5	number	400			number	700		
22	35	5	number	400			number	800		
22	36	5	number	400			number	900		
22	37	5	number	500			number	100		
22	38	5	number	500			number	200		
22	39	5	number	500			number	300		
22	40	5	number	500			number	400		
22	41	5	number	500			number	500		
22	42	5	number	500			number	600		
22	43	5	number	500			number	700		
22	44	5	number	500			number	800		
22	45	5	number	500			number	900		
22	46	5	number	600			number	100		
22	47	5	number	600			number	200		
22	48	5	number	600			number	300		
22	49	5	number	600			number	400		
22	50	5	number	600			number	500		
22	51	5	number	600			number	600		
22	52	5	number	600			number	700		
22	53	5	number	600			number	800		
22	54	5	number	600			number	900		
22	55	5	number	700			number	100		
22	56	5	number	700			number	200		
22	57	5	number	700			number	300		
22	58	5	number	700			number	400		
22	59	5	number	700			number	500		
22	60	5	number	700			number	600		
22	61	5	number	700			number	700		
22	62	5	number	700			number	800		
22	63	5	number	700			number	900		
22	64	5	number	800			number	100		
22	65	5	number	800			number	200		
22	66	5	number	800			number	300		
22	67	5	number	800			number	400		
22	68	5	number	800			number	500		
22	69	5	number	800			number	600		
22	70	5	number	800			number	700		
22	71	5	number	800			number	800		
22	72	5	number	800			number	900		
22	73	5	number	900			number	100		
22	74	5	number	900			number	200		
22	75	5	number	900			number	300		
22	76	5	number	900			number	400		
22	77	5	number	900			number	500		
22	78	5	number	900			number	600		
22	79	5	number	900			number	700		
22	80	5	number	900			number	800		
22	81	5	number	900			number	900		
23	1	5	number	370			number	120		
23	2	5	number	310			number	770		
23	3	5	number	270			number	440		
23	4	5	number	710			number	360		
23	5	5	number	620			number	190		
23	6	5	number	410			number	370		
23	7	5	number	650			number	400		
23	8	5	number	680			number	470		
23	9	5	number	290			number	490		
23	10	5	number	520			number	320		
23	11	5	number	350			number	750		
23	12	5	number	480			number	180		
23	13	5	number	630			number	530		
23	14	5	number	770			number	970		
23	15	5	number	810			number	510		
23	16	5	number	560			number	580		
23	17	5	number	630			number	600		
23	18	5	number	780			number	730		
23	19	5	number	830			number	880		
23	20	5	number	950			number	920		
24	1	5	number	243			number	159		
24	2	5	number	283			number	318		
24	3	5	number	306			number	299		
24	4	5	number	369			number	569		
24	5	5	number	459			number	601		
24	6	5	number	450			number	350		
24	7	5	number	549			number	482		
24	8	5	number	575			number	875		
24	9	5	number	694			number	964		
24	10	5	number	738			number	398		
24	11	5	number	858			number	496		
24	12	5	number	132			number	152		
24	13	5	number	289			number	298		
24	14	5	number	318			number	321		
24	15	5	number	407			number	426		
24	16	5	number	586			number	582		
24	17	5	number	673			number	678		
24	18	5	number	715			number	708		
24	19	5	number	827			number	819		
24	20	5	number	956			number	939		
