#  LetterMatching_Levels.tsv
#  TodoSchool on Oct 21
#
#  Copyright (c) 2016 Enuma
#  See LICENSE.md for more details.
#
# 레벨 데이터를 변경하려면:
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.
#     다운로드한 파일 이름을 LetterMatching_Levels.tsv으로 변경합니다.
#     "${XPRIZE_PATH}/Resources/Games/LetterMatching"에 tsv 파일을 복사해 넣습니다.
#
# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# PieceID		# MatchSound	# Image_A(0)	# Image_B(0)
en-US	4	1	2	2		eng_h.m4a	letter_cards/H_3.png	letter_cards/H_4.png
en-US	4	1	2	3		eng_i.m4a	letter_cards/I_3.png	letter_cards/I_4.png
en-US	4	1	2	4		eng_j.m4a	letter_cards/J_3.png	letter_cards/J_4.png
en-US	4	1	2	5		eng_k.m4a	letter_cards/K_3.png	letter_cards/K_4.png
en-US	4	1	2	6		eng_l.m4a	letter_cards/L_3.png	letter_cards/L_4.png
en-US	5	1	1	1		eng_m.m4a	letter_cards/M_3.png	letter_cards/M_4.png
en-US	5	1	1	2		eng_n.m4a	letter_cards/N_3.png	letter_cards/N_4.png
en-US	5	1	1	3		eng_o.m4a	letter_cards/O_3.png	letter_cards/O_4.png
en-US	5	1	1	4		eng_p.m4a	letter_cards/P_3.png	letter_cards/P_4.png
en-US	5	1	1	5		eng_q.m4a	letter_cards/Q_3.png	letter_cards/Q_4.png
en-US	5	1	1	6		eng_r.m4a	letter_cards/R_3.png	letter_cards/R_4.png
en-US	5	1	1	7		eng_s.m4a	letter_cards/S_3.png	letter_cards/S_4.png
en-US	5	1	2	1		eng_t.m4a	letter_cards/T_3.png	letter_cards/T_4.png
en-US	5	1	2	2		eng_u.m4a	letter_cards/U_3.png	letter_cards/U_4.png
en-US	5	1	2	3		eng_v.m4a	letter_cards/V_3.png	letter_cards/V_4.png
en-US	5	1	2	4		eng_w.m4a	letter_cards/W_3.png	letter_cards/W_4.png
en-US	5	1	2	5		eng_x.m4a	letter_cards/X_3.png	letter_cards/X_4.png
en-US	5	1	2	6		eng_y.m4a	letter_cards/Y_3.png	letter_cards/Y_4.png
en-US	5	1	2	7		eng_z.m4a	letter_cards/Z_3.png	letter_cards/Z_4.png
en-US	6	1	1	1		eng_a.m4a	letter_cards/A_1.png	letter_cards/sign_language/card_asl_a.png
en-US	6	1	1	2		eng_b.m4a	letter_cards/B_1.png	letter_cards/sign_language/card_asl_b.png
en-US	6	1	1	3		eng_c.m4a	letter_cards/C_1.png	letter_cards/sign_language/card_asl_c.png
en-US	6	1	1	4		eng_d.m4a	letter_cards/D_1.png	letter_cards/sign_language/card_asl_d.png
en-US	6	1	1	5		eng_e.m4a	letter_cards/E_1.png	letter_cards/sign_language/card_asl_e.png
en-US	6	1	1	6		eng_f.m4a	letter_cards/F_1.png	letter_cards/sign_language/card_asl_f.png
en-US	6	1	2	1		eng_g.m4a	letter_cards/G_1.png	letter_cards/sign_language/card_asl_g.png
en-US	6	1	2	2		eng_h.m4a	letter_cards/H_1.png	letter_cards/sign_language/card_asl_h.png
en-US	6	1	2	3		eng_i.m4a	letter_cards/I_1.png	letter_cards/sign_language/card_asl_i.png
en-US	6	1	2	4		eng_j.m4a	letter_cards/J_1.png	letter_cards/sign_language/card_asl_j.png
en-US	6	1	2	5		eng_k.m4a	letter_cards/K_1.png	letter_cards/sign_language/card_asl_k.png
en-US	6	1	2	6		eng_l.m4a	letter_cards/L_1.png	letter_cards/sign_language/card_asl_l.png
en-US	7	1	1	1		eng_m.m4a	letter_cards/M_1.png	letter_cards/sign_language/card_asl_m.png
en-US	7	1	1	2		eng_n.m4a	letter_cards/N_1.png	letter_cards/sign_language/card_asl_n.png
en-US	7	1	1	3		eng_o.m4a	letter_cards/O_1.png	letter_cards/sign_language/card_asl_o.png
en-US	7	1	1	4		eng_p.m4a	letter_cards/P_1.png	letter_cards/sign_language/card_asl_p.png
en-US	7	1	1	5		eng_q.m4a	letter_cards/Q_1.png	letter_cards/sign_language/card_asl_q.png
en-US	7	1	1	6		eng_r.m4a	letter_cards/R_1.png	letter_cards/sign_language/card_asl_r.png
en-US	7	1	1	7		eng_s.m4a	letter_cards/S_1.png	letter_cards/sign_language/card_asl_s.png
en-US	7	1	2	1		eng_t.m4a	letter_cards/T_1.png	letter_cards/sign_language/card_asl_t.png
en-US	7	1	2	2		eng_u.m4a	letter_cards/U_1.png	letter_cards/sign_language/card_asl_u.png
en-US	7	1	2	3		eng_v.m4a	letter_cards/V_1.png	letter_cards/sign_language/card_asl_v.png
en-US	7	1	2	4		eng_w.m4a	letter_cards/W_1.png	letter_cards/sign_language/card_asl_w.png
en-US	7	1	2	5		eng_x.m4a	letter_cards/X_1.png	letter_cards/sign_language/card_asl_x.png
en-US	7	1	2	6		eng_y.m4a	letter_cards/Y_1.png	letter_cards/sign_language/card_asl_y.png
en-US	7	1	2	7		eng_z.m4a	letter_cards/Z_1.png	letter_cards/sign_language/card_asl_z.png
en-US	8	1	1	1		eng_a.m4a	letter_cards/A_1.png	letter_cards/A_4.png
en-US	8	1	1	2		eng_b.m4a	letter_cards/B_1.png	letter_cards/B_4.png
en-US	8	1	1	3		eng_c.m4a	letter_cards/C_1.png	letter_cards/C_4.png
en-US	8	1	1	4		eng_d.m4a	letter_cards/D_1.png	letter_cards/D_4.png
en-US	8	1	1	5		eng_e.m4a	letter_cards/E_1.png	letter_cards/E_4.png
en-US	8	1	1	6		eng_f.m4a	letter_cards/F_1.png	letter_cards/F_4.png
en-US	8	1	2	1		eng_g.m4a	letter_cards/G_1.png	letter_cards/G_4.png
en-US	8	1	2	2		eng_h.m4a	letter_cards/H_1.png	letter_cards/H_4.png
en-US	8	1	2	3		eng_i.m4a	letter_cards/I_1.png	letter_cards/I_4.png
en-US	8	1	2	4		eng_j.m4a	letter_cards/J_1.png	letter_cards/J_4.png
en-US	8	1	2	5		eng_k.m4a	letter_cards/K_1.png	letter_cards/K_4.png
en-US	8	1	2	6		eng_l.m4a	letter_cards/L_1.png	letter_cards/L_4.png
en-US	9	1	1	1		eng_m.m4a	letter_cards/M_2.png	letter_cards/M_3.png
en-US	9	1	1	2		eng_n.m4a	letter_cards/N_2.png	letter_cards/N_3.png
en-US	9	1	1	3		eng_o.m4a	letter_cards/O_2.png	letter_cards/O_3.png
en-US	9	1	1	4		eng_p.m4a	letter_cards/P_2.png	letter_cards/P_3.png
en-US	9	1	1	5		eng_q.m4a	letter_cards/Q_2.png	letter_cards/Q_3.png
en-US	9	1	1	6		eng_r.m4a	letter_cards/R_2.png	letter_cards/R_3.png
en-US	9	1	1	7		eng_s.m4a	letter_cards/S_2.png	letter_cards/S_3.png
en-US	9	1	2	1		eng_t.m4a	letter_cards/T_2.png	letter_cards/T_3.png
en-US	9	1	2	2		eng_u.m4a	letter_cards/U_2.png	letter_cards/U_3.png
en-US	9	1	2	3		eng_v.m4a	letter_cards/V_2.png	letter_cards/V_3.png
en-US	9	1	2	4		eng_w.m4a	letter_cards/W_2.png	letter_cards/W_3.png
en-US	9	1	2	5		eng_x.m4a	letter_cards/X_2.png	letter_cards/X_3.png
en-US	9	1	2	6		eng_y.m4a	letter_cards/Y_2.png	letter_cards/Y_3.png
en-US	9	1	2	7		eng_z.m4a	letter_cards/Z_2.png	letter_cards/Z_3.png
en-US	10	1	1	1		cat.m4a	word_cards/cat.png	word_cards/cat.png
en-US	10	1	1	2		dog.m4a	word_cards/dog.png	word_cards/dog.png
en-US	10	1	1	3		bug.m4a	word_cards/bug.png	word_cards/bug.png
en-US	10	1	1	4		bed.m4a	word_cards/bed.png	word_cards/bed.png
en-US	10	1	1	5		hen.m4a	word_cards/hen.png	word_cards/hen.png
en-US	10	1	1	6		sun.m4a	word_cards/sun.png	word_cards/sun.png
en-US	10	1	2	1		pig.m4a	word_cards/pig.png	word_cards/pig.png
en-US	10	1	2	2		toy.m4a	word_cards/toy.png	word_cards/toy.png
en-US	10	1	2	3		kid.m4a	word_cards/kid.png	word_cards/kid.png
en-US	10	1	2	4		hat.m4a	word_cards/hat.png	word_cards/hat.png
en-US	10	1	2	5		cow.m4a	word_cards/cow.png	word_cards/cow.png
en-US	10	1	2	6		box.m4a	word_cards/box.png	word_cards/box.png
en-US	11	1	1	1		tree.m4a	word_cards/tree.png	word_cards/tree.png
en-US	11	1	1	2		drum.m4a	word_cards/drum.png	word_cards/drum.png
en-US	11	1	1	3		face.m4a	word_cards/face.png	word_cards/face.png
en-US	11	1	1	4		fire.m4a	word_cards/fire.png	word_cards/fire.png
en-US	11	1	1	5		cake.m4a	word_cards/cake.png	word_cards/cake.png
en-US	11	1	1	6		book.m4a	word_cards/book.png	word_cards/book.png
en-US	11	1	2	1		duck.m4a	word_cards/duck.png	word_cards/duck.png
en-US	11	1	2	2		leaf.m4a	word_cards/leaf.png	word_cards/leaf.png
en-US	11	1	2	3		frog.m4a	word_cards/frog.png	word_cards/frog.png
en-US	11	1	2	4		star.m4a	word_cards/star.png	word_cards/star.png
en-US	11	1	2	5		baby.m4a	word_cards/baby.png	word_cards/baby.png
en-US	11	1	2	6		milk.m4a	word_cards/milk.png	word_cards/milk.png
en-US	12	1	1	1		cat.m4a	word_cards/cat.png	picture_cards/cat.png
en-US	12	1	1	2		dog.m4a	word_cards/dog.png	picture_cards/dog.png
en-US	12	1	1	3		bug.m4a	word_cards/bug.png	picture_cards/bug.png
en-US	12	1	1	4		bed.m4a	word_cards/bed.png	picture_cards/bed.png
en-US	12	1	1	5		hen.m4a	word_cards/hen.png	picture_cards/hen.png
en-US	12	1	1	6		sun.m4a	word_cards/sun.png	picture_cards/sun.png
en-US	12	1	2	1		pig.m4a	word_cards/pig.png	picture_cards/pig.png
en-US	12	1	2	2		toy.m4a	word_cards/toy.png	picture_cards/toy.png
en-US	12	1	2	3		kid.m4a	word_cards/kid.png	picture_cards/kid.png
en-US	12	1	2	4		hat.m4a	word_cards/hat.png	picture_cards/hat.png
en-US	12	1	2	5		cow.m4a	word_cards/cow.png	picture_cards/cow.png
en-US	12	1	2	6		box.m4a	word_cards/box.png	picture_cards/box.png
en-US	13	1	1	1		tree.m4a	word_cards/tree.png	picture_cards/tree.png
en-US	13	1	1	2		drum.m4a	word_cards/drum.png	picture_cards/drum.png
en-US	13	1	1	3		face.m4a	word_cards/face.png	picture_cards/face.png
en-US	13	1	1	4		fire.m4a	word_cards/fire.png	picture_cards/fire.png
en-US	13	1	1	5		cake.m4a	word_cards/cake.png	picture_cards/cake.png
en-US	13	1	1	6		book.m4a	word_cards/book.png	picture_cards/book.png
en-US	13	1	2	1		duck.m4a	word_cards/duck.png	picture_cards/duck.png
en-US	13	1	2	2		leaf.m4a	word_cards/leaf.png	picture_cards/leaf.png
en-US	13	1	2	3		frog.m4a	word_cards/frog.png	picture_cards/frog.png
en-US	13	1	2	4		star.m4a	word_cards/star.png	picture_cards/star.png
en-US	13	1	2	5		baby.m4a	word_cards/baby.png	picture_cards/baby.png
en-US	13	1	2	6		milk.m4a	word_cards/milk.png	picture_cards/milk.png
en-US	14	1	1	1		dad.m4a	word_cards/dad.png	picture_cards/father.png
en-US	14	1	1	2		mom.m4a	word_cards/mom.png	picture_cards/mother.png
en-US	14	1	1	3		grandpa.m4a	word_cards/grandpa.png	picture_cards/grandfather.png
en-US	14	1	1	4		grandma.m4a	word_cards/grandma.png	picture_cards/grandmother.png
en-US	14	1	1	5		sister.m4a	word_cards/sister.png	picture_cards/sister.png
en-US	14	1	1	6		brother.m4a	word_cards/brother.png	picture_cards/brother.png
en-US	14	1	2	1		duck.m4a	word_cards/duck.png	picture_cards/duck.png
en-US	14	1	2	2		chicken.m4a	word_cards/chicken.png	picture_cards/chicken.png
en-US	14	1	2	3		dog.m4a	word_cards/dog.png	picture_cards/dog.png
en-US	14	1	2	4		cow.m4a	word_cards/cow.png	picture_cards/cow.png
en-US	14	1	2	5		cat.m4a	word_cards/cat.png	picture_cards/cat.png
