								
# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# Type	# Word	# GoodImage	# BadImage	# Sound
en-US	2	3	2	LEGIT	frog	images/frog.png	images/rain.png	en/legit/frog.m4a
en-US	2	3	3	LEGIT	city	images/city.png	images/gift.png	en/legit/city.m4a
en-US	2	3	4	LEGIT	nest	images/nest.png	images/duck.png	en/legit/nest.m4a
en-US	2	3	5	LEGIT	fire	images/fire.png	images/face.png	en/legit/fire.m4a
en-US	2	3	6	LEGIT	door	images/door.png	images/rain.png	en/legit/door.m4a
en-US	2	3	7	LEGIT	news	images/news.png	images/frog.png	en/legit/news.m4a
en-US	2	4	1	LEGIT	face	images/face.png	images/fish.png	en/legit/face.m4a
en-US	2	4	2	LEGIT	baby	images/baby.png	images/farm.png	en/legit/baby.m4a
en-US	2	4	3	LEGIT	tree	images/tree.png	images/rain.png	en/legit/tree.m4a
en-US	2	4	4	LEGIT	nest	images/nest.png	images/ball.png	en/legit/nest.m4a
en-US	2	4	5	LEGIT	news	images/news.png	images/corn.png	en/legit/news.m4a
en-US	2	4	6	LEGIT	duck	images/duck.png	images/corn.png	en/legit/duck.m4a
en-US	2	4	7	LEGIT	gift	images/gift.png	images/face.png	en/legit/gift.m4a
en-US	2	5	1	LEGIT	book	images/book.png	images/farm.png	en/legit/book.m4a
en-US	2	5	2	LEGIT	gift	images/gift.png	images/city.png	en/legit/gift.m4a
en-US	2	5	3	LEGIT	rain	images/rain.png	images/baby.png	en/legit/rain.m4a
en-US	2	5	4	LEGIT	fire	images/fire.png	images/baby.png	en/legit/fire.m4a
en-US	2	5	5	LEGIT	nest	images/nest.png	images/lion.png	en/legit/nest.m4a
en-US	2	5	6	LEGIT	rain	images/rain.png	images/face.png	en/legit/rain.m4a
en-US	2	5	7	LEGIT	corn	images/corn.png	images/city.png	en/legit/corn.m4a
en-US	2	6	1	LEGIT	door	images/door.png	images/face.png	en/legit/door.m4a
en-US	2	6	2	LEGIT	corn	images/corn.png	images/baby.png	en/legit/corn.m4a
en-US	2	6	3	LEGIT	milk	images/milk.png	images/news.png	en/legit/milk.m4a
en-US	2	6	4	LEGIT	baby	images/baby.png	images/fish.png	en/legit/baby.m4a
en-US	2	6	5	LEGIT	face	images/face.png	images/nest.png	en/legit/face.m4a
en-US	2	6	6	LEGIT	city	images/city.png	images/ball.png	en/legit/city.m4a
en-US	2	6	7	LEGIT	fire	images/fire.png	images/tree.png	en/legit/fire.m4a
en-US	2	7	1	LEGIT	farm	images/farm.png	images/rain.png	en/legit/farm.m4a
en-US	2	7	2	LEGIT	book	images/book.png	images/door.png	en/legit/book.m4a
en-US	2	7	3	LEGIT	news	images/news.png	images/fish.png	en/legit/news.m4a
en-US	2	7	4	LEGIT	baby	images/baby.png	images/door.png	en/legit/baby.m4a
en-US	2	7	5	LEGIT	face	images/face.png	images/rain.png	en/legit/face.m4a
en-US	2	7	6	LEGIT	tree	images/tree.png	images/song.png	en/legit/tree.m4a
en-US	2	7	7	LEGIT	ball	images/ball.png	images/lion.png	en/legit/ball.m4a
en-US	3	1	1	LEGIT	radio	images/radio.png	images/grape.png	en/legit/radio.m4a
en-US	3	1	2	LEGIT	shoes	images/shoes.png	images/clock.png	en/legit/shoes.m4a
en-US	3	1	3	LEGIT	house	images/house.png	images/clock.png	en/legit/house.m4a
en-US	3	1	4	LEGIT	books	images/books.png	images/stick.png	en/legit/books.m4a
en-US	3	1	5	LEGIT	lemon	images/lemon.png	images/clock.png	en/legit/lemon.m4a
en-US	3	1	6	LEGIT	train	images/train.png	images/books.png	en/legit/train.m4a
en-US	3	1	7	LEGIT	clock	images/clock.png	images/stick.png	en/legit/clock.m4a
en-US	3	2	1	LEGIT	woman	images/woman.png	images/river.png	en/legit/woman.m4a
en-US	3	2	2	LEGIT	train	images/train.png	images/books.png	en/legit/train.m4a
en-US	3	2	3	LEGIT	hippo	images/hippo.png	images/color.png	en/legit/hippo.m4a
en-US	3	2	4	LEGIT	books	images/books.png	images/house.png	en/legit/books.m4a
en-US	3	2	5	LEGIT	books	images/books.png	images/river.png	en/legit/books.m4a
en-US	3	2	6	LEGIT	brick	images/brick.png	images/water.png	en/legit/brick.m4a
en-US	3	2	7	LEGIT	color	images/color.png	images/train.png	en/legit/color.m4a
en-US	3	3	1	LEGIT	shoes	images/shoes.png	images/hippo.png	en/legit/shoes.m4a
en-US	3	3	2	LEGIT	hippo	images/hippo.png	images/shoes.png	en/legit/hippo.m4a
en-US	3	3	3	LEGIT	radio	images/radio.png	images/hippo.png	en/legit/radio.m4a
en-US	3	3	4	LEGIT	money	images/money.png	images/heart.png	en/legit/money.m4a
en-US	3	3	5	LEGIT	chair	images/chair.png	images/shark.png	en/legit/chair.m4a
en-US	3	3	6	LEGIT	books	images/books.png	images/chair.png	en/legit/books.m4a
en-US	3	3	7	LEGIT	grape	images/grape.png	images/river.png	en/legit/grape.m4a
en-US	3	4	1	LEGIT	house	images/house.png	images/radio.png	en/legit/house.m4a
en-US	3	4	2	LEGIT	heart	images/heart.png	images/shark.png	en/legit/heart.m4a
en-US	3	4	3	LEGIT	train	images/train.png	images/books.png	en/legit/train.m4a
en-US	3	4	4	LEGIT	clock	images/clock.png	images/books.png	en/legit/clock.m4a
en-US	3	4	5	LEGIT	color	images/color.png	images/stick.png	en/legit/color.m4a
en-US	3	4	6	LEGIT	woman	images/woman.png	images/hippo.png	en/legit/woman.m4a
en-US	3	4	7	LEGIT	shark	images/shark.png	images/grape.png	en/legit/shark.m4a
en-US	3	5	1	LEGIT	house	images/house.png	images/stick.png	en/legit/house.m4a
en-US	3	5	2	LEGIT	heart	images/heart.png	images/train.png	en/legit/heart.m4a
en-US	3	5	3	LEGIT	grape	images/grape.png	images/river.png	en/legit/grape.m4a
en-US	3	5	4	LEGIT	color	images/color.png	images/books.png	en/legit/color.m4a
en-US	3	5	5	LEGIT	books	images/books.png	images/grape.png	en/legit/books.m4a
en-US	3	5	6	LEGIT	river	images/river.png	images/grape.png	en/legit/river.m4a
en-US	3	5	7	LEGIT	stick	images/stick.png	images/lemon.png	en/legit/stick.m4a
en-US	3	6	1	LEGIT	hippo	images/hippo.png	images/books.png	en/legit/hippo.m4a
en-US	3	6	2	LEGIT	woman	images/woman.png	images/hippo.png	en/legit/woman.m4a
en-US	3	6	3	LEGIT	grape	images/grape.png	images/woman.png	en/legit/grape.m4a
en-US	3	6	4	LEGIT	train	images/train.png	images/shark.png	en/legit/train.m4a
en-US	3	6	5	LEGIT	lemon	images/lemon.png	images/books.png	en/legit/lemon.m4a
en-US	3	6	6	LEGIT	water	images/water.png	images/grape.png	en/legit/water.m4a
en-US	3	6	7	LEGIT	brick	images/brick.png	images/clock.png	en/legit/brick.m4a
en-US	3	7	1	LEGIT	train	images/train.png	images/color.png	en/legit/train.m4a
en-US	3	7	2	LEGIT	radio	images/radio.png	images/woman.png	en/legit/radio.m4a
en-US	3	7	3	LEGIT	river	images/river.png	images/shoes.png	en/legit/river.m4a
en-US	3	7	4	LEGIT	house	images/house.png	images/radio.png	en/legit/house.m4a
en-US	3	7	5	LEGIT	heart	images/heart.png	images/river.png	en/legit/heart.m4a
en-US	3	7	6	LEGIT	shoes	images/shoes.png	images/hippo.png	en/legit/shoes.m4a
en-US	3	7	7	LEGIT	color	images/color.png	images/clock.png	en/legit/color.m4a
en-US	4	1	1	LEGIT	tomato	images/tomato.png	images/bottle.png	en/legit/tomato.m4a
en-US	4	1	2	LEGIT	friend	images/friend.png	images/rabbit.png	en/legit/friend.m4a
en-US	4	1	3	LEGIT	rocket	images/rocket.png	images/cookie.png	en/legit/rocket.m4a
en-US	4	1	4	LEGIT	donkey	images/donkey.png	images/number.png	en/legit/donkey.m4a
en-US	4	1	5	LEGIT	bottle	images/bottle.png	images/banana.png	en/legit/bottle.m4a
en-US	4	1	6	LEGIT	cookie	images/cookie.png	images/bottle.png	en/legit/cookie.m4a
en-US	4	1	7	LEGIT	desert	images/desert.png	images/school.png	en/legit/desert.m4a
en-US	4	2	1	LEGIT	friend	images/friend.png	images/cookie.png	en/legit/friend.m4a
en-US	4	2	2	LEGIT	rabbit	images/rabbit.png	images/number.png	en/legit/rabbit.m4a
en-US	4	2	3	LEGIT	forest	images/forest.png	images/police.png	en/legit/forest.m4a
en-US	4	2	4	LEGIT	potato	images/potato.png	images/ground.png	en/legit/potato.m4a
en-US	4	2	5	LEGIT	tomato	images/tomato.png	images/rabbit.png	en/legit/tomato.m4a
en-US	4	2	6	LEGIT	square	images/square.png	images/friend.png	en/legit/square.m4a
en-US	4	2	7	LEGIT	number	images/number.png	images/cookie.png	en/legit/number.m4a
en-US	4	3	1	LEGIT	friend	images/friend.png	images/donkey.png	en/legit/friend.m4a
en-US	4	3	2	LEGIT	forest	images/forest.png	images/candy.png	en/legit/forest.m4a
en-US	4	3	3	LEGIT	school	images/school.png	images/market.png	en/legit/school.m4a
en-US	4	3	4	LEGIT	police	images/police.png	images/cookie.png	en/legit/police.m4a
en-US	4	3	5	LEGIT	number	images/number.png	images/friend.png	en/legit/number.m4a
en-US	4	3	6	LEGIT	pillow	images/pillow.png	images/police.png	en/legit/pillow.m4a
en-US	4	3	7	LEGIT	basket	images/basket.png	images/square.png	en/legit/basket.m4a
en-US	4	4	1	LEGIT	pillow	images/pillow.png	images/ground.png	en/legit/pillow.m4a
en-US	4	4	2	LEGIT	desert	images/desert.png	images/basket.png	en/legit/desert.m4a
en-US	4	4	3	LEGIT	market	images/market.png	images/number.png	en/legit/market.m4a
en-US	4	4	4	LEGIT	banana	images/banana.png	images/rocket.png	en/legit/banana.m4a
en-US	4	4	5	LEGIT	friend	images/friend.png	images/donkey.png	en/legit/friend.m4a
en-US	4	4	6	LEGIT	number	images/number.png	images/tomato.png	en/legit/number.m4a
en-US	4	4	7	LEGIT	forest	images/forest.png	images/cookie.png	en/legit/forest.m4a
en-US	4	5	1	LEGIT	family	images/family.png	images/potato.png	en/legit/family.m4a
en-US	4	5	2	LEGIT	police	images/police.png	images/cookie.png	en/legit/police.m4a
en-US	4	5	3	LEGIT	pillow	images/pillow.png	images/bottle.png	en/legit/pillow.m4a
en-US	4	5	4	LEGIT	bottle	images/bottle.png	images/family.png	en/legit/bottle.m4a
en-US	4	5	5	LEGIT	desert	images/desert.png	images/rabbit.png	en/legit/desert.m4a
en-US	4	5	6	LEGIT	ground	images/ground.png	images/number.png	en/legit/ground.m4a
en-US	4	5	7	LEGIT	rabbit	images/rabbit.png	images/donkey.png	en/legit/rabbit.m4a
en-US	4	6	1	LEGIT	pillow	images/pillow.png	images/school.png	en/legit/pillow.m4a
en-US	4	6	2	LEGIT	banana	images/banana.png	images/cookie.png	en/legit/banana.m4a
en-US	4	6	3	LEGIT	square	images/square.png	images/tomato.png	en/legit/square.m4a
en-US	4	6	4	LEGIT	pencil	images/pencil.png	images/number.png	en/legit/pencil.m4a
en-US	4	6	5	LEGIT	forest	images/forest.png	images/basket.png	en/legit/forest.m4a
en-US	4	6	6	LEGIT	basket	images/basket.png	images/candy.png	en/legit/basket.m4a
en-US	4	7	1	LEGIT	tomato	images/tomato.png	images/basket.png	en/legit/tomato.m4a
en-US	4	7	2	LEGIT	police	images/police.png	images/family.png	en/legit/police.m4a
en-US	4	7	3	LEGIT	basket	images/basket.png	images/pillow.png	en/legit/basket.m4a
en-US	4	7	4	LEGIT	forest	images/forest.png	images/market.png	en/legit/forest.m4a
en-US	4	7	5	LEGIT	square	images/square.png	images/rocket.png	en/legit/square.m4a
en-US	4	7	6	LEGIT	rabbit	images/rabbit.png	images/donkey.png	en/legit/rabbit.m4a
