#Language	Level	Worksheet	Problems	Blue Sound	Red Bird Sound	Bread1 Word	Bread1 Sound	Bread1 Phonic	Bread1 Phonic Place	Bread2 Word	Bread2 Sound	Bread2 Phonic	Bread2 Phonic Place	Bread3 Word	Bread3 Sound	Bread3 Phonic	Bread3 Phonic Place	Bread4 Word	Bread4 Sound	Bread4 Phonic	Bread4 Phonic Place
en-US	7	1	3	th.m4a	ch.m4a	the	the.m4a	blue	1,2	that	that.m4a	blue	1,2	chair	chair.m4a	red	1,2	chicken	chicken.m4a	red	1,2
en-US	7	2	1	wh.m4a	ch.m4a	whale	whale.m4a	blue	1,2	why	why.m4a	blue	1,2	choose	choose.m4a	red	1,2	chick	chick.m4a	red	1,2
en-US	7	2	2	th.m4a	sh.m4a	they	they.m4a	blue	1,2	them	them.m4a	blue	1,2	shape	shape.m4a	red	1,2	shirt	shirt.m4a	red	1,2
en-US	7	2	3	ch.m4a	sh.m4a	chap	chap.m4a	blue	1,2	chain	chain.m4a	blue	1,2	share	share.m4a	red	1,2	ship	ship.m4a	red	1,2
en-US	8	1	1	gr.m4a	bl.m4a	grow	grow.m4a	blue	1,2	grass	grass.m4a	blue	1,2	blue	blue.m4a	red	1,2	block	block.m4a	red	1,2
en-US	8	1	2	fl.m4a	pl.m4a	fly	fly.m4a	blue	1,2	flood	flood.m4a	blue	1,2	play	play.m4a	red	1,2	plane	plane.m4a	red	1,2
en-US	8	1	3	sn.m4a	sm.m4a	snake	snake.m4a	blue	1,2	snail	snail.m4a	blue	1,2	smile	smile.m4a	red	1,2	small	small.m4a	red	1,2
en-US	8	2	1	dr.m4a	cr.m4a	dress	dress.m4a	blue	1,2	drive	drive.m4a	blue	1,2	crab	crab.m4a	red	1,2	cross	cross.m4a	red	1,2
en-US	8	2	2	bl.m4a	pl.m4a	black	black.m4a	blue	1,2	blow	blow.m4a	blue	1,2	play	play.m4a	red	1,2	plate	plate.m4a	red	1,2
en-US	8	2	3	cr.m4a	cl.m4a	crab	crab.m4a	blue	1,2	cream	cream.m4a	blue	1,2	clock	clock.m4a	red	1,2	class	class.m4a	red	1,2
en-US	9	1	1	wh.m4a	sp.m4a	when	when.m4a	blue	1,2	what	what.m4a	blue	1,2	spin	spin.m4a	red	1,2	spot	spot.m4a	red	1,2
en-US	9	1	2	st.m4a	sh.m4a	star	star.m4a	blue	1,2	store	store.m4a	blue	1,2	shoe	shoe.m4a	red	1,2	shy	shy.m4a	red	1,2
en-US	9	1	3	ch.m4a	wh.m4a	chain	chain.m4a	blue	1,2	cheap	cheap.m4a	blue	1,2	what	what.m4a	red	1,2	whip	whip.m4a	red	1,2
en-US	9	2	1	st.m4a	sh.m4a	stay	stay.m4a	blue	1,2	step	step.m4a	blue	1,2	shake	shake.m4a	red	1,2	short	short.m4a	red	1,2
en-US	9	2	2	th.m4a	ch.m4a	there	there.m4a	blue	1,2	them	them.m4a	blue	1,2	chat	chat.m4a	red	1,2	chew	chew.m4a	red	1,2
en-US	9	2	3	tr.m4a	ch.m4a	truck	truck.m4a	blue	1,2	tree	tree.m4a	blue	1,2	cheek	cheek.m4a	red	1,2	child	child.m4a	red	1,2
en-US	10	1	1	d_sound.m4a	t_sound.m4a	duck	duck.m4a	blue	1	top	top.m4a	red	1	tea	tea.m4a	red	1	tank	tank.m4a	red	1
en-US	10	1	2	z_sound.m4a	s_sound.m4a	zip	zip.m4a	blue	1	sea	sea.m4a	red	1	sad	sad.m4a	red	1	sell	sell.m4a	red	1
en-US	10	1	3	p_sound.m4a	b_sound.m4a	pet	pet.m4a	blue	1	bat	bat.m4a	red	1	bear	bear.m4a	red	1	bag	bag.m4a	red	1
en-US	10	2	1	h_sound.m4a	k_sound.m4a	hill	hill.m4a	blue	1	can	can.m4a	red	1	cold	cold.m4a	red	1	key	key.m4a	red	1
en-US	10	2	2	l_sound.m4a	m_sound.m4a	leg	leg.m4a	blue	1	mad	mad.m4a	red	1	mom	mom.m4a	red	1	map	map.m4a	red	1
en-US	10	2	3	p_sound.m4a	f_sound.m4a	park	park.m4a	blue	1	fan	fan.m4a	red	1	phone	phone.m4a	red	1,2	far	far.m4a	red	1
en-US	11	1	1	n_sound.m4a	l_sound.m4a	nose	nose.m4a	blue	1	not	not.m4a	blue	1	like	like.m4a	red	1	leaf	leaf.m4a	red	1
en-US	11	1	2	v_sound.m4a	b_sound.m4a	van	van.m4a	blue	1	bad	bad.m4a	red	1	bike	bike.m4a	red	1	be	be.m4a	red	1
en-US	11	1	3	j_sound.m4a	g_sound.m4a	jet	jet.m4a	blue	1	gum	gum.m4a	red	1	gold	gold.m4a	red	1	goat	goat.m4a	red	1
en-US	11	2	1	q_sound.m4a	p_sound.m4a	quiz	quiz.m4a	blue	1	pass	pass.m4a	red	1	pot	pot.m4a	red	1	pin	pin.m4a	red	1
en-US	11	2	2	k_sound.m4a	ch.m4a	coat	coat.m4a	blue	1	check	check.m4a	red	1	chest	chest.m4a	red	1,2	chop	chop.m4a	red	1,2
en-US	11	2	3	bl.m4a	fl.m4a	blouse	blouse.m4a	blue	1,2	fly	fly.m4a	red	1,2	flag	flag.m4a	red	1,2	floor	floor.m4a	red	1,2
en-US	12	1	1	t_sound.m4a	th.m4a	tent	tent.m4a	blue	1	the	the.m4a	red	1,2	they	they.m4a	red	1,2	this	this.m4a	red	1,2
en-US	12	1	2	k_sound.m4a	ch.m4a	cave	cave.m4a	blue	1	chair	chair.m4a	red	1,2	cheek	cheek.m4a	red	1,2	child	child.m4a	red	1,2
en-US	12	1	3	h_sound.m4a	w_sound.m4a	who	who.m4a	blue	1,2	walk	walk.m4a	red	1	we	we.m4a	red	1	wear	wear.m4a	red	1
en-US	12	2	1	s_sound.m4a	sh.m4a	sing	sing.m4a	blue	1	sheep	sheep.m4a	red	1,2	she	she.m4a	red	1,2	show	show.m4a	red	1,2
en-US	12	2	2	th.m4a	t_sound.m4a	that	that.m4a	blue	1,2	tall	tall.m4a	red	1	team	team.m4a	red	1	test	test.m4a	red	1
en-US	12	2	3	k_sound.m4a	s_sound.m4a	card	card.m4a	blue	1	circle	circle.m4a	red	1	sun	sun.m4a	red	1	save	save.m4a	red	1
en-US	13	1	1	p_sound.m4a	t_sound.m4a	map	map.m4a	blue	3	cap	cap.m4a	blue	3	mat	mat.m4a	red	3	cat	cat.m4a	red	3
en-US	13	1	2	n_sound.m4a	m_sound.m4a	hen	hen.m4a	blue	3	pan	pan.m4a	blue	3	ham	ham.m4a	red	3	mom	mom.m4a	red	3
en-US	13	1	3	g_sound.m4a	d_sound.m4a	mug	mug.m4a	blue	3	pig	pig.m4a	blue	3	red	red.m4a	red	3	mud	mud.m4a	red	3
en-US	13	2	1	s_sound.m4a	g_sound.m4a	gas	gas.m4a	blue	3	bus	bus.m4a	blue	3	hug	hug.m4a	red	3	bug	bug.m4a	red	3
en-US	13	2	2	t_sound.m4a	d_sound.m4a	pet	pet.m4a	blue	3	boat	boat.m4a	blue	4	kid	kid.m4a	red	3	loud	loud.m4a	red	4
en-US	13	2	3	b_sound.m4a	p_sound.m4a	tub	tub.m4a	blue	3	cub	cub.m4a	blue	3	lip	lip.m4a	red	3	zip	zip.m4a	red	3
en-US	14	1	1	sh.m4a	ch.m4a	fish	fish.m4a	blue	3,4	wash	wash.m4a	blue	3,4	much	much.m4a	red	3,4	bench	bench.m4a	red	4,5
en-US	14	1	2	ch.m4a	ck.m4a	rich	rich.m4a	blue	3,4	lunch	lunch.m4a	blue	4,5	neck	neck.m4a	red	3,4	lock	lock.m4a	red	3,4
en-US	14	1	3	ch.m4a	sh.m4a	teach	teach.m4a	blue	4,5	much	much.m4a	blue	3,4	dish	dish.m4a	red	3,4	brush	brush.m4a	red	4,5
en-US	14	2	1	ck.m4a	eng_i.m4a	kick	kick.m4a	blue	3,4	duck	duck.m4a	blue	3,4	sky	sky.m4a	red	3	cry	cry.m4a	red	3
en-US	14	2	2	sh.m4a	ck.m4a	fresh	fresh.m4a	blue	4,5	push	push.m4a	blue	3,4	truck	truck.m4a	red	4,5	rock	rock.m4a	red	3,4
en-US	14	2	3	ing.m4a	ong.m4a	king	king.m4a	blue	2,3,4	sing	sing.m4a	blue	2,3,4	long	long.m4a	red	2,3,4	song	song.m4a	red	2,3,4
en-US	15	1	1	a_sound.m4a	u_sound.m4a	hat	hat.m4a	blue	2	man	man.m4a	blue	2	sun	sun.m4a	red	2	fun	fun.m4a	red	2
en-US	15	1	2	i_sound.m4a	e_sound.m4a	pin	pin.m4a	blue	2	kid	kid.m4a	blue	2	ten	ten.m4a	red	2	bed	bed.m4a	red	2
en-US	15	1	3	u_sound.m4a	o_sound.m4a	cut	cut.m4a	blue	2	hug	hug.m4a	blue	2	hot	hot.m4a	red	2	box	box.m4a	red	2
en-US	15	2	1	o_sound.m4a	a_sound.m4a	top	top.m4a	blue	2	pot	pot.m4a	blue	2	tap	tap.m4a	red	2	mat	mat.m4a	red	2
en-US	15	2	2	i_sound.m4a	u_sound.m4a	big	big.m4a	blue	2	hit	hit.m4a	blue	2	rug	rug.m4a	red	2	nut	nut.m4a	red	2
en-US	15	2	3	e_sound.m4a	u_sound.m4a	wet	wet.m4a	blue	2	pen	pen.m4a	blue	2	gum	gum.m4a	red	2	but	but.m4a	red	2
en-US	16	1	1	oi.m4a	ai.m4a	point	point.m4a	blue	2,3	voice	voice.m4a	blue	2,3	cake	cake.m4a	red	2,4	make	make.m4a	red	2,4
en-US	16	1	2	ow.m4a	oo.m4a	bone	bone.m4a	blue	2,4	nose	nose.m4a	blue	2,4	moon	moon.m4a	red	2,3	spoon	spoon.m4a	red	3,4
en-US	16	1	3	ai.m4a	ow.m4a	face	face.m4a	blue	2,4	date	date.m4a	blue	2,4	home	home.m4a	red	2,4	cone	cone.m4a	red	2,4
en-US	16	2	1	ow.m4a	ue.m4a	grow	grow.m4a	blue	3,4	slow	slow.m4a	blue	3,4	blue	blue.m4a	red	3,4	glue	glue.m4a	red	3,4
en-US	16	2	2	oa.m4a	ea.m4a	boat	boat.m4a	blue	2,3	goat	goat.m4a	blue	2,3	meal	meal.m4a	red	2,3	read	read.m4a	red	2,3
en-US	16	2	3	ou.m4a	ai.m4a	mouse	mouse.m4a	blue	2,3	count	count.m4a	blue	2,3	paint	paint.m4a	red	2,3	rain	rain.m4a	red	2,3
