#language	level	worksheet	problem	suggest	sound
en-US	8	2	4	garden	garden.m4a
en-US	8	2	5	people	people.m4a
en-US	8	2	6	twelve	twelve.m4a
en-US	8	2	7	friend	friend.m4a
en-US	8	2	8	Monday	monday.m4a
en-US	9	1	1	balloon	balloon.m4a
en-US	9	1	2	student	student.m4a
en-US	9	1	3	grandpa	grandpa.m4a
en-US	9	1	4	grandma	grandma.m4a
en-US	9	1	5	computer	computer.m4a
en-US	9	1	6	chicken	chicken.m4a
en-US	9	1	7	motorcycle	motorcycle.m4a
en-US	9	1	8	mountain	mountain.m4a
en-US	9	2	1	teacher	teacher.m4a
en-US	9	2	2	picture	picture.m4a
en-US	9	2	3	children	children.m4a
en-US	9	2	4	birthday	birthday.m4a
en-US	9	2	5	football	football.m4a
en-US	9	2	6	together	together.m4a
en-US	9	2	7	kitchen	kitchen.m4a
en-US	9	2	8	vegetable	vegetable.m4a
en-US	10	1	1	a buffalo	abuffalo.m4a
en-US	10	1	2	an orange	anorange.m4a
en-US	10	1	3	the man	theman.m4a
en-US	10	1	4	my house	myhouse.m4a
en-US	10	1	5	your sister	yoursister.m4a
en-US	10	1	6	our school	ourschool.m4a
en-US	10	2	1	little boys	littleboys.m4a
en-US	10	2	2	small cups	smallcups.m4a
en-US	10	2	3	three dogs	threedogs.m4a
en-US	10	2	4	white flowers	whiteflowers.m4a
en-US	10	2	5	long snakes	longsnakes.m4a
en-US	10	2	6	short hair	shorthair.m4a
en-US	11	1	1	a new bike	anewbike.m4a
en-US	11	1	2	a sunny day	asunnyday.m4a
en-US	11	1	3	a happy baby	ahappybaby.m4a
en-US	11	1	4	a yellow banana	ayellowbanana.m4a
en-US	11	1	5	an old man	anoldman.m4a
en-US	11	1	6	an orange dress	anorangedress.m4a
en-US	11	2	1	my two sisters	mytwosisters.m4a
en-US	11	2	2	my pink shoes	mypinkshoes.m4a
en-US	11	2	3	five long pencils	fivelongpencils.m4a
en-US	11	2	4	read a book	readabook.m4a
en-US	11	2	5	clean the house	cleanthehouse.m4a
en-US	11	2	6	do the dishes	dothedishes.m4a
en-US	12	1	1	Good morning.	goodmorning.m4a
en-US	12	1	2	Thank you.	thankyou.m4a
en-US	12	1	3	I'm sorry.	i'msorry.m4a
en-US	12	1	4	Time to sleep.	timetosleep.m4a
en-US	12	1	5	Look at me.	lookatme.m4a
en-US	12	1	6	Let's go.	let'sgo.m4a
en-US	12	2	1	He is sad.	heissad.m4a
en-US	12	2	2	She is tall.	sheistall.m4a
en-US	12	2	3	They are hungry.	theyarehungry.m4a
en-US	12	2	4	It is a truck.	itisatruck.m4a
en-US	12	2	5	This is my mouth.	thisismymouth.m4a
en-US	12	2	6	It is Monday.	itismonday.m4a
en-US	13	1	1	What's this?	what'sthis.m4a
en-US	13	1	2	It's a frog.	it'safrog.m4a
en-US	13	1	3	How are you?	howareyou.m4a
en-US	13	1	4	I'm good.	i'mgood.m4a
en-US	13	1	5	Who is he?	whoishe.m4a
en-US	13	1	6	He is my brother.	heismybrother.m4a
en-US	13	2	1	Are you happy?	areyouhappy.m4a
en-US	13	2	2	Yes, I am.	yesiam.m4a
en-US	13	2	3	Is he a doctor?	isheadoctor.m4a
en-US	13	2	4	No, he isn't.	noheisn't.m4a
en-US	13	2	5	Are they fast?	aretheyfast.m4a
en-US	13	2	6	Yes, they are.	yes,theyare.m4a
en-US	14	1	1	He is a doctor.	heisadoctor.m4a
en-US	14	1	2	She is a nurse.	sheisanurse.m4a
en-US	14	1	3	I am a cook.	iamacook.m4a
en-US	14	1	4	They are farmers.	theyarefarmers.m4a
en-US	14	1	5	He is at school.	heisatschool.m4a
en-US	14	1	6	They are at home.	theyareathome.m4a
en-US	14	2	1	I am a student.	iamastudent.m4a
en-US	14	2	2	I am not tall.	iamnottall.m4a
en-US	14	2	3	He is a farmer.	heisafarmer.m4a
en-US	14	2	4	He is not happy.	heisnothappy.m4a
en-US	14	2	5	She is a teacher.	sheisateacher.m4a
en-US	14	2	6	She is not young.	sheisnotyoung.m4a
en-US	15	1	1	There is a tree.	thereisatree.m4a
en-US	15	1	2	There are trees.	therearetrees.m4a
en-US	15	1	3	I have a car.	ihaveacar.m4a
en-US	15	1	4	She has cows.	shehascows.m4a
en-US	15	1	5	You have cats.	youhavecats.m4a
en-US	15	1	6	He has a book.	hehasabook.m4a
en-US	15	2	1	I like carrots.	ilikecarrots.m4a
en-US	15	2	2	She likes apples.	shelikesapples.m4a
en-US	15	2	3	They want milk.	theywantmilk.m4a
en-US	15	2	4	He wants water.	hewantswater.m4a
en-US	15	2	5	We need eggs.	weneedeggs.m4a
en-US	15	2	6	I need a pencil.	ineedapencil.m4a
en-US	16	1	1	I can jump.	icanjump.m4a
en-US	16	1	2	She can run.	shecanrun.m4a
en-US	16	1	3	They can read.	theycanread.m4a
en-US	16	1	4	He can write.	hecanwrite.m4a
en-US	16	1	5	Birds can fly.	birdscanfly.m4a
en-US	16	1	6	Frogs can swim.	frogscanswim.m4a
en-US	16	2	1	I cannot jump.	icannotjump.m4a
en-US	16	2	2	She cannot run.	shecannotrun.m4a
en-US	16	2	3	They cannot read.	theycannotread.m4a
en-US	16	2	4	He cannot write.	hecannotwrite.m4a
en-US	16	2	5	We cannot fly.	wecannotfly.m4a
en-US	16	2	6	They cannot swim.	theycannotswim.m4a
en-US	17	1	1	I was angry.	iwasangry.m4a
en-US	17	1	2	You were sick.	youweresick.m4a
en-US	17	1	3	He was cute.	hewascute.m4a
en-US	17	1	4	She was shy.	shewasshy.m4a
en-US	17	1	5	It was dirty.	itwasdirty.m4a
en-US	17	1	6	They were kind.	theywerekind.m4a
en-US	17	2	1	There was a king.	therewasaking.m4a
en-US	17	2	2	He danced.	hedanced.m4a
en-US	17	2	3	We played.	weplayed.m4a
en-US	17	2	4	She looked sad.	shelookedsad.m4a
en-US	17	2	5	I liked animals.	ilikedanimals.m4a
en-US	17	2	6	They helped me.	theyhelpedme.m4a
en-US	18	1	1	They ran fast.	theyranfast.m4a
en-US	18	1	2	I saw them.	isawthem.m4a
en-US	18	1	3	He ate rice.	heaterice.m4a
en-US	18	1	4	I drank milk.	idrankmilk.m4a
en-US	18	1	5	We had lunch.	wehadlunch.m4a
en-US	18	1	6	She said to him.	shesaidtohim.m4a
en-US	18	2	1	She came back.	shecameback.m4a
en-US	18	2	2	He got up early.	hegotupearly.m4a
en-US	18	2	3	I went to school.	iwenttoschool.m4a
en-US	18	2	4	He had a bicycle.	hehadabicycle.m4a
en-US	18	2	5	They took a bus.	theytookabus.m4a
en-US	18	2	6	She made a chair.	shemadeachair.m4a
