# LanguageTag	# Level	# Worksheet	# Key		# Motif(0)	# X_POS(1)	# Y_POS(2)	# FaceImg(3)	# DepthImg(4)	# ShadowImg(5)	# SlotImg(6)
en-US	1	1	__GAME_ID__		OrderedPuzzle	Latin_Capital	_wp_alphabetboard.png	-	-	-	-
en-US	2	1	14		n	941	846	lowercase_n_1.png	lowercase_n_2.png	lowercase_n_3.png	lowercase_n_4.png
en-US	2	1	15		o	1270	845	lowercase_o_1.png	lowercase_o_2.png	lowercase_o_3.png	lowercase_o_4.png
en-US	2	1	16		p	1624	838	lowercase_p_1.png	lowercase_p_2.png	lowercase_p_3.png	lowercase_p_4.png
en-US	2	1	17		q	266	533	lowercase_q_1.png	lowercase_q_2.png	lowercase_q_3.png	lowercase_q_4.png
en-US	2	1	18		r	608	545	lowercase_r_1.png	lowercase_r_2.png	lowercase_r_3.png	lowercase_r_4.png
en-US	2	1	19		s	937	546	lowercase_s_1.png	lowercase_s_2.png	lowercase_s_3.png	lowercase_s_4.png
en-US	2	1	20		t	1267	550	lowercase_t_1.png	lowercase_t_2.png	lowercase_t_3.png	lowercase_t_4.png
en-US	2	1	21		u	1615	548	lowercase_u_1.png	lowercase_u_2.png	lowercase_u_3.png	lowercase_u_4.png
en-US	2	1	22		v	258	231	lowercase_v_1.png	lowercase_v_2.png	lowercase_v_3.png	lowercase_v_4.png
en-US	2	1	23		w	638	236	lowercase_w_1.png	lowercase_w_2.png	lowercase_w_3.png	lowercase_w_4.png
en-US	2	1	24		x	1003	234	lowercase_x_1.png	lowercase_x_2.png	lowercase_x_3.png	lowercase_x_4.png
en-US	2	1	25		y	1315	210	lowercase_y_1.png	lowercase_y_2.png	lowercase_y_3.png	lowercase_y_4.png
en-US	2	1	26		z	1618	231	lowercase_z_1.png	lowercase_z_2.png	lowercase_z_3.png	lowercase_z_4.png
