title,Animals of the Sea,book_en_406_page_0_1.m4a,book_en_406_page_0,landscape,audio,
word,2.53598,3.26687,water,en-uk_water.m4a,0.2,
word,3.26687,3.5545,like,en-uk_like.m4a,0.2,
word,3.5545,3.7549,a,en-uk_a.m4a,0.2,
word,3.7549,4.00904,manta,en-uk_manta.m4a,0.2,
word,4.00904,4.54379,ray?,en-uk_ray.m4a,0.2,
page,7,book_en_406_page_7,wordwrap,
paragraph
sentence,book_en_406_page_7_1.m4a,0,
word,0,0.303619,Or,en-uk_or.m4a,0.2,
word,0.303619,1.23558,rest,en-uk_rest.m4a,0.2,
word,1.23558,1.43645,on,en-uk_on.m4a,0.2,
word,1.43645,1.68609,the,en-uk_the.m4a,0.2,
word,1.68609,2.25337,beach,en-uk_beach.m4a,0.2,
word,2.25337,3.00309,like,en-uk_like.m4a,0.2,
word,3.00309,3.2215,a,en-uk_a.m4a,0.2,
word,3.2215,4.01181,starfish?,en-uk_starfish.m4a,0.2,
sentence,book_en_406_page_7_2.m4a,4.11601,
word,0,0.485685,Do,en-uk_do.m4a,0.2,
word,0.485685,0.704133,you,en-uk_you.m4a,0.2,
word,0.704133,0.996141,like,en-uk_like.m4a,0.2,
word,0.996141,1.22714,to,en-uk_to.m4a,0.2,
word,1.22714,1.50256,be,en-uk_be.m4a,0.2,
word,1.50256,1.7963,in,en-uk_in.m4a,0.2,
word,1.7963,2.01323,the,en-uk_the.m4a,0.2,
word,2.01323,2.29848,warm,en-uk_warm.m4a,0.2,
word,2.29848,3.22687,sun?,en-uk_sun.m4a,0.2,
