#languageTag	#level	#worksheet	#problemNo	#limitComboTime	#firstValue	#secondValue	#mathSign	#rightAnswer	#example1	#example2	#example3	#example4	#example5	#example6	#example7	#example8	#example9	#example10	#example11	#example12	#example13	#example14	#example15
en-US	4	1	4	4	6	1	-	5	1	2	3	4	5	6	7	8	9						
en-US	4	1	5	4	5	1	-	4	1	2	3	4	5	6	7	8	9						
en-US	4	1	6	4	4	1	-	3	1	2	3	4	5	6	7	8	9						
en-US	4	1	7	4	3	1	-	2	1	2	3	4	5	6	7	8	9						
en-US	4	1	8	4	2	1	-	1	1	2	3	4	5	6	7	8	9						
en-US	4	1	9	4	3	2	-	1	1	2	3	4	5	6	7	8	9						
en-US	4	1	10	4	4	2	-	2	1	2	3	4	5	6	7	8	9						
en-US	4	1	11	4	5	2	-	3	1	2	3	4	5	6	7	8	9						
en-US	4	1	12	4	6	2	-	4	1	2	3	4	5	6	7	8	9						
en-US	4	1	13	4	7	2	-	5	1	2	3	4	5	6	7	8	9						
en-US	4	1	14	4	8	2	-	6	1	2	3	4	5	6	7	8	9						
en-US	4	1	15	4	9	2	-	7	1	2	3	4	5	6	7	8	9						
en-US	5	1	1	4	5	1	-	4	1	2	3	4	5	6									
en-US	5	1	2	4	4	1	-	3	1	2	3	4	5	6									
en-US	5	1	3	4	3	1	-	2	1	2	3	4	5	6									
en-US	5	1	4	4	2	1	-	1	1	2	3	4	5	6									
en-US	5	1	5	4	3	2	-	1	1	2	3	4	5	6									
en-US	5	1	6	4	4	2	-	2	1	2	3	4	5	6									
en-US	5	1	7	4	5	2	-	3	1	2	3	4	5	6									
en-US	5	1	8	4	5	3	-	2	1	2	3	4	5	6									
en-US	5	1	9	4	4	3	-	1	1	2	3	4	5	6									
en-US	5	1	10	4	4	2	-	2	1	2	3	4	5	6									
en-US	5	1	11	4	4	1	-	3	1	2	3	4	5	6									
en-US	5	1	12	4	5	1	-	4	1	2	3	4	5	6									
en-US	5	1	13	4	5	2	-	3	1	2	3	4	5	6									
en-US	5	1	14	4	5	3	-	2	1	2	3	4	5	6									
en-US	5	1	15	4	5	4	-	1	1	2	3	4	5	6									
en-US	6	1	1	4	9	3	-	6	1	2	3	4	5	6									
en-US	6	1	2	4	8	3	-	5	1	2	3	4	5	6									
en-US	6	1	3	4	7	3	-	4	1	2	3	4	5	6									
en-US	6	1	4	4	6	3	-	3	1	2	3	4	5	6									
en-US	6	1	5	4	5	3	-	2	1	2	3	4	5	6									
en-US	6	1	6	4	4	3	-	1	1	2	3	4	5	6									
en-US	6	1	7	4	5	2	-	3	1	2	3	4	5	6									
en-US	6	1	8	4	5	2	-	3	1	2	3	4	5	6									
en-US	6	1	9	4	6	2	-	4	1	2	3	4	5	6									
en-US	6	1	10	4	7	2	-	5	1	2	3	4	5	6									
en-US	6	1	11	4	8	2	-	6	1	2	3	4	5	6									
en-US	6	1	12	4	8	3	-	5	1	2	3	4	5	6									
en-US	6	1	13	4	8	4	-	4	1	2	3	4	5	6									
en-US	6	1	14	4	8	5	-	3	1	2	3	4	5	6									
en-US	6	1	15	4	8	6	-	2	1	2	3	4	5	6									
en-US	6	2	1	4	3	2	-	1	1	2	3	4	5	6									
en-US	6	2	2	4	4	2	-	2	1	2	3	4	5	6									
en-US	6	2	3	4	5	2	-	3	1	2	3	4	5	6									
en-US	6	2	4	4	6	2	-	4	1	2	3	4	5	6									
en-US	6	2	5	4	7	2	-	5	1	2	3	4	5	6									
en-US	6	2	6	4	8	2	-	6	1	2	3	4	5	6									
en-US	6	2	7	4	8	3	-	5	1	2	3	4	5	6									
en-US	6	2	8	4	8	4	-	4	1	2	3	4	5	6									
en-US	6	2	9	4	8	5	-	3	1	2	3	4	5	6									
en-US	6	2	10	4	8	6	-	2	1	2	3	4	5	6									
en-US	6	2	11	4	8	7	-	1	1	2	3	4	5	6									
en-US	6	2	12	4	9	7	-	2	1	2	3	4	5	6									
en-US	6	2	13	4	9	6	-	3	1	2	3	4	5	6									
en-US	6	2	14	4	9	5	-	4	1	2	3	4	5	6									
en-US	6	2	15	4	9	4	-	5	1	2	3	4	5	6									
en-US	7	1	1	4	1	9	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	2	4	2	8	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	3	4	3	7	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	4	4	4	6	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	5	4	5	5	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	6	4	6	4	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	7	4	7	3	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	8	4	8	2	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	1	9	4	9	1	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	1	10	4	7	3	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	1	11	4	3	7	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	1	12	4	6	4	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	1	13	4	5	5	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	1	14	4	2	8	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	1	15	4	8	2	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	2	1	4	9	1	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	2	4	8	2	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	3	4	7	3	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	4	4	6	4	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	5	4	5	5	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	6	4	4	6	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	7	4	3	7	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	8	4	2	8	+	10	4	5	6	7	8	9	10	11	12						
en-US	7	2	9	4	1	9	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	2	10	4	3	7	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	2	11	4	7	3	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	2	12	4	4	6	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	2	13	4	6	4	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	2	14	4	8	2	+	10	7	8	9	10	11	12	13	14	15						
en-US	7	2	15	4	2	8	+	10	7	8	9	10	11	12	13	14	15						
en-US	8	1	1	4	10	1	-	9	1	2	3	4	5	6	7	8	9						
en-US	8	1	2	4	10	2	-	8	1	2	3	4	5	6	7	8	9						
en-US	8	1	3	4	10	3	-	7	1	2	3	4	5	6	7	8	9						
en-US	8	1	4	4	10	4	-	6	1	2	3	4	5	6	7	8	9						
en-US	8	1	5	4	10	5	-	5	1	2	3	4	5	6	7	8	9						
en-US	8	1	6	4	10	6	-	4	1	2	3	4	5	6	7	8	9						
en-US	8	1	7	4	10	7	-	3	1	2	3	4	5	6	7	8	9						
en-US	8	1	8	4	10	8	-	2	1	2	3	4	5	6	7	8	9						
en-US	8	1	9	4	10	9	-	1	1	2	3	4	5	6	7	8	9						
en-US	8	1	10	4	10	7	-	3	1	2	3	4	5	6	7	8	9						
en-US	8	1	11	4	10	3	-	7	1	2	3	4	5	6	7	8	9						
en-US	8	1	12	4	10	6	-	4	1	2	3	4	5	6	7	8	9						
en-US	8	1	13	4	10	5	-	5	1	2	3	4	5	6	7	8	9						
en-US	8	1	14	4	10	2	-	8	1	2	3	4	5	6	7	8	9						
en-US	8	1	15	4	10	8	-	2	1	2	3	4	5	6	7	8	9						
en-US	8	2	1	4	10	9	-	1	1	2	3	4	5	6	7	8	9						
en-US	8	2	2	4	10	8	-	2	1	2	3	4	5	6	7	8	9						
en-US	8	2	3	4	10	7	-	3	1	2	3	4	5	6	7	8	9						
en-US	8	2	4	4	10	6	-	4	1	2	3	4	5	6	7	8	9						
en-US	8	2	5	4	10	5	-	5	1	2	3	4	5	6	7	8	9						
en-US	8	2	6	4	10	4	-	6	1	2	3	4	5	6	7	8	9						
en-US	8	2	7	4	10	3	-	7	1	2	3	4	5	6	7	8	9						
en-US	8	2	8	4	10	2	-	8	1	2	3	4	5	6	7	8	9						
en-US	8	2	9	4	10	1	-	9	1	2	3	4	5	6	7	8	9						
en-US	8	2	10	4	10	3	-	7	1	2	3	4	5	6	7	8	9						
en-US	8	2	11	4	10	7	-	3	1	2	3	4	5	6	7	8	9						
en-US	8	2	12	4	10	4	-	6	1	2	3	4	5	6	7	8	9						
en-US	8	2	13	4	10	6	-	4	1	2	3	4	5	6	7	8	9						
en-US	8	2	14	4	10	8	-	2	1	2	3	4	5	6	7	8	9						
en-US	8	2	15	4	10	2	-	8	1	2	3	4	5	6	7	8	9						
en-US	9	1	1	4	4	2	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	2	4	3	3	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	3	4	5	2	+	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	4	4	2	3	+	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	5	4	6	4	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	6	4	3	5	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	7	4	8	2	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	8	4	4	4	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	9	4	1	6	+	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	10	4	5	3	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	11	4	3	7	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	12	4	4	1	+	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	13	4	6	2	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	14	4	1	5	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	1	15	4	7	2	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	1	4	3	2	+	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	2	4	5	4	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	3	4	2	8	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	4	4	7	2	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	5	4	4	5	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	6	4	9	1	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	7	4	2	4	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	8	4	4	2	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	9	4	6	3	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	10	4	1	3	+	4	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	11	4	7	1	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	12	4	8	1	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	13	4	3	6	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	14	4	5	2	+	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	9	2	15	4	8	2	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	10	1	1	4	6	3	-	3	1	2	3	4	5	6	7	8	9						
en-US	10	1	2	4	7	3	-	4	1	2	3	4	5	6	7	8	9						
en-US	10	1	3	4	8	2	-	6	1	2	3	4	5	6	7	8	9						
en-US	10	1	4	4	5	3	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	1	5	4	6	4	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	1	6	4	10	3	-	7	1	2	3	4	5	6	7	8	9						
en-US	10	1	7	4	9	4	-	5	1	2	3	4	5	6	7	8	9						
en-US	10	1	8	4	4	3	-	1	1	2	3	4	5	6	7	8	9						
en-US	10	1	9	4	5	4	-	1	1	2	3	4	5	6	7	8	9						
en-US	10	1	10	4	7	5	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	1	11	4	9	1	-	8	1	2	3	4	5	6	7	8	9						
en-US	10	1	12	4	10	8	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	1	13	4	8	4	-	4	1	2	3	4	5	6	7	8	9						
en-US	10	1	14	4	6	4	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	1	15	4	5	2	-	3	1	2	3	4	5	6	7	8	9						
en-US	10	2	1	4	5	3	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	2	2	4	4	3	-	1	1	2	3	4	5	6	7	8	9						
en-US	10	2	3	4	7	5	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	2	4	4	6	3	-	3	1	2	3	4	5	6	7	8	9						
en-US	10	2	5	4	8	4	-	4	1	2	3	4	5	6	7	8	9						
en-US	10	2	6	4	7	3	-	4	1	2	3	4	5	6	7	8	9						
en-US	10	2	7	4	9	6	-	3	1	2	3	4	5	6	7	8	9						
en-US	10	2	8	4	10	6	-	4	1	2	3	4	5	6	7	8	9						
en-US	10	2	9	4	8	3	-	5	1	2	3	4	5	6	7	8	9						
en-US	10	2	10	4	5	4	-	1	1	2	3	4	5	6	7	8	9						
en-US	10	2	11	4	6	2	-	4	1	2	3	4	5	6	7	8	9						
en-US	10	2	12	4	10	3	-	7	1	2	3	4	5	6	7	8	9						
en-US	10	2	13	4	7	4	-	3	1	2	3	4	5	6	7	8	9						
en-US	10	2	14	4	8	6	-	2	1	2	3	4	5	6	7	8	9						
en-US	10	2	15	4	6	5	-	1	1	2	3	4	5	6	7	8	9						
en-US	11	1	1	4	1	9	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	2	4	10	9	-	1	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	3	4	2	8	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	4	4	10	8	-	2	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	5	4	3	7	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	6	4	10	7	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	7	4	4	6	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	8	4	10	6	-	4	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	9	4	5	5	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	10	4	10	5	-	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	11	4	6	4	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	12	4	10	4	-	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	13	4	7	3	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	14	4	10	3	-	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	1	15	4	8	2	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	1	4	9	1	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	2	4	10	1	-	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	3	4	8	2	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	4	4	10	2	-	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	5	4	7	3	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	6	4	10	3	-	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	7	4	6	4	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	8	4	10	4	-	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	9	4	5	5	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	10	4	10	5	-	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	11	4	4	6	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	12	4	10	6	-	4	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	13	4	3	7	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	14	4	10	7	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	2	15	4	2	8	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	1	4	1	9	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	2	4	10	1	-	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	3	4	2	8	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	4	4	10	2	-	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	5	4	3	7	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	6	4	10	3	-	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	7	4	4	6	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	8	4	10	4	-	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	9	4	5	5	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	10	4	10	5	-	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	11	4	6	4	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	12	4	10	6	-	4	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	13	4	7	3	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	14	4	10	7	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	3	15	4	8	2	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	1	4	9	1	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	2	4	10	9	-	1	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	3	4	8	2	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	4	4	10	8	-	2	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	5	4	7	3	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	6	4	10	7	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	7	4	6	4	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	8	4	10	6	-	4	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	9	4	5	5	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	10	4	10	5	-	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	11	4	4	6	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	12	4	10	4	-	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	13	4	3	7	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	14	4	10	3	-	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	11	4	15	4	2	8	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	1	4	5	3	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	2	4	8	3	-	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	3	4	4	4	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	4	4	6	4	-	2	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	5	4	2	6	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	6	4	9	6	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	7	4	3	5	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	8	4	9	5	-	4	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	9	4	4	2	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	10	4	4	2	-	2	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	11	4	3	6	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	12	4	6	3	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	13	4	2	7	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	14	4	7	2	-	5	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	1	15	4	5	5	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	1	4	6	4	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	2	4	6	4	-	2	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	3	4	3	4	+	7	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	4	4	7	4	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	5	4	3	3	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	6	4	9	3	-	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	7	4	4	5	+	9	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	8	4	5	4	-	1	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	9	4	7	3	+	10	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	10	4	7	3	-	4	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	11	4	2	6	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	12	4	9	6	-	3	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	13	4	4	2	+	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	14	4	8	2	-	6	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	12	2	15	4	6	2	+	8	1	2	3	4	5	6	7	8	9	10	11	12			
en-US	13	1	1	4	10	0	+	10	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	2	4	10	1	+	11	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	3	4	10	2	+	12	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	4	4	10	3	+	13	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	5	4	10	4	+	14	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	6	4	10	5	+	15	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	7	4	10	6	+	16	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	8	4	10	7	+	17	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	9	4	10	8	+	18	10	11	12	13	14	15	16	17	18	19	20	21			
en-US	13	1	10	4	10	9	+	19	10	11	12	13	14	15	16	17	18	19	20	21			
