title,A Happy Kingdom,book_en_508_page_0_1.m4a,book_en_508_page_0,portrait,audio,
word,1.18482,1.44319,my,en-uk_my.m4a,0.2,
word,1.44319,2.05211,subjects,en-uk_subjects.m4a,0.2,
word,2.05211,2.34387,to,en-uk_to.m4a,0.2,
word,2.34387,2.78987,spread,en-uk_spread.m4a,0.2,
word,2.78987,2.98733,the,en-uk_the.m4a,0.2,
word,2.98733,3.70261,word,en-uk_word.m4a,0.2,
word,3.70261,3.86162,by,en-uk_by.m4a,0.2,
word,3.86162,4.41995,singing,en-uk_singing.m4a,0.2,
word,4.41995,4.59408,the,en-uk_the.m4a,0.2,
word,4.59408,5.04552,same,en-uk_same.m4a,0.2,
word,5.04552,5.45186,song.,en-uk_song.m4a,0.2,
sentence,book_en_508_page_2_4.m4a,15.7748,
word,0.465476,1.10228,Because,en-uk_because.m4a,0.2,
word,1.10228,1.33323,we,en-uk_we.m4a,0.2,
word,1.33323,1.69174,all,en-uk_all.m4a,0.2,
word,1.69174,2.06582,use,en-uk_use.m4a,0.2,
word,2.06582,2.56736,legs,en-uk_legs.m4a,0.2,
word,2.56736,2.75911,for,en-uk_for.m4a,0.2,
word,2.75911,3.92662,"dancing,",en-uk_dancing.m4a,0.2,
word,3.92662,4.09359,the,en-uk_the.m4a,0.2,
word,4.09359,4.77695,festival,en-uk_festival.m4a,0.2,
word,4.77695,5.03492,will,en-uk_will.m4a,0.2,
word,5.03492,5.25251,be,en-uk_be.m4a,0.2,
word,5.25251,5.46935,a,en-uk_a.m4a,0.2,
word,5.46935,5.76953,time,en-uk_time.m4a,0.2,
word,5.76953,5.96973,to,en-uk_to.m4a,0.2,
word,5.96973,6.34438,show,en-uk_show.m4a,0.2,
word,6.34438,6.76177,off,en-uk_off.m4a,0.2,
word,6.76177,7.06207,our,en-uk_our.m4a,0.2,
word,7.06207,7.62912,amazing,en-uk_amazing.m4a,0.2,
word,7.62912,7.98515,legs.”,en-uk_legs.m4a,0.2,
page,3,book_en_508_page_3,wordwrap,
paragraph
sentence,book_en_508_page_3_1.m4a,0,
word,0.305105,0.681197,All,en-uk_all.m4a,0.2,
word,0.681197,1.13163,around,en-uk_around.m4a,0.2,
word,1.13163,1.29015,the,en-uk_the.m4a,0.2,
word,1.29015,2.1233,"kingdom,",en-uk_kingdom.m4a,0.2,
word,2.1233,2.69833,animals,en-uk_animals.m4a,0.2,
word,2.69833,3.12392,sang,en-uk_sang.m4a,0.2,
word,3.12392,3.36518,the,en-uk_the.m4a,0.2,
word,3.36518,3.90297,song.,en-uk_song.m4a,0.2,
sentence,book_en_508_page_3_2.m4a,4.90297,
word,0.316939,0.47535,The,en-uk_the.m4a,0.2,
word,0.47535,1.18349,song,en-uk_song.m4a,0.2,
word,1.18349,1.8435,invited,en-uk_invited.m4a,0.2,
word,1.8435,2.82615,everyone,en-uk_everyone.m4a,0.2,
word,2.82615,3.02627,to,en-uk_to.m4a,0.2,
word,3.02627,3.66872,dance,en-uk_dance.m4a,0.2,
word,3.66872,3.82835,at,en-uk_at.m4a,0.2,
word,3.82835,3.97769,the,en-uk_the.m4a,0.2,
word,3.97769,4.38555,king's,en-uk_king1s.m4a,0.2,
word,4.38555,5.16949,house,en-uk_house.m4a,0.2,
word,5.16949,5.34417,at,en-uk_at.m4a,0.2,
word,5.34417,5.51132,the,en-uk_the.m4a,0.2,
word,5.51132,6.07919,top,en-uk_top.m4a,0.2,
word,6.07919,6.22023,of,en-uk_of.m4a,0.2,
word,6.22023,6.37021,the,en-uk_the.m4a,0.2,
word,6.37021,6.62039,hill.,en-uk_hill.m4a,0.2,
sentence,book_en_508_page_3_3.m4a,12.5234,
word,0.317615,0.517933,There,en-uk_there.m4a,0.2,
word,0.517933,0.75987,would,en-uk_would.m4a,0.2,
word,0.75987,1.01903,be,en-uk_be.m4a,0.2,
word,1.01903,1.66044,three,en-uk_three.m4a,0.2,
word,1.66044,2.04407,whole,en-uk_whole.m4a,0.2,
word,2.04407,2.61185,days,en-uk_days.m4a,0.2,
word,2.61185,2.81104,to,en-uk_to.m4a,0.2,
word,2.81104,3.67019,celebrate,en-uk_celebrate.m4a,0.2,
word,3.67019,4.10297,legs,en-uk_legs.m4a,0.2,
word,4.10297,4.57889,and,en-uk_and.m4a,0.2,
word,4.57889,5.24617,dancing!,en-uk_dancing.m4a,0.2,
page,4,book_en_508_page_4,wordwrap,
paragraph
sentence,book_en_508_page_4_1.m4a,0,
word,0.266866,0.609087,When,en-uk_when.m4a,0.2,
word,0.609087,0.758598,it,en-uk_it.m4a,0.2,
word,0.758598,1.03523,was,en-uk_was.m4a,0.2,
word,1.03523,1.66026,time,en-uk_time.m4a,0.2,
word,1.66026,1.79333,for,en-uk_for.m4a,0.2,
word,1.79333,2.01858,the,en-uk_the.m4a,0.2,
word,2.01858,2.86832,"festival,",en-uk_festival.m4a,0.2,
word,2.86832,3.24489,all,en-uk_all.m4a,0.2,
word,3.24489,3.45296,the,en-uk_the.m4a,0.2,
word,3.45296,3.95271,people,en-uk_people.m4a,0.2,
word,3.95271,4.17003,and,en-uk_and.m4a,0.2,
word,4.17003,4.90388,animals,en-uk_animals.m4a,0.2,
word,4.90388,5.08848,in,en-uk_in.m4a,0.2,
word,5.08848,5.25411,the,en-uk_the.m4a,0.2,
word,5.25411,5.73782,kingdom,en-uk_kingdom.m4a,0.2,
word,5.73782,6.44658,traveled,en-uk_traveled.m4a,0.2,
word,6.44658,6.64736,to,en-uk_to.m4a,0.2,
word,6.64736,6.84656,the,en-uk_the.m4a,0.2,
word,6.84656,7.18927,hill.,en-uk_hill.m4a,0.2,
sentence,book_en_508_page_4_2.m4a,8.18927,
word,0.307626,0.649297,Some,en-uk_some.m4a,0.2,
word,0.649297,0.841086,of,en-uk_of.m4a,0.2,
word,0.841086,1.27549,them,en-uk_them.m4a,0.2,
word,1.27549,1.7994,journeyed,en-uk_journeyed.m4a,0.2,
word,1.7994,2.05923,for,en-uk_for.m4a,0.2,
word,2.05923,2.6883,weeks.,en-uk_weeks.m4a,0.2,
sentence,book_en_508_page_4_3.m4a,11.8776,
word,0.300654,0.500685,They,en-uk_they.m4a,0.2,
word,0.500685,1.30942,marched,en-uk_marched.m4a,0.2,
word,1.30942,1.47678,in,en-uk_in.m4a,0.2,
word,1.47678,1.63612,a,en-uk_a.m4a,0.2,
word,1.63612,2.11859,long,en-uk_long.m4a,0.2,
word,2.11859,2.78673,line,en-uk_line.m4a,0.2,
word,2.78673,3.06089,up,en-uk_up.m4a,0.2,
word,3.06089,3.33629,to,en-uk_to.m4a,0.2,
word,3.33629,3.4776,the,en-uk_the.m4a,0.2,
word,3.4776,4.00253,king's,en-uk_king1s.m4a,0.2,
word,4.00253,4.52492,house.,en-uk_house.m4a,0.2,
page,5,book_en_508_page_5,wordwrap,
paragraph
sentence,book_en_508_page_5_1.m4a,0,
word,0.292072,0.492345,The,en-uk_the.m4a,0.2,
word,0.492345,1.30151,king,en-uk_king.m4a,0.2,
word,1.30151,1.91023,welcomed,en-uk_welcomed.m4a,0.2,
word,1.91023,2.25216,his,en-uk_his.m4a,0.2,
word,2.25216,3.13606,subjects,en-uk_subjects.m4a,0.2,
word,3.13606,3.31121,a,en-uk_a.m4a,0.2,
word,3.31121,3.92896,few,en-uk_few.m4a,0.2,
word,3.92896,4.07003,at,en-uk_at.m4a,0.2,
word,4.07003,4.18676,a,en-uk_a.m4a,0.2,
word,4.18676,4.64007,time.,en-uk_time.m4a,0.2,
sentence,book_en_508_page_5_2.m4a,5.64007,
word,0.31299,0.627457,On,en-uk_on.m4a,0.2,
word,0.627457,0.768023,the,en-uk_the.m4a,0.2,
word,0.768023,1.25201,first,en-uk_first.m4a,0.2,
word,1.25201,1.99385,"day,",en-uk_day.m4a,0.2,
word,1.99385,2.46048,two,en-uk_two.m4a,0.2,
word,2.46048,2.84461,people,en-uk_people.m4a,0.2,
word,2.84461,3.34639,tapped,en-uk_tapped.m4a,0.2,
word,3.34639,3.60362,their,en-uk_their.m4a,0.2,
word,3.60362,4.21236,feet,en-uk_feet.m4a,0.2,
word,4.21236,4.47057,and,en-uk_and.m4a,0.2,
word,4.47057,5.24663,stepped,en-uk_stepped.m4a,0.2,
word,5.24663,5.47153,to,en-uk_to.m4a,0.2,
word,5.47153,5.66369,a,en-uk_a.m4a,0.2,
word,5.66369,5.83644,beat.,en-uk_beat.m4a,0.2,
sentence,book_en_508_page_5_3.m4a,12.4765,
word,0.201212,0.400301,The,en-uk_the.m4a,0.2,
word,0.400301,0.934224,king,en-uk_king.m4a,0.2,
word,0.934224,1.15821,"said,",en-uk_said.m4a,0.2,
sentence,book_en_508_page_5_4.m4a,14.6347,
word,0.284179,0.535133,“You,en-uk_you.m4a,0.2,
word,0.535133,1.11894,both,en-uk_both.m4a,0.2,
word,1.11894,1.32821,have,en-uk_have.m4a,0.2,
word,1.32821,1.71157,good,en-uk_good.m4a,0.2,
word,1.71157,2.253,legs,en-uk_legs.m4a,0.2,
word,2.253,2.54443,for,en-uk_for.m4a,0.2,
word,2.54443,3.28224,dancing.”,en-uk_dancing.m4a,0.2,
page,6,book_en_508_page_6,wordwrap,
paragraph
sentence,book_en_508_page_6_1.m4a,0,
word,0.283293,0.475193,A,en-uk_a.m4a,0.2,
word,0.475193,1.09231,mouse,en-uk_mouse.m4a,0.2,
word,1.09231,1.45041,told,en-uk_told.m4a,0.2,
word,1.45041,1.6177,the,en-uk_the.m4a,0.2,
word,1.6177,2.03796,"king,",en-uk_king.m4a,0.2,
sentence,book_en_508_page_6_2.m4a,3.03796,
word,0.241792,0.585214,“I,en-uk_i.m4a,0.2,
word,0.585214,1.4263,dream,en-uk_dream.m4a,0.2,
word,1.4263,1.60142,of,en-uk_of.m4a,0.2,
word,1.60142,2.01813,having,en-uk_having.m4a,0.2,
word,2.01813,2.51037,longer,en-uk_longer.m4a,0.2,
word,2.51037,3.07111,legs.”,en-uk_legs.m4a,0.2,
sentence,book_en_508_page_6_3.m4a,7.10907,
word,0.290354,0.493005,The,en-uk_the.m4a,0.2,
word,0.493005,0.915049,king,en-uk_king.m4a,0.2,
word,0.915049,1.1407,"said,",en-uk_said.m4a,0.2,
sentence,book_en_508_page_6_4.m4a,9.24977,
word,0.309934,0.475483,“But,en-uk_but.m4a,0.2,
word,0.475483,1.04276,you,en-uk_you.m4a,0.2,
word,1.04276,1.21763,and,en-uk_and.m4a,0.2,
word,1.21763,1.50974,your,en-uk_your.m4a,0.2,
word,1.50974,1.85164,friend,en-uk_friend.m4a,0.2,
word,1.85164,2.14347,the,en-uk_the.m4a,0.2,
word,2.14347,3.03579,alligator,en-uk_alligator.m4a,0.2,
word,3.03579,3.36921,have,en-uk_have.m4a,0.2,
word,3.36921,4.14492,wonderful,en-uk_wonderful.m4a,0.2,
word,4.14492,4.68611,short,en-uk_short.m4a,0.2,
word,4.68611,5.31122,legs.”,en-uk_legs.m4a,0.2,
sentence,book_en_508_page_6_5.m4a,15.561,
word,0.119809,0.400784,The,en-uk_the.m4a,0.2,
word,0.400784,1.03356,mouse,en-uk_mouse.m4a,0.2,
word,1.03356,1.37603,and,en-uk_and.m4a,0.2,
word,1.37603,1.5182,the,en-uk_the.m4a,0.2,
word,1.5182,2.24445,alligator,en-uk_alligator.m4a,0.2,
word,2.24445,2.98552,danced,en-uk_danced.m4a,0.2,
word,2.98552,3.82816,away,en-uk_away.m4a,0.2,
word,3.82816,4.26241,feeling,en-uk_feeling.m4a,0.2,
word,4.26241,4.81569,happy.,en-uk_happy.m4a,0.2,
page,7,book_en_508_page_7,wordwrap,
paragraph
sentence,book_en_508_page_7_1.m4a,0,
word,0.257708,0.488836,On,en-uk_on.m4a,0.2,
word,0.488836,0.671756,the,en-uk_the.m4a,0.2,
word,0.671756,1.19795,second,en-uk_second.m4a,0.2,
word,1.19795,1.88903,"day,",en-uk_day.m4a,0.2,
word,1.88903,2.32453,another,en-uk_another.m4a,0.2,
word,2.32453,2.74251,pair,en-uk_pair.m4a,0.2,
word,2.74251,3.01303,came,en-uk_came.m4a,0.2,
word,3.01303,3.2734,in.,en-uk_in.m4a,0.2,
sentence,book_en_508_page_7_2.m4a,4.2734,
word,0.251505,0.660459,“You,en-uk_you.m4a,0.2,
word,0.660459,1.07736,have,en-uk_have.m4a,0.2,
word,1.07736,1.80379,lovely,en-uk_lovely.m4a,0.2,
word,1.80379,2.19552,long,en-uk_long.m4a,0.2,
word,2.19552,2.71712,"legs,”",en-uk_legs.m4a,0.2,
sentence,book_en_508_page_7_3.m4a,7.99052,
word,0.134566,0.367843,the,en-uk_the.m4a,0.2,
word,0.367843,0.752919,king,en-uk_king.m4a,0.2,
word,0.752919,1.06896,said.,en-uk_said.m4a,0.2,
sentence,book_en_508_page_7_4.m4a,10.0595,
word,0.285916,0.893609,He,en-uk_he.m4a,0.2,
word,0.893609,1.70353,clapped,en-uk_clapped.m4a,0.2,
word,1.70353,2.07794,until,en-uk_until.m4a,0.2,
word,2.07794,2.31085,his,en-uk_his.m4a,0.2,
word,2.31085,2.98786,hands,en-uk_hands.m4a,0.2,
word,2.98786,3.48503,tingled.,en-uk_tingled.m4a,0.2,
sentence,book_en_508_page_7_5.m4a,14.5445,
word,0.271558,0.460185,The,en-uk_the.m4a,0.2,
word,0.460185,1.119,animals,en-uk_animals.m4a,0.2,
word,1.119,1.31912,were,en-uk_were.m4a,0.2,
word,1.31912,2.128,proud,en-uk_proud.m4a,0.2,
word,2.128,2.40297,and,en-uk_and.m4a,0.2,
word,2.40297,2.96619,happy.,en-uk_happy.m4a,0.2,
page,8,book_en_508_page_8,wordwrap,
paragraph
sentence,book_en_508_page_8_1.m4a,0,
word,0.333526,0.600493,Some,en-uk_some.m4a,0.2,
word,0.600493,1.93472,"birds,",en-uk_birds.m4a,0.2,
word,1.93472,2.15603,a,en-uk_a.m4a,0.2,
word,2.15603,3.40237,"lion,",en-uk_lion.m4a,0.2,
word,3.40237,3.58038,a,en-uk_a.m4a,0.2,
word,3.58038,4.97016,"rhino,",en-uk_rhino.m4a,0.2,
word,4.97016,5.18845,a,en-uk_a.m4a,0.2,
word,5.18845,6.30435,"rabbit,",en-uk_rabbit.m4a,0.2,
word,6.30435,6.72244,and,en-uk_and.m4a,0.2,
word,6.72244,6.93057,a,en-uk_a.m4a,0.2,
word,6.93057,7.74702,turtle,en-uk_turtle.m4a,0.2,
word,7.74702,8.18237,all,en-uk_all.m4a,0.2,
word,8.18237,8.89045,danced,en-uk_danced.m4a,0.2,
word,8.89045,9.11606,by,en-uk_by.m4a,0.2,
word,9.11606,9.33963,the,en-uk_the.m4a,0.2,
word,9.33963,9.55533,king.,en-uk_king.m4a,0.2,
sentence,book_en_508_page_8_2.m4a,10.5553,
word,0.315691,0.616575,“Some,en-uk_some.m4a,0.2,
word,0.616575,0.832826,of,en-uk_of.m4a,0.2,
word,0.832826,1.12442,you,en-uk_you.m4a,0.2,
word,1.12442,1.53252,have,en-uk_have.m4a,0.2,
word,1.53252,1.80105,two,en-uk_two.m4a,0.2,
word,1.80105,2.6853,"legs,",en-uk_legs.m4a,0.2,
word,2.6853,3.00933,and,en-uk_and.m4a,0.2,
word,3.00933,3.32041,some,en-uk_some.m4a,0.2,
word,3.32041,3.48959,of,en-uk_of.m4a,0.2,
word,3.48959,3.79177,you,en-uk_you.m4a,0.2,
word,3.79177,4.20183,have,en-uk_have.m4a,0.2,
word,4.20183,4.62735,four.,en-uk_four.m4a,0.2,
sentence,book_en_508_page_8_3.m4a,16.1827,
word,0.284321,0.651926,Some,en-uk_some.m4a,0.2,
word,0.651926,1.0595,legs,en-uk_legs.m4a,0.2,
word,1.0595,1.4335,are,en-uk_are.m4a,0.2,
word,1.4335,2.5201,thick,en-uk_thick.m4a,0.2,
word,2.5201,2.76822,and,en-uk_and.m4a,0.2,
word,2.76822,3.39587,some,en-uk_some.m4a,0.2,
word,3.39587,3.74425,are,en-uk_are.m4a,0.2,
word,3.74425,4.21166,skinny.,en-uk_skinny.m4a,0.2,
sentence,book_en_508_page_8_4.m4a,21.3943,
word,0.27478,0.458254,They,en-uk_they.m4a,0.2,
word,0.458254,0.858121,are,en-uk_are.m4a,0.2,
word,0.858121,1.46682,all,en-uk_all.m4a,0.2,
word,1.46682,2.05855,beautiful!”,en-uk_beautiful.m4a,0.2,
sentence,book_en_508_page_8_5.m4a,24.4529,
word,0.276257,0.59415,said,en-uk_said.m4a,0.2,
word,0.59415,0.75923,the,en-uk_the.m4a,0.2,
word,0.75923,1.0407,king.,en-uk_king.m4a,0.2,
page,9,book_en_508_page_9,wordwrap,
paragraph
sentence,book_en_508_page_9_1.m4a,0,
word,0.467011,0.720762,By,en-uk_by.m4a,0.2,
word,0.720762,0.933559,the,en-uk_the.m4a,0.2,
word,0.933559,1.37485,third,en-uk_third.m4a,0.2,
word,1.37485,2.26867,"day,",en-uk_day.m4a,0.2,
word,2.26867,2.5615,only,en-uk_only.m4a,0.2,
word,2.5615,2.8959,a,en-uk_a.m4a,0.2,
word,2.8959,3.28551,few,en-uk_few.m4a,0.2,
word,3.28551,3.87167,subjects,en-uk_subjects.m4a,0.2,
word,3.87167,4.13672,had,en-uk_had.m4a,0.2,
word,4.13672,4.43119,not,en-uk_not.m4a,0.2,
word,4.43119,4.80382,yet,en-uk_yet.m4a,0.2,
word,4.80382,5.21743,met,en-uk_met.m4a,0.2,
word,5.21743,5.43089,the,en-uk_the.m4a,0.2,
word,5.43089,5.61556,king.,en-uk_king.m4a,0.2,
sentence,book_en_508_page_9_2.m4a,6.61556,
word,0.284131,0.541706,He,en-uk_he.m4a,0.2,
word,0.541706,0.741922,was,en-uk_was.m4a,0.2,
word,0.741922,1.19445,worried,en-uk_worried.m4a,0.2,
word,1.19445,1.96835,when,en-uk_when.m4a,0.2,
word,1.96835,2.18625,an,en-uk_an.m4a,0.2,
word,2.18625,2.78559,animal,en-uk_animal.m4a,0.2,
word,2.78559,3.46821,inched,en-uk_inched.m4a,0.2,
word,3.46821,3.66996,into,en-uk_into.m4a,0.2,
word,3.66996,3.84614,the,en-uk_the.m4a,0.2,
word,3.84614,4.29598,room,en-uk_room.m4a,0.2,
word,4.29598,4.50471,on,en-uk_on.m4a,0.2,
word,4.50471,4.66351,her,en-uk_her.m4a,0.2,
word,4.66351,5.10576,belly.,en-uk_belly.m4a,0.2,
sentence,book_en_508_page_9_3.m4a,12.7213,
word,0.300927,0.600455,“Where,en-uk_where.m4a,0.2,
word,0.600455,0.767861,are,en-uk_are.m4a,0.2,
word,0.767861,1.16809,your,en-uk_your.m4a,0.2,
word,1.16809,1.87054,legs?”,en-uk_legs.m4a,0.2,
sentence,book_en_508_page_9_4.m4a,15.5919,
word,0.129575,0.607648,the,en-uk_the.m4a,0.2,
word,0.607648,0.968907,king,en-uk_king.m4a,0.2,
word,0.968907,1.39361,asked.,en-uk_asked.m4a,0.2,
page,10,book_en_508_page_10,wordwrap,
paragraph
sentence,book_en_508_page_10_1.m4a,0,
word,0.202355,1.36762,“Surprise!”,en-uk_surprise.m4a,0.2,
sentence,book_en_508_page_10_2.m4a,2.36762,
word,0.357723,0.721042,said,en-uk_said.m4a,0.2,
word,0.721042,0.957544,the,en-uk_the.m4a,0.2,
word,0.957544,1.48034,centipede.,en-uk_centipede.m4a,0.2,
sentence,book_en_508_page_10_3.m4a,4.84796,
word,0.372138,0.641138,“I,en-uk_i.m4a,0.2,
word,0.641138,0.931676,was,en-uk_was.m4a,0.2,
word,0.931676,1.54553,hiding,en-uk_hiding.m4a,0.2,
word,1.54553,1.84289,my,en-uk_my.m4a,0.2,
word,1.84289,2.17898,legs!”,en-uk_legs.m4a,0.2,
sentence,book_en_508_page_10_4.m4a,8.02694,
word,0.322874,0.638247,The,en-uk_the.m4a,0.2,
word,0.638247,1.24203,king,en-uk_king.m4a,0.2,
word,1.24203,2.25797,clapped,en-uk_clapped.m4a,0.2,
word,2.25797,2.61582,and,en-uk_and.m4a,0.2,
word,2.61582,2.9656,"said,",en-uk_said.m4a,0.2,
sentence,book_en_508_page_10_5.m4a,11.9925,
word,0,0.70743,“You,en-uk_you.m4a,0.2,
word,0.70743,1.13046,have,en-uk_have.m4a,0.2,
word,1.13046,1.70586,so,en-uk_so.m4a,0.2,
word,1.70586,1.96199,many,en-uk_many.m4a,0.2,
word,1.96199,2.9563,"legs,",en-uk_legs.m4a,0.2,
word,2.9563,3.50617,I,en-uk_i.m4a,0.2,
word,3.50617,4.01173,cannot,en-uk_cannot.m4a,0.2,
word,4.01173,4.47474,count,en-uk_count.m4a,0.2,
word,4.47474,4.69111,them,en-uk_them.m4a,0.2,
word,4.69111,5.07769,all!”,en-uk_all.m4a,0.2,
page,11,book_en_508_page_11,wordwrap,
paragraph
sentence,book_en_508_page_11_1.m4a,0,
word,0.630945,0.916587,The,en-uk_the.m4a,0.2,
word,0.916587,1.58515,last,en-uk_last.m4a,0.2,
word,1.58515,2.23586,animal,en-uk_animal.m4a,0.2,
word,2.23586,2.74454,came,en-uk_came.m4a,0.2,
word,2.74454,2.95301,into,en-uk_into.m4a,0.2,
word,2.95301,3.16962,the,en-uk_the.m4a,0.2,
word,3.16962,3.2373,room.,en-uk_room.m4a,0.2,
sentence,book_en_508_page_11_2.m4a,4.2373,
word,0.322467,0.53343,“Are,en-uk_are.m4a,0.2,
word,0.53343,0.968634,you,en-uk_you.m4a,0.2,
word,0.968634,1.46938,hiding,en-uk_hiding.m4a,0.2,
word,1.46938,1.80152,your,en-uk_your.m4a,0.2,
word,1.80152,2.27745,"legs,",en-uk_legs.m4a,0.2,
word,2.27745,2.68923,too?”,en-uk_too.m4a,0.2,
sentence,book_en_508_page_11_3.m4a,7.92653,
word,0.274033,0.665817,asked,en-uk_asked.m4a,0.2,
word,0.665817,0.841801,the,en-uk_the.m4a,0.2,
word,0.841801,0.954966,king.,en-uk_king.m4a,0.2,
sentence,book_en_508_page_11_4.m4a,9.8815,
word,0.411909,0.935533,"“No,”",en-uk_no.m4a,0.2,
sentence,book_en_508_page_11_5.m4a,11.817,
word,0.401637,0.681792,said,en-uk_said.m4a,0.2,
word,0.681792,0.908763,the,en-uk_the.m4a,0.2,
word,0.908763,1.12313,snake.,en-uk_snake.m4a,0.2,
sentence,book_en_508_page_11_6.m4a,13.9402,
word,0.318486,0.585296,“I,en-uk_i.m4a,0.2,
word,0.585296,1.10569,have,en-uk_have.m4a,0.2,
word,1.10569,1.43871,no,en-uk_no.m4a,0.2,
word,1.43871,1.89798,legs.”,en-uk_legs.m4a,0.2,
page,12,book_en_508_page_12,wordwrap,
paragraph
sentence,book_en_508_page_12_1.m4a,0,
word,0.296353,0.576207,The,en-uk_the.m4a,0.2,
word,0.576207,1.08204,king,en-uk_king.m4a,0.2,
word,1.08204,1.53639,"thought,",en-uk_thought.m4a,0.2,
sentence,book_en_508_page_12_2.m4a,2.53639,
word,0.274392,0.566729,“I,en-uk_i.m4a,0.2,
word,0.566729,1.0755,forgot,en-uk_forgot.m4a,0.2,
word,1.0755,1.40132,about,en-uk_about.m4a,0.2,
word,1.40132,1.79392,animals,en-uk_animals.m4a,0.2,
word,1.79392,2.16788,with,en-uk_with.m4a,0.2,
word,2.16788,2.51103,no,en-uk_no.m4a,0.2,
word,2.51103,3.02397,legs.,en-uk_legs.m4a,0.2,
sentence,book_en_508_page_12_3.m4a,6.56036,
word,0.250862,0.651797,What,en-uk_what.m4a,0.2,
word,0.651797,0.842347,can,en-uk_can.m4a,0.2,
word,0.842347,1.11759,I,en-uk_i.m4a,0.2,
word,1.11759,1.65156,do?”,en-uk_do.m4a,0.2,
sentence,book_en_508_page_12_4.m4a,9.21193,
word,0.369882,0.583457,He,en-uk_he.m4a,0.2,
word,0.583457,0.941997,looked,en-uk_looked.m4a,0.2,
word,0.941997,1.25883,for,en-uk_for.m4a,0.2,
word,1.25883,1.60149,something,en-uk_something.m4a,0.2,
word,1.60149,1.82501,to,en-uk_to.m4a,0.2,
word,1.82501,2.14262,help,en-uk_help.m4a,0.2,
word,2.14262,2.29226,the,en-uk_the.m4a,0.2,
word,2.29226,2.91834,"snake,",en-uk_snake.m4a,0.2,
word,2.91834,3.67723,but,en-uk_but.m4a,0.2,
word,3.67723,3.9288,he,en-uk_he.m4a,0.2,
word,3.9288,4.22831,had,en-uk_had.m4a,0.2,
