#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
en-US	1	3	1	1	en_uk_a1_08.m4a	7 ÚðÇ °ŒÂÜ ¥æñÚ 2 »ýèÙ °ŒÂÜ Åô·UUUUÚè ×ð¢ ãñ¢Ð Åô·UUUUÚè ×ð¢ ç·UUUUÌÙð °ŒÂÜ ãñ¢?	6	7	8	9	apples	apples	apples	apples	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	1	3	2	1	en_uk_a1_07.m4a	Áñ·UUUU ·UUUè ×é»èü Ùð ·UUUUÜ 6 ¥¢Çð ¥æñÚ ¥æÁ 3 ¥¢Çð çÎ°Ð Áñ·UUUU ·UUUè ×é»èü Ùð ç·UUUUÌÙð ¥¢Çð çÎ°?	6	7	8	9	eggs	eggs	eggs	eggs	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	1	3	3	1	en_uk_a1_03.m4a	ÁÕ ßã S·êUUUÜ ×ð¢ »ç‡æÌ ·UUUUÚÌè ãñ, àæðËÕè SÅæÚ çSÅ·UUUUÚ ·UUUU×æÌè ãñÐ ·UUUUÜ, àæðËÕè Ùð 4 SÅæÚ ·UUUU×æ°Ð ¥æÁ ©âÙð 3 ¥æñÚ ·UUUU×æ°Ð àæðËÕè Ùð âÖè ×ð¢ ç·UUUUÌÙð SÅæÚ ·UUUU×æ°?	6	7	8	9	stars	stars	stars	stars	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	1	3	4	1	en_uk_a1_05.m4a	Åæò× ·ðUUU Âæâ 6 ç·UUUUÌæÕð¢ ãñ¢Ð Áð{â ·ðUUU Âæâ 2 ç·UUUUÌæÕð¢ ãñ¢Ð ©Ù·ðUUU Âæâ âÖè ×ð¢ ç·UUUUÌÙè ç·UUUUÌæÕð¢ ãñ¢?	3	5	7	8	books	books	books	books	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	1	3	5	1	en_uk_a1_01.m4a	SÅñâè Ùð âéÕã 5 ×ÀçÜØæ¡ Â·UUUUÇ¸è¢Ð ©âÙð ÎôÂãÚ ×ð¢ 4 ¥æñÚ ×ÀçÜØæ¡ Â·UUUUÇ¸è¢Ð SÅñâè Ùð ·éUUUÜ ç·UUUUÌÙè ×ÀÜè Â·UUUUÇ¸è?	6	7	8	9	fish	fish	fish	fish	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	1	1	4	en_uk_d3_02.m4a	çÕÜè ·ðUUU Âæâ 2 ×æÕüËâ ãñ¢Ð ¥æòÇþð ·ðUUU Âæâ çÕÜè ·UUUè ÌéÜÙæ ×ð¢ 3 ¥çÏ·UUUU ×æÕüËâ ãñ¢Ð ¥æòÇþð ·ðUUU Âæâ ç·UUUUÌÙð ×æÕüËâ ãñ¢?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	1	2	4	en_uk_d3_03.m4a	ãðÙÚè ·ðUUU Âæâ 4 Çæ·UUUU çÅ·UUUUÅ ãñ¢Ð °çÚ·UUUU ·ðUUU Âæâ ãðÙÚè ·UUUè ÌéÜÙæ ×ð¢ 5 ¥çÏ·UUUU Çæ·UUUU çÅ·UUUUÅ ãñ¢Ð °çÚ·UUUU ·ðUUU Âæâ ç·UUUUÌÙð Çæ·UUUU çÅ·UUUUÅ ãñ¢?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	1	3	4	en_uk_d3_08.m4a	S·êUUUÜ ×ð¢ Îô ¹ôØæ-ÂæØæ Õvâð ãñ¢Ð ÂãÜð Õvâð ×ð¢, 5 ÅôÂè ãñ¢Ð ÎêâÚð Õæòvâ ×ð¢, ÂãÜð Õæòvâ ·UUUè ÌéÜÙæ ×ð¢ 4 ¥çÏ·UUUU ÅôÂè ãñ¢Ð ÎêâÚð Õæòvâ ×ð¢ ç·UUUUÌÙè ÅôçÂØæ¡ ãñ¢?	5	9	14	15	hats	hats	hats	hats	5 + 4 = <9>	2	5	9	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	2	1	4	4	en_uk_d3_04.m4a	ÕæòÕè Ùð »ñÕè ·UUUè ÌéÜÙæ ×ð¢ 3 ¥çÏ·UUUU ÂéSÌ·ð¢UUU ¹ÚèÎè¢Ð »ðyÕè Ùð °·UUUU ç·UUUUÌæÕ ¹ÚèÎèÐ ÕæòÕè Ùð ç·UUUUÌÙè ç·UUUUÌæÕð¢ ¹ÚèÎè¢?	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	1	5	4	en_uk_d3_05.m4a	ÇèÙÙæ ·ðUUU Âæâ ÈUUUUÌõ âð 5 ’ØæÎæ ÂãðçÜØæ¢ ãñ¢Ð ÈUUUUÌõ ·ðUUU Âæâ 3 ÂãðçÜØæ¢ ãñ¢Ð ÇèÙÙæ ·ðUUU Âæâ ç·UUUUÌÙè ÂãðçÜØæ¢ ãñ¢?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	2	1	4	en_uk_d3_03.m4a	ãðÙÚè ·ðUUU Âæâ 4 Çæ·UUUU çÅ·UUUUÅ ãñ¢Ð °çÚ·UUUU ·ðUUU Âæâ ãðÙÚè ·UUUè ÌéÜÙæ ×ð¢ 5 ¥çÏ·UUUU Çæ·UUUU çÅ·UUUUÅ ãñ¢Ð °çÚ·UUUU ·ðUUU Âæâ ç·UUUUÌÙð Çæ·UUUU çÅ·UUUUÅ ãñ¢?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	2	2	4	en_uk_d3_07.m4a	Íæò×â ·ðUUU ¹ðÌ ×ð¢ 2 Õ·UUUUçÚØæ¢ ãñ¢Ð ©â·ðUUU ¹ðÌ ÂÚ Õ·UUUUçÚØô¢ ·UUUè ÌéÜÙæ ×ð¢ 6 ¥çÏ·UUUU ×éç»üØæ¢ ãñ¢Ð ©â·ðUUU Âæâ ç·UUUUÌÙè ×éç»üØæ¢ ãñ¢?	2	6	8	12	chickens	chickens	chickens	chickens	2 + 6 = <8>	3	2	8	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
en-US	2	2	3	4	en_uk_d3_01.m4a	âæÚæ 5 âæÜ ·UUUè ãñÐ ©â·UUUè ÕãÙ ·ðUUUÅè âæÚæ âð 2 âæÜ ÕÇ¸è ãñÐ ·ðUUUÅè ·UUUè ©×ý ç·UUUUÌÙè ãñ?	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	2	4	4	en_uk_d3_06.m4a	ÂéSÌ·UUUæÜØ ×ð¢ S·êUUUÜ ·UUUæØæüÜØ ·UUUè ÌéÜÙæ ×ð¢ 5 ¥çÏ·UUUU ÅðÕÜ ãñ¢Ð S·êUUUÜ ·ðUUU ·UUUæØæüÜØ ×ð¢ 2 ÅðÕÜ ãñ¢Ð ÂéSÌ·UUUæÜØ ×ð¢ ç·UUUUÌÙð ÅðÕÜ ãñ¢?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	2	2	5	4	en_uk_d3_04.m4a	ÕæòÕè Ùð »ñÕè ·UUUè ÌéÜÙæ ×ð¢ 3 ¥çÏ·UUUU ÂéSÌ·ð¢UUU ¹ÚèÎè¢Ð »ðyÕè Ùð °·UUUU ç·UUUUÌæÕ ¹ÚèÎèÐ ÕæòÕè Ùð ç·UUUUÌÙè ç·UUUUÌæÕð¢ ¹ÚèÎè¢?	3	4	5	6	books	books	books	books	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	2	3	1	4	en_uk_d3_01.m4a	âæÚæ 5 âæÜ ·UUUè ãñÐ ©â·UUUè ÕãÙ ·ðUUUÅè âæÚæ âð 2 âæÜ ÕÇ¸è ãñÐ ·ðUUUÅè ·UUUè ©×ý ç·UUUUÌÙè ãñ?	2	5	7	9	years old	years old	years old	years old	5 + 2 = <7>	3	5	7	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	2	3	2	4	en_uk_d3_03.m4a	ãðÙÚè ·ðUUU Âæâ 4 Çæ·UUUU çÅ·UUUUÅ ãñ¢Ð °çÚ·UUUU ·ðUUU Âæâ ãðÙÚè ·UUUè ÌéÜÙæ ×ð¢ 5 ¥çÏ·UUUU Çæ·UUUU çÅ·UUUUÅ ãñ¢Ð °çÚ·UUUU ·ðUUU Âæâ ç·UUUUÌÙð Çæ·UUUU çÅ·UUUUÅ ãñ¢?	4	5	9	11	stamps	stamps	stamps	stamps	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	2	3	3	4	en_uk_d3_02.m4a	çÕÜè ·ðUUU Âæâ 2 ×æÕüËâ ãñ¢Ð ¥æòÇþð ·ðUUU Âæâ çÕÜè ·UUUè ÌéÜÙæ ×ð¢ 3 ¥çÏ·UUUU ×æÕüËâ ãñ¢Ð ¥æòÇþð ·ðUUU Âæâ ç·UUUUÌÙð ×æÕüËâ ãñ¢?	2	3	5	8	marbles	marbles	marbles	marbles	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	2	3	4	4	en_uk_d3_05.m4a	ÇèÙÙæ ·ðUUU Âæâ ÈUUUUÌõ âð 5 ’ØæÎæ ÂãðçÜØæ¢ ãñ¢Ð ÈUUUUÌõ ·ðUUU Âæâ 3 ÂãðçÜØæ¢ ãñ¢Ð ÇèÙÙæ ·ðUUU Âæâ ç·UUUUÌÙè ÂãðçÜØæ¢ ãñ¢?	6	7	8	9	puzzles	puzzles	puzzles	puzzles	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	2	3	5	4	en_uk_d3_06.m4a	ÂéSÌ·UUUæÜØ ×ð¢ S·êUUUÜ ·UUUæØæüÜØ ·UUUè ÌéÜÙæ ×ð¢ 5 ¥çÏ·UUUU ÅðÕÜ ãñ¢Ð S·êUUUÜ ·ðUUU ·UUUæØæüÜØ ×ð¢ 2 ÅðÕÜ ãñ¢Ð ÂéSÌ·UUUæÜØ ×ð¢ ç·UUUUÌÙð ÅðÕÜ ãñ¢?	5	7	9	11	tables	tables	tables	tables	2 + 5 = <7>	2	7	2	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	3	1	1	2	en_uk_b1_03.m4a	°·UUUU àææ¹æ ÂÚ 4 Âÿæè ÕñÆð ãñ¢Ð 1 ©Ç¸ »ØæÐ àææ¹æ ÂÚ ç·UUUUÌÙð Âÿæè Õ¿ð ãñ¢?	2	3	4	5	birds	birds	birds	birds	4 - 1 = <3>	2	4	1	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	3	1	2	2	en_uk_b1_10.m4a	¥æâ×æÙ ×ð¢ 9 ÂÌ¢»ð¢ ©Ç¸ Úãè ãñ¢Ð °·UUUU ãßæ 3 ÂÌ¢»ô¢ ·UUUUô Á×èÙ ÂÚ ç»Úæ ÎðÌè ãñÐ ç·UUUUÌÙè ÂÌ¢»ð¢ ¥Öè Öè ¥æâ×æÙ ×ð¢ ©Ç¸ Úãè ãñ¢?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	1	3	2	en_uk_b1_01.m4a	5 °ÂËâ ÅðÕÜ ÂÚ ãñ¢Ð âñ× 2 °ÂËâ ¹æÌæ ãñÐ ÅðÕÜ ÂÚ ç·UUUUÌÙð âðÕ Õ¿ð ãñ¢?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	1	4	2	en_uk_b1_04.m4a	ãñÙæ 8 ÚôçÅØæ¡ ÕÙæÌè ãñÐ ßã ¥ÂÙð Öæ§ü ·UUUUô 3 ÚôçÅØæ¡ ÎðÌè ãñÐ ©â·ðUUU Âæâ ç·UUUUÌÙè ÚôçÅØæ¡ Õ¿è ãñ¢?	8	7	6	5	loaves	loaves	loaves	loaves	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	1	5	2	en_uk_b1_08.m4a	âÕÚèÙæ 4 ·¢UUU»Ù ÕÙæÌè ãñÐ ßã ©Ù×ð¢ âð 2 ¥ÂÙð ÎôSÌ ·UUUUô ÎðÌè ãñÐ âÕÚèÙæ ·ðUUU Âæâ ç·UUUUÌÙð ·¢UUU»Ù Õ¿ð ãñ¢?	1	2	3	4	bracelet	bracelets	bracelets	bracelets	4 - 2 = <2>	2	4	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
en-US	3	2	1	2	en_uk_b1_02.m4a	°Ùæ ·ðUUU Âæâ 7 ·éUUU·UUUèÁ ãñ¢Ð ßã ©Ù×ð¢ âð 2 ¹æÌè ãñÐ ©â·ðUUU Âæâ ç·UUUUÌÙè ·éUUU·UUUèÁ¸ Õ¿è ãñ¢?	3	4	5	6	cookies	cookies	cookies	cookies	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	2	2	2	en_uk_b1_04.m4a	ãñÙæ 8 ÚôçÅØæ¡ ÕÙæÌè ãñÐ ßã ¥ÂÙð Öæ§ü ·UUUUô 3 ÚôçÅØæ¡ ÎðÌè ãñÐ ©â·ðUUU Âæâ ç·UUUUÌÙè ÚôçÅØæ¡ Õ¿è ãñ¢?	8	7	6	5	loaves	loaves	loaves	loaves	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	2	3	2	en_uk_b1_05.m4a	ç×Üè ·ðUUU 9 ·¢UUU»Ù ãñ¢Ð ßã ©Ù×ð¢ âð 2 ¹ô ÎðÌè ãñÐ ç×Üè ·ðUUU Âæâ ¥Ö ç·UUUUÌÙð ·¢UUU»Ù Õ¿ð ãñ¢?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	2	4	2	en_uk_b1_10.m4a	¥æâ×æÙ ×ð¢ 9 ÂÌ¢»ð¢ ©Ç¸ Úãè ãñ¢Ð °·UUUU ãßæ 3 ÂÌ¢»ô¢ ·UUUUô Á×èÙ ÂÚ ç»Úæ ÎðÌè ãñÐ ç·UUUUÌÙè ÂÌ¢»ð¢ ¥Öè Öè ¥æâ×æÙ ×ð¢ ©Ç¸ Úãè ãñ¢?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	2	5	2	en_uk_b1_02.m4a	°Ùæ ·ðUUU Âæâ 7 ·éUUU·UUUèÁ ãñ¢Ð ßã ©Ù×ð¢ âð 2 ¹æÌè ãñÐ ©â·ðUUU Âæâ ç·UUUUÌÙè ·éUUU·UUUèÁ¸ Õ¿è ãñ¢?	3	4	5	6	cookies	cookies	cookies	cookies	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	3	3	1	2	en_uk_b1_01.m4a	5 °ÂËâ ÅðÕÜ ÂÚ ãñ¢Ð âñ× 2 °ÂËâ ¹æÌæ ãñÐ ÅðÕÜ ÂÚ ç·UUUUÌÙð âðÕ Õ¿ð ãñ¢?	2	3	4	5	apples	apples	apples	apples	5 - 2  = <3>	2	5	2	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	3	3	2	2	en_uk_b1_04.m4a	ãñÙæ 8 ÚôçÅØæ¡ ÕÙæÌè ãñÐ ßã ¥ÂÙð Öæ§ü ·UUUUô 3 ÚôçÅØæ¡ ÎðÌè ãñÐ ©â·ðUUU Âæâ ç·UUUUÌÙè ÚôçÅØæ¡ Õ¿è ãñ¢?	8	7	6	5	loaves	loaves	loaves	loaves	8 - 3 = <5>	4	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	3	3	3	2	en_uk_b1_05.m4a	ç×Üè ·ðUUU 9 ·¢UUU»Ù ãñ¢Ð ßã ©Ù×ð¢ âð 2 ¹ô ÎðÌè ãñÐ ç×Üè ·ðUUU Âæâ ¥Ö ç·UUUUÌÙð ·¢UUU»Ù Õ¿ð ãñ¢?	9	7	5	3	bracelets	bracelets	bracelets	bracelets	9 - 2 = <7>	2	9	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	3	3	4	2	en_uk_b1_10.m4a	¥æâ×æÙ ×ð¢ 9 ÂÌ¢»ð¢ ©Ç¸ Úãè ãñ¢Ð °·UUUU ãßæ 3 ÂÌ¢»ô¢ ·UUUUô Á×èÙ ÂÚ ç»Úæ ÎðÌè ãñÐ ç·UUUUÌÙè ÂÌ¢»ð¢ ¥Öè Öè ¥æâ×æÙ ×ð¢ ©Ç¸ Úãè ãñ¢?	5	6	7	8	kites	kites	kites	kites	9 - 3 = <6>	2	9	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
en-US	3	3	5	2	en_uk_b1_02.m4a	°Ùæ ·ðUUU Âæâ 7 ·éUUU·UUUèÁ ãñ¢Ð ßã ©Ù×ð¢ âð 2 ¹æÌè ãñÐ ©â·ðUUU Âæâ ç·UUUUÌÙè ·éUUU·UUUèÁ¸ Õ¿è ãñ¢?	3	4	5	6	cookies	cookies	cookies	cookies	7 - 2 = <5>	3	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
en-US	4	1	1	4	en_uk_d1_03.m4a	6 Âÿæè ¥æñÚ 3 ƒæô¢âÜð ãñ¢Ð ƒæô¢âÜô¢ ·UUUè ÌéÜÙæ ×ð¢ ç·UUUUÌÙð ¥çÏ·UUUU Âÿæè ãñ¢?	3	6	9	12	birds	birds	birds	birds	6 - 3 = <3>	1	6	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
en-US	4	1	2	4	en_uk_d1_09.m4a	°×è Ùð 4 yÜæò·UUUU ¿ÜÌè ãñ S·êUUUÜ ·ðUUU çÜ°Ð ÁðÙ S·êUUUÜ ·ðUUU çÜ° 2 yÜæò·UUUU ¿ÜÌæ ãñÐ °×è ÁðÙ ·UUUè ÌéÜÙæ ×ð¢ S·êUUUÜ ÁæÙð ·ðUUU çÜ° ¥æñÚ ç·UUUUÌÙð yÜæò·UUUU ¿ÜÌè ãñ¢?	2	4	6	8	blocks	blocks	blocks	blocks	4 - 2 = <2>	1	4	2	0	0					wordwindow-stone-blue.png	wordwindow-stone-red.png		
en-US	4	1	3	4	en_uk_d1_01.m4a	Üéâè 9 âæÜ ·UUUè ãñÐ ©â·UUUè ÕãÙ ÁêÜè 6 âæÜ ·UUUè ãñÐ Üéâè ¥ÂÙè ÕãÙ ÁêÜè âð ç·UUUUÌÙè ÕÇ¸è ãñ?	3	6	9	12	years	years	years	years	9 - 6  = <3>	1	9	6	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
en-US	4	1	4	4	en_uk_d1_05.m4a	âñ× Ùð 7 ·éUUU·UUUèÁ ¥æñÚ ÁðÙ Ùð 2 ·éUUU·UUUèÁ ¹æ§ü¢Ð âñ× ·UUUè ÌéÜÙæ ×ð¢ ÁðÙ Ùð ç·UUUUÌÙð ·UUUU× ·éUUU·UUUèÁ¸ ¹æ°?	3	5	7	9	cookies	cookies	cookies	cookies	7 - 2 = <5>	2	7	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
en-US	4	1	5	4	en_uk_d1_06.m4a	Åæò× Ùð S·êUUUÜ ·ðUUU Õ»è¿ð ×ð¢ 5 ÕèÁ Ü»æ°Ð ÁðÙ Ùð 8 ÕèÁ Ü»æ°Ð Åæò× Ùð ÁðÙ ·UUUè ÌéÜÙæ ×ð¢ ç·UUUUÌÙð ·UUUU× ÕèÁ Ü»æ°?	3	5	8	10	seeds	seeds	seeds	seeds	8 - 5 = <3>	1	5	8	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
en-US	4	2	1	4	en_uk_d1_04.m4a	5 ·UUUUÂ ¥æñÚ 7 ŒÜðÅð¢ ãñ¢Ð ·UUUUÂô¢ ·UUUè ÌéÜÙæ ×ð¢ ç·UUUUÌÙè ¥çÏ·UUUU ŒÜðÅð¢ ãñ¢?	2	5	9	14	plates	plates	plates	plates	7 - 5 = <2>	1	5	7	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
en-US	4	2	2	4	en_uk_d1_10.m4a	·UUUæ×è ·ðUUU ·UUUUÜ »ç‡æÌ ·ðUUU ãô×ß·üUUU ·ðUUU 3 ÂëD ÍðÐ ©â·ðUUU Âæâ ¥æÁ »ç‡æÌ ·ðUUU ãô×ß·üUUU ·ðUUU 9 ÂëD ãñ¢Ð ·UUUUÜ ·UUUè ÌéÜÙæ ×ð¢ ·UUUæ×è ·ðUUU ¥æÁ ¥æñÚ ç·UUUUÌÙð ÂëD ãñ¢?	3	6	9	12	pages	pages	pages	pages	9 - 3 = <6>	2	3	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-yellow.png		
