#missing_number - questionoption1: 숫자 간 간격 / questionoption2: 괄호 위치(미지정 시 랜덤) / questionoption3: ascending, descending 지정 가능, 없으면 둘 중 하나 / answerpoint1: 시작 수 세팅 (10=10의 배수, 5=5의 배수..), 없으면 랜덤                                                                                         #operations_with_objects - questionoption2: regroupingtrue시 받아올림,받아내림 강제. regroupingfalse시 받아올림, 받아내림 없음. 없으면 둘 중 하나.                                                                                         #operations_without_objects - questionoption3: vertical시 세로 연산. horizontal시 가로 연산. 없으면 둘 중 하나.                                                                                         #biggest_and_smallest - questionoption1: biggest시 가장 큰 수. smallest시 가장 작은 수.                                                                                         #bigger_and_smaller - questionoption1: bigger시 더 큰 수. smaller시 더 작은 수. / questionoption2: image, number 지정, 없으면 둘 중 하나 / questionoption3: image의 경우 lineup을 기재하면 정렬됨                                                                                         #compare_number_magnitudes - questionoption1: ascending, descending 지정 가능, 없으면 둘 중 하나 / answeroption1: 숫자 간 간격 지정, 없으면 지정하지 않음.                                                                                         #shapes - questionoption1: 질문, 음성 파일 명과 일치해야 함 / answerrange: 항목 중 답변을 하나 선택. 이미지 파일 명과 일치해야 함 / answeroption1 항목 중 보기 선택. 이미지 파일 명과 일치해야 함"														
#level	worksheet	leveltypesequence	type	templatename	questionoption1	questionoption2	questionoption3	questionoption4	questionoption5	answer	answeroption1			
PostTest_1	1	1001, 1001, 1002, 1002, 1003, 1004, 1004, 1005, 1005, 1006												
			5013	operations_drag	10+1~10=?		horizontal			11~19				
			5014	operations_drag	10-1~9=?		vertical			1~9				
			5015	shapes	which	कौनसा पेंटागन है?	कौनसा पेंटागन है?			pentagon	pentagon,hexagon,parallelogram,trapezoid			
			5016	shapes	which	कोनसा हेक्सागॉन है ?	कोनसा हेक्सागॉन है ?			hexagon	pentagon,hexagon,parallelogram,trapezoid			
			5017	shapes	which	कौनसा परलेलोग्राम है?	कौनसा परलेलोग्राम है?			parallelogram	pentagon,hexagon,parallelogram,trapezoid			
			5018	shapes	which	कौनसा ट्रेपोजॉइड है?	कौनसा ट्रेपोजॉइड है?			trapezoid	pentagon,hexagon,parallelogram,trapezoid			
			5019	shapes	what	यह कौन सा आकार है?	यह कौन सा आकार है?			cylinder,cube,sphere,cone	cylinder,cube,sphere,cone			
MiniTest_6_1	1	61001, 61002, 61003, 61004, 61005												
			61001	missing_number_drag	1	3	ascending			51~100				
			61002	missing_number_drag	10	4	ascending			51~100	10			
			61003	number_identification						51~100				
			61004	operations_with_objects	11~19+1~9=?	regroupingtrue				20				
			61005	operations_drag	1~9+1~9=?	regroupingtrue	vertical			10~19				
MiniTest_6_2	1	62001~62002, 62003, 62004, 62005, 62006												
			62001	biggest_and_smallest	biggest	कौन सा सबसे बड़ा है?	कौन सा सबसे बड़ा है?			51~100				
			62002	biggest_and_smallest	smallest	कौन सा सबसे छोटा है?	कौन सा सबसे छोटा है?			51~100				
			62003	use_magnitude_symbols	51~100	51~100	 खाली स्थान भरें।	 खाली स्थान भरें।						
			62004	operations_drag	11~20-10=?		horizontal			1~10				
			62005	operations_drag	11~20-1~9=?	regroupingtrue	vertical			1~10				
			62006	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			51~99				
MiniTest_6_3	1	63001, 63002, 63003, 63004~63005, 63006												
			63001	missing_number_drag	10	3	descending			51~100	10			
			63002	operations_with_objects	11~20-1~9=?	regroupingtrue				1~20				
			63003	operations_drag	1~20+1~20=?	regroupingtrue	vertical			20				
			63004	operations_drag	20-1~9=?	regroupingtrue	vertical			11~19				
			63005	operations_drag	20-11~19=?	regroupingtrue	vertical			1~9				
			63006	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			71~99				
PostTest_6	1	6001, 6002, 6003, 6004~6005, 6006~6007, 6008~6009, 6010, 6011, 6012, 6013~6014												
			6001	recognize_number						51~100				
			6002	3digit_numbers	कितने हैं?					100~110				
			6003	use_magnitude_symbols	51~100	51~100	खाली स्थान भरे	 खाली स्थान भरें।						
			6004	biggest_and_smallest	biggest	कौन सा सबसे बड़ा है?	कौन सा सबसे बड़ा है?			51~100				
			6005	biggest_and_smallest	smallest	कौन सा सबसे छोटा है?	कौन सा सबसे छोटा है?			51~100				
			6006	missing_number_drag	10	2	ascending			50~100	10			
			6007	missing_number_drag	5	2	ascending			51~100	5			
			6008	missing_number_drag	1	3	descending			51~100				
			6009	missing_number_drag	10	3	descending			51~100	10			
			6010	operations_with_objects	1~9+1~9=?	regroupingtrue				11~18				
			6011	operations_with_objects	11~20-1~9=?	regroupingtrue				2~19				
			6012	operations_drag	11~20-1~10=?	regroupingfalse	horizontal			1~10				
			6013	operations_drag	11~19+1~9=?	regroupingtrue	vertical			20				
			6014	operations_drag	20-1~9=?	regroupingtrue	vertical			11~19				
MiniTest_7_1	1	71001,71002, 71003, 71004, 71005												
			71001	missing_number_drag	3	4	ascending			1~20	3			
			71002	operations_with_objects	11~19-1~9=?	regroupingtrue				1~9				
			71003	operations_drag	1~10+1~10=?	regroupingtrue	vertical			10~20				
			71004	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			51~99				
			71005	word_problem	७ रेड एप्पल और २ ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?	७ रेड एप्पल और २ ग्रीन एप्पल टोकरी में हैं। टोकरी में कितने एप्पल हैं?				9				
MiniTest_7_2	1	72001, 72002, 72003, 72004, 72005												
			72001	missing_number_drag	2	4	descending			1~10	2			
			72002	operations_drag	11~19+11~19=?	regroupingfalse	horizontal			20~30				
			72003	operations_drag	20-1~10=?		horizontal			1~10				
			72004	compare_number_magnitudes	descending	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।			51~99				
			72005	word_problem	बिली के पास २ मार्बल्स हैं। लता के पास बिली की तुलना में ३ अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?	बिली के पास २ मार्बल्स हैं। लता के पास बिली की तुलना में ३ अधिक मार्बल्स हैं। लता के पास कितने मार्बल्स हैं?				5				
MiniTest_7_3	1	73001, 73002, 73003, 73004, 73005												
			73001	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			71~99				
			73002	missing_number_drag	2	3	descending			11~30	2			
			73003	operations_with_objects	11~19+11~19=?	regroupingtrue				20~40				
			73004	operations_drag	21~50-10~20=?	regroupingfalse	vertical			1~40				
			73005	word_problem	५ एपल्स टेबल पर हैं। रेहमान २ एपल्स खाता है। टेबल पर कितने सेब बचे हैं?	५ एपल्स टेबल पर हैं। रेहमान २ एपल्स खाता है। टेबल पर कितने सेब बचे हैं?				3				
PostTest_7	1	7001, 7002~7003, 7004, 7005, 7006~7007, 7008, 7009, 7010~7011, 7012, 7013												
			7001	use_magnitude_symbols	51~100	51~100	खाली स्थान भरें।	 खाली स्थान भरें।						
			7002	compare_number_magnitudes	ascending	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।	सबसे छोटे से लेकर सबसे बड़े तक के क्रम में संख्या को रखे।			51~100				
			7003	compare_number_magnitudes	descending	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।			51~100				
			7004	missing_number_drag	3	4	ascending			10~50	3			
			7005	missing_number_drag	5	3	descending			10~50	5			
			7006	operations_with_objects	11~19+1~9=?	regroupingtrue				20~30				
			7007	operations_with_objects	1~9+11~19=?	regroupingtrue				20~30				
			7008	operations_with_objects	11~19+11~19=?	regroupingtrue				20~40				
			7009	operations_drag	11~50-11~30=?	regroupingfalse	vertical			1~50				
			7010	word_problem	नियति ने सुबह ५ मछलियाँ पकड़ीं। उसने दोपहर में ४ और मछलियाँ पकड़ीं। नियति ने कुल कितनी मछली पकड़ी?	नियति ने सुबह ५ मछलियाँ पकड़ीं। उसने दोपहर में ४ और मछलियाँ पकड़ीं। नियति ने कुल कितनी मछली पकड़ी?				9				
			7011	word_problem	गणेश के पास ४ डाक टिकट हैं। दानिश के पास गणेश की तुलना में ५ अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?	गणेश के पास ४ डाक टिकट हैं। दानिश के पास गणेश की तुलना में ५ अधिक डाक टिकट हैं। दानिश के पास कितने डाक टिकट हैं?				8				
			7012	word_problem	एक पेड़ की शाखा पर ८ पक्षी बैठे हैं। कुछ उड़ गए। अब शाखा पर ३ पक्षी हैं। कितने पक्षी उड़ गए?	एक पेड़ की शाखा पर ८ पक्षी बैठे हैं। कुछ उड़ गए। अब शाखा पर ३ पक्षी हैं। कितने पक्षी उड़ गए?				3				
			7013	word_problem	आपके पास ७ गुब्बारे हैं और आपके मित्र के पास ५ गुब्बारे हैं। आपके मित्र के मुकाबले आपके पास कितने गुब्बारे ज़्यादा हैं	आपके पास ७ गुब्बारे हैं और आपके मित्र के पास ५ गुब्बारे हैं। आपके मित्र के मुकाबले आपके पास कितने गुब्बारे ज़्यादा हैं?				2				
MiniTest_8_1	1	81001, 81002, 81003, 81004, 81005												
			81001	use_magnitude_symbols	100, 200, 300, 400, 500, 600, 700, 800, 900	100, 200, 300, 400, 500, 600, 700, 800, 900	çÚQUUUU SÍæÙ ÖÚð¢Ð	 खाली स्थान भरें।						
			81002	missing_number_drag	2	4	descending			50~100	2			
			81003	operations_drag	11~50+11~50=?	regroupingfalse	vertical			20~50				
			81004	operations_drag	11~50-11~50=?	regroupingfalse	vertical			20~50				
			81005	word_problem	एक पानी की टंकी में १४ मछलियाँ हैं। केरी ने ३ और मछलियाँ टंकी में डालीं। टंकी में कितनी मछलियां हैं?	एक पानी की टंकी में १४ मछलियाँ हैं। केरी ने ३ और मछलियाँ टंकी में डालीं। टंकी में कितनी मछलियां हैं?				17				
MiniTest_8_2	1	82001, 82002, 82003, 82004, 82005												
			82001	compare_number_magnitudes	descending	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।			51~100				
			82002	missing_number_drag	1	4	ascending			100~500				
			82003	operations_drag	21~40+11~20=?	regroupingtrue	vertical			30~60				
			82004	word_problem	खाने की मेज पर १० प्लेटें हैं। प्लेटों की तुलना में ५ अधिक लोग हैं। कुल कितने लोग हैं?	खाने की मेज पर १० प्लेटें हैं। प्लेटों की तुलना में ५ अधिक लोग हैं। कुल कितने लोग हैं?				15				
			82005	word_problem	एक बाड़ पर १२ बिल्लियाँ हैं। १ बिल्ली बाड़ से नीचे कूदती है। अब कितनी बिल्लियाँ बाड़ पर हैं?	एक बाड़ पर १२ बिल्लियाँ हैं। १ बिल्ली बाड़ से नीचे कूदती है। अब कितनी बिल्लियाँ बाड़ पर हैं?				11				
MiniTest_8_3	1	83001, 83002, 83003, 83004, 83005												
			83001	missing_number_drag	100	2	ascending			100~900	100			
			83002	operations_drag	11~18-1~9=?	regroupingtrue	horizontal			1~9				
			83003	operations_drag	21~50-11~30=?	regroupingtrue	vertical			1~40				
			83004	word_problem	अदिति के पास ८ संतरे हैं और मोहित के पास ४ संतरे हैं। उनके पास कुल मिलाकर कितने संतरे हैं?	अदिति के पास ८ संतरे हैं और मोहित के पास ४ संतरे हैं। उनके पास कुल मिलाकर कितने संतरे हैं?				12				
			83005	word_problem	धीरज की उम्र ५ साल है। उर्वशी धीरज से ७ साल बड़ी है। उर्वशी कितनी साल की है?	धीरज की उम्र ५ साल है। उर्वशी धीरज से ७ साल बड़ी है। उर्वशी कितनी साल की है?				12				
PostTest_8	1	8001, 8002, 8003, 8004, 8005, 8006, 8007, 8008, 8009, 8010												
			8001	compare_number_magnitudes	ascending	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।	सबसे बड़े से लेकर सबसे छोटे तक के क्रम में संख्या को रखे।			300~700				
			8002	missing_number_drag	1	3	ascending			200~999				
			8003	missing_number_drag	100	4	ascending			200~999	100			
			8004	missing_number_drag	100	4	descending			100~500	100			
			8005	operations_drag	11~50+11~20=?	regroupingtrue	vertical			1~50				
			8006	operations_drag	31~50-11~20=?	regroupingtrue	vertical			1~50				
			8007	word_problem	दीपेश के पास ६ किताबें हैं। कार्तिक के पास २ किताबें हैं। उनके पास सभी में कितनी किताबें हैं?	दीपेश के पास ६ किताबें हैं। कार्तिक के पास २ किताबें हैं। उनके पास सभी में कितनी किताबें हैं?				8				
			8008	word_problem	अर्जुन के  एक टोकरी में ११ आम हैं। अर्जुन अपनी बहन को ४ आम देता है। टोकरी में कितने आम बचे हैं?	अर्जुन के  एक टोकरी में ११ आम हैं। अर्जुन अपनी बहन को ४ आम देता है। टोकरी में कितने आम बचे हैं?				7				
			8009	word_problem	अरविन्द १२ साल का है। उसका भाई दीपेश ८ साल का है। अरविन्द की तुलना में दीपेश कितना छोटा है?	अरविन्द १२ साल का है। उसका भाई दीपेश ८ साल का है। अरविन्द की तुलना में दीपेश कितना छोटा है?				4				
			8010	word_problem	एक किसान ने १६ अंडे इकठे किए। नाश्ता बनाने के लिए उसने ४ अंडों का इस्तेमाल किया। उसके पास कितने अंडे बचे हैं?	एक किसान ने १६ अंडे इकठे किए। नाश्ता बनाने के लिए उसने ४ अंडों का इस्तेमाल किया। उसके पास कितने अंडे बचे हैं?				12				
MiniTest_9_1	1	91001~91003, 91004, 91005, 91006, 91007												
			91001	operations_drag	11~99+10, 20, 30, 40, 50, 60, 70, 70, 80=?		horizontal			1~100				
			91002	operations_drag	10, 20, 30, 40, 50, 60, 70, 80+11~99=?		horizontal			1~100				
			91003	operations_drag	10, 20, 30, 40, 50, 60, 70, 80, 90-5,10=?		horizontal			1~100				
			91004	operations_without_objects	2, 3, 4, 5x1~9=?		horizontal			2~45				
			91005	missing_number_drag	10	3	ascending			500~990	10			
			91006	word_problem	अलका के पास ९ गुब्बारे हैं। ६ ग्रीन  हैं और बाकी ब्लू हैं। ब्लू गुब्बारे कितने हैं??	अलका के पास ९ गुब्बारे हैं। ६ ग्रीन  हैं और बाकी ब्लू हैं। ब्लू गुब्बारे कितने हैं??				3				
			91007	shapes	what	यह कौन सा आकार है?	यह कौन सा आकार है?			circle,square,triangle,rectangle	circle,square,triangle,rectangle			
MiniTest_9_2	1	92001~92002, 92003, 92004, 92005, 92006												
			92001	missing_number_drag	1	4	descending			100~999				
			92002	missing_number_drag	5	3	ascending			100~999	5			
			92003	operations_drag	31~50+20~50=?	regroupingfalse	vertical			1~100				
			92004	operations_drag	10~99-10=?		vertical			1~90				
			92005	operations_without_objects	6, 7, 8, 9x1~9=?		horizontal			6~81				
			92006	word_problem	एक किसान के पास ७ एप्पल के पेड़ थे। उसने कुछ और पेड़ खरीदे और अब उसके बाग में १० एप्पल के पेड़ हैं। उसने कितने एप्पल के पेड़ खरीदे?	एक किसान के पास ७ एप्पल के पेड़ थे। उसने कुछ और पेड़ खरीदे और अब उसके बाग में १० एप्पल के पेड़ हैं। उसने कितने एप्पल के पेड़ खरीदे?				3				
MiniTest_9_3	1	93001, 93002, 93003, 93004, 93005												
			93001	operations_drag	11~30+20~70=?	regroupingtrue	vertical			1~99				
			93002	operations_drag	20~70-11~30=?	regroupingtrue	vertical			1~99				
			93003	missing_number_drag	10	4	descending			100~999	10			
			93004	word_problem	टेनिस फ़राज़ में १२ खिलाड़ी हैं। खिलाडियों में से ६ लड़कियां हैं। कुछ लडक़े हैं। कितने टेनिस खिलाड़ी लडक़े हैं?	टेनिस फ़राज़ में १२ खिलाड़ी हैं। खिलाडियों में से ६ लड़कियां हैं। कुछ लडक़े हैं। कितने टेनिस खिलाड़ी लडक़े हैं?				6				
			93005	shapes	what	यह कौन सा आकार है?	यह कौन सा आकार है?			pentagon,hexagon,parallelogram,trapezoid	pentagon,hexagon,parallelogram,trapezoid			
PostTest_9	1	9001, 9002, 9003, 9004, 9005, 9006, 9007, 9008, 9009, 9010												
			9001	operations_drag	20~70-11~30=?	regroupingtrue	vertical			1~100				
			9002	operations_drag	11~30+20~70=?	regroupingtrue	vertical			1~100				
			9003	missing_number_drag	5	4	descending			100~999	5			
			9004	missing_number_drag	3	3	ascending			1~20				
			9005	operations_without_objects	2~9x2~9=?		horizontal			4~81				
			9006	word_problem	नकुल के पास ४ मार्बल्स हैं। सू ने नकुल को कुछ और मार्बल्स दिए और अब उसके पास कुल ६ मार्बल्स हैं। सू ने नकुल को कितने मार्बल्स दिए?	नकुल के पास ४ मार्बल्स हैं। सू ने नकुल को कुछ और मार्बल्स दिए और अब उसके पास कुल ६ मार्बल्स हैं। सू ने नकुल को कितने मार्बल्स दिए?				2				
			9007	word_problem	मेरे पास १० सेब हैं। मैं कुछ सेब खाता हूं। मेरे पास ४ सेब बचे हैं। मैंने कितने सेब खाए?	मेरे पास १० सेब हैं। मैं कुछ सेब खाता हूं। मेरे पास ४ सेब बचे हैं। मैंने कितने सेब खाए?				6				
