# LanguageTag	# LevelID	# WorksheetID	# ProblemID	# PieceID		# MatchSound	# Image_A(0)	# Image_B(0)	# Level1은 현재 그림이 네장 뿐이다
en-US	8	1	1	2		star.wav	level8/number_level8_1_type1_2.png	level8/number_level8_type2_2.png	
en-US	8	1	1	3		star.wav	level8/number_level8_1_type1_3.png	level8/number_level8_type2_3.png	
en-US	8	1	1	4		star.wav	level8/number_level8_1_type1_4.png	level8/number_level8_type2_4.png	
en-US	8	1	1	5		star.wav	level8/number_level8_1_type1_5.png	level8/number_level8_type2_5.png	
en-US	8	1	2	1		star.wav	level8/number_level8_2_type1_1.png	level8/number_level8_type2_1.png	
en-US	8	1	2	2		star.wav	level8/number_level8_2_type1_2.png	level8/number_level8_type2_2.png	
en-US	8	1	2	3		star.wav	level8/number_level8_2_type1_3.png	level8/number_level8_type2_3.png	
en-US	8	1	2	4		star.wav	level8/number_level8_2_type1_4.png	level8/number_level8_type2_4.png	
en-US	8	1	2	5		star.wav	level8/number_level8_2_type1_5.png	level8/number_level8_type2_5.png	
en-US	9	1	1	1		star.wav	level9/number_level9_1_type1_9.png	level9/number_level9_2_type2_9.png	
en-US	9	1	1	2		star.wav	level9/number_level9_1_type1_4.png	level9/number_level9_2_type2_4.png	
en-US	9	1	1	3		star.wav	level9/number_level9_1_type1_2.png	level9/number_level9_2_type2_2.png	
en-US	9	1	1	4		star.wav	level9/number_level9_1_type1_7.png	level9/number_level9_2_type2_7.png	
en-US	9	1	1	5		star.wav	level9/number_level9_1_type1_1.png	level9/number_level9_2_type2_1.png	
en-US	9	1	1	6		star.wav	level9/number_level9_1_type1_3.png	level9/number_level9_2_type2_3.png	
en-US	9	1	1	7		star.wav	level9/number_level9_1_type1_10.png	level9/number_level9_2_type2_10.png	
en-US	9	1	2	1		star.wav	level9/number_level9_2_type2_7.png	level9/number_level9_1_type2_7.png	
en-US	9	1	2	2		star.wav	level9/number_level9_2_type2_10.png	level9/number_level9_1_type2_10.png	
en-US	9	1	2	3		star.wav	level9/number_level9_2_type2_5.png	level9/number_level9_1_type2_5.png	
en-US	9	1	2	4		star.wav	level9/number_level9_2_type2_2.png	level9/number_level9_1_type2_2.png	
en-US	9	1	2	5		star.wav	level9/number_level9_2_type2_1.png	level9/number_level9_1_type2_1.png	
en-US	9	1	2	6		star.wav	level9/number_level9_2_type2_3.png	level9/number_level9_1_type2_3.png	
en-US	9	1	2	7		star.wav	level9/number_level9_2_type2_9.png	level9/number_level9_1_type2_9.png	
en-US	9	2	1	1		star.wav	level9/number_level9_1_type1_7.png	level9/number_level9_2_type2_7.png	
en-US	9	2	1	2		star.wav	level9/number_level9_1_type1_2.png	level9/number_level9_2_type2_2.png	
en-US	9	2	1	3		star.wav	level9/number_level9_1_type1_1.png	level9/number_level9_2_type2_1.png	
en-US	9	2	1	4		star.wav	level9/number_level9_1_type1_4.png	level9/number_level9_2_type2_4.png	
en-US	9	2	1	5		star.wav	level9/number_level9_1_type1_10.png	level9/number_level9_2_type2_10.png	
en-US	9	2	1	6		star.wav	level9/number_level9_1_type1_9.png	level9/number_level9_2_type2_9.png	
en-US	9	2	1	7		star.wav	level9/number_level9_1_type1_8.png	level9/number_level9_2_type2_8.png	
en-US	9	2	2	1		star.wav	level9/number_level9_2_type2_9.png	level9/number_level9_1_type2_9.png	
en-US	9	2	2	2		star.wav	level9/number_level9_2_type2_3.png	level9/number_level9_1_type2_3.png	
en-US	9	2	2	3		star.wav	level9/number_level9_2_type2_2.png	level9/number_level9_1_type2_2.png	
en-US	9	2	2	4		star.wav	level9/number_level9_2_type2_6.png	level9/number_level9_1_type2_6.png	
en-US	9	2	2	5		star.wav	level9/number_level9_2_type2_10.png	level9/number_level9_1_type2_10.png	
en-US	9	2	2	6		star.wav	level9/number_level9_2_type2_7.png	level9/number_level9_1_type2_7.png	
en-US	9	2	2	7		star.wav	level9/number_level9_2_type2_5.png	level9/number_level9_1_type2_5.png	
en-US	9	3	1	1		star.wav	level9/number_level9_1_type1_8.png	level9/number_level9_2_type2_8.png	
en-US	9	3	1	2		star.wav	level9/number_level9_1_type1_1.png	level9/number_level9_2_type2_1.png	
en-US	9	3	1	3		star.wav	level9/number_level9_1_type1_5.png	level9/number_level9_2_type2_5.png	
en-US	9	3	1	4		star.wav	level9/number_level9_1_type1_6.png	level9/number_level9_2_type2_6.png	
en-US	9	3	1	5		star.wav	level9/number_level9_1_type1_3.png	level9/number_level9_2_type2_3.png	
en-US	9	3	1	6		star.wav	level9/number_level9_1_type1_7.png	level9/number_level9_2_type2_7.png	
en-US	9	3	1	7		star.wav	level9/number_level9_1_type1_4.png	level9/number_level9_2_type2_4.png	
en-US	9	3	2	1		star.wav	level9/number_level9_2_type2_4.png	level9/number_level9_1_type2_4.png	
en-US	9	3	2	2		star.wav	level9/number_level9_2_type2_10.png	level9/number_level9_1_type2_10.png	
en-US	9	3	2	3		star.wav	level9/number_level9_2_type2_5.png	level9/number_level9_1_type2_5.png	
en-US	9	3	2	4		star.wav	level9/number_level9_2_type2_9.png	level9/number_level9_1_type2_9.png	
en-US	9	3	2	5		star.wav	level9/number_level9_2_type2_3.png	level9/number_level9_1_type2_3.png	
en-US	9	3	2	6		star.wav	level9/number_level9_2_type2_8.png	level9/number_level9_1_type2_8.png	
en-US	9	3	2	7		star.wav	level9/number_level9_2_type2_7.png	level9/number_level9_1_type2_7.png	
en-US	10	1	1	1		star.wav	level10/number_level10_1_type2_1.png	level10/number_level10_1_type1_1.png	
en-US	10	1	1	2		star.wav	level10/number_level10_1_type2_2.png	level10/number_level10_1_type1_2.png	
en-US	10	1	1	3		star.wav	level10/number_level10_1_type2_3.png	level10/number_level10_1_type1_3_1.png	
en-US	10	1	1	4		star.wav	level10/number_level10_1_type2_4.png	level10/number_level10_1_type1_4_1.png	
en-US	10	1	1	5		star.wav	level10/number_level10_1_type2_5.png	level10/number_level10_1_type1_5_1.png	
en-US	10	1	2	1		star.wav	level10/number_level10_2_type2_1.png	level10/number_level10_2_type1_1.png	
en-US	10	1	2	2		star.wav	level10/number_level10_2_type2_2.png	level10/number_level10_2_type1_2.png	
en-US	10	1	2	3		star.wav	level10/number_level10_2_type2_3.png	level10/number_level10_2_type1_3_1.png	
en-US	10	1	2	4		star.wav	level10/number_level10_2_type2_4.png	level10/number_level10_2_type1_4_1.png	
en-US	10	1	2	5		star.wav	level10/number_level10_2_type2_5.png	level10/number_level10_2_type1_5_1.png	
en-US	10	2	1	1		star.wav	level10/number_level10_1_type2_1.png	level10/number_level10_1_type1_1.png	
en-US	10	2	1	2		star.wav	level10/number_level10_1_type2_2.png	level10/number_level10_1_type1_2.png	
en-US	10	2	1	3		star.wav	level10/number_level10_1_type2_3.png	level10/number_level10_1_type1_3_2.png	
en-US	10	2	1	4		star.wav	level10/number_level10_1_type2_4.png	level10/number_level10_1_type1_4_2.png	
en-US	10	2	1	5		star.wav	level10/number_level10_1_type2_5.png	level10/number_level10_1_type1_5_2.png	
en-US	10	2	2	1		star.wav	level10/number_level10_2_type2_1.png	level10/number_level10_2_type1_1.png	
en-US	10	2	2	2		star.wav	level10/number_level10_2_type2_2.png	level10/number_level10_2_type1_2.png	
en-US	10	2	2	3		star.wav	level10/number_level10_2_type2_3.png	level10/number_level10_2_type1_3_2.png	
en-US	10	2	2	4		star.wav	level10/number_level10_2_type2_4.png	level10/number_level10_2_type1_4_2.png	
en-US	10	2	2	5		star.wav	level10/number_level10_2_type2_5.png	level10/number_level10_2_type1_5_2.png	
en-US	11	1	1	1		star.wav	level11/number_level11_1_type1_8_1.png	level11/number_level11_2_type2_8.png	
en-US	11	1	1	2		star.wav	level11/number_level11_1_type1_2.png	level11/number_level11_2_type2_2.png	
en-US	11	1	1	3		star.wav	level11/number_level11_1_type1_3_1.png	level11/number_level11_2_type2_3.png	
en-US	11	1	1	4		star.wav	level11/number_level11_1_type1_4_1.png	level11/number_level11_2_type2_4.png	
en-US	11	1	1	5		star.wav	level11/number_level11_1_type1_7_1.png	level11/number_level11_2_type2_7.png	
en-US	11	1	1	6		star.wav	level11/number_level11_1_type1_6_1.png	level11/number_level11_2_type2_6.png	
en-US	11	1	1	7		star.wav	level11/number_level11_1_type1_9_1.png	level11/number_level11_2_type2_9.png	
en-US	11	1	2	1		star.wav	level11/number_level11_2_type2_8.png	level11/number_level11_1_type2_8.png	
en-US	11	1	2	2		star.wav	level11/number_level11_2_type2_7.png	level11/number_level11_1_type2_7.png	
en-US	11	1	2	3		star.wav	level11/number_level11_2_type2_1.png	level11/number_level11_1_type2_1.png	
en-US	11	1	2	4		star.wav	level11/number_level11_2_type2_2.png	level11/number_level11_1_type2_2.png	
en-US	11	1	2	5		star.wav	level11/number_level11_2_type2_9.png	level11/number_level11_1_type2_9.png	
en-US	11	1	2	6		star.wav	level11/number_level11_2_type2_3.png	level11/number_level11_1_type2_3.png	
en-US	11	1	2	7		star.wav	level11/number_level11_2_type2_6.png	level11/number_level11_1_type2_6.png	
en-US	11	2	1	1		star.wav	level11/number_level11_1_type1_9_1.png	level11/number_level11_2_type2_9.png	
en-US	11	2	1	2		star.wav	level11/number_level11_1_type1_5_1.png	level11/number_level11_2_type2_5.png	
en-US	11	2	1	3		star.wav	level11/number_level11_1_type1_6_1.png	level11/number_level11_2_type2_6.png	
en-US	11	2	1	4		star.wav	level11/number_level11_1_type1_8_1.png	level11/number_level11_2_type2_8.png	
en-US	11	2	1	5		star.wav	level11/number_level11_1_type1_2.png	level11/number_level11_2_type2_2.png	
en-US	11	2	1	6		star.wav	level11/number_level11_1_type1_1.png	level11/number_level11_2_type2_1.png	
en-US	11	2	1	7		star.wav	level11/number_level11_1_type1_7_1.png	level11/number_level11_2_type2_7.png	
en-US	11	2	2	1		star.wav	level11/number_level11_2_type2_2.png	level11/number_level11_1_type2_2.png	
en-US	11	2	2	2		star.wav	level11/number_level11_2_type2_8.png	level11/number_level11_1_type2_8.png	
en-US	11	2	2	3		star.wav	level11/number_level11_2_type2_3.png	level11/number_level11_1_type2_3.png	
en-US	11	2	2	4		star.wav	level11/number_level11_2_type2_4.png	level11/number_level11_1_type2_4.png	
en-US	11	2	2	5		star.wav	level11/number_level11_2_type2_6.png	level11/number_level11_1_type2_6.png	
en-US	11	2	2	6		star.wav	level11/number_level11_2_type2_9.png	level11/number_level11_1_type2_9.png	
en-US	11	2	2	7		star.wav	level11/number_level11_2_type2_1.png	level11/number_level11_1_type2_1.png	
en-US	11	3	1	1		star.wav	level11/number_level11_1_type1_5_2.png	level11/number_level11_2_type2_5.png	
en-US	11	3	1	2		star.wav	level11/number_level11_1_type1_1.png	level11/number_level11_2_type2_1.png	
en-US	11	3	1	3		star.wav	level11/number_level11_1_type1_2.png	level11/number_level11_2_type2_2.png	
en-US	11	3	1	4		star.wav	level11/number_level11_1_type1_8_2.png	level11/number_level11_2_type2_8.png	
en-US	11	3	1	5		star.wav	level11/number_level11_1_type1_7_2.png	level11/number_level11_2_type2_7.png	
en-US	11	3	1	6		star.wav	level11/number_level11_1_type1_6_2.png	level11/number_level11_2_type2_6.png	
en-US	11	3	1	7		star.wav	level11/number_level11_1_type1_9_1.png	level11/number_level11_2_type2_9.png	
en-US	11	3	2	1		star.wav	level11/number_level11_2_type2_4.png	level11/number_level11_1_type2_4.png	
en-US	11	3	2	2		star.wav	level11/number_level11_2_type2_8.png	level11/number_level11_1_type2_8.png	
en-US	11	3	2	3		star.wav	level11/number_level11_2_type2_7.png	level11/number_level11_1_type2_7.png	
en-US	11	3	2	4		star.wav	level11/number_level11_2_type2_6.png	level11/number_level11_1_type2_6.png	
en-US	11	3	2	5		star.wav	level11/number_level11_2_type2_3.png	level11/number_level11_1_type2_3.png	
en-US	11	3	2	6		star.wav	level11/number_level11_2_type2_5.png	level11/number_level11_1_type2_5.png	
en-US	11	3	2	7		star.wav	level11/number_level11_2_type2_2.png	level11/number_level11_1_type2_2.png	
en-US	11	4	1	1		star.wav	level11/number_level11_1_type1_4_2.png	level11/number_level11_2_type2_4.png	
en-US	11	4	1	2		star.wav	level11/number_level11_1_type1_6_2.png	level11/number_level11_2_type2_6.png	
en-US	11	4	1	3		star.wav	level11/number_level11_1_type1_1.png	level11/number_level11_2_type2_1.png	
en-US	11	4	1	4		star.wav	level11/number_level11_1_type1_9_1.png	level11/number_level11_2_type2_9.png	
en-US	11	4	1	5		star.wav	level11/number_level11_1_type1_7_2.png	level11/number_level11_2_type2_7.png	
en-US	11	4	1	6		star.wav	level11/number_level11_1_type1_5_2.png	level11/number_level11_2_type2_5.png	
en-US	11	4	1	7		star.wav	level11/number_level11_1_type1_8_2.png	level11/number_level11_2_type2_8.png	
en-US	11	4	2	1		star.wav	level11/number_level11_2_type2_9.png	level11/number_level11_1_type2_9.png	
en-US	11	4	2	2		star.wav	level11/number_level11_2_type2_4.png	level11/number_level11_1_type2_4.png	
en-US	11	4	2	3		star.wav	level11/number_level11_2_type2_1.png	level11/number_level11_1_type2_1.png	
en-US	11	4	2	4		star.wav	level11/number_level11_2_type2_6.png	level11/number_level11_1_type2_6.png	
en-US	11	4	2	5		star.wav	level11/number_level11_2_type2_2.png	level11/number_level11_1_type2_2.png	
en-US	11	4	2	6		star.wav	level11/number_level11_2_type2_7.png	level11/number_level11_1_type2_7.png	
en-US	11	4	2	7		star.wav	level11/number_level11_2_type2_3.png	level11/number_level11_1_type2_3.png	
